latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,
41.933216,-87.645355,187,-21600,America/Chicago,GMT-6,,,
,,,,,,,,
time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation (mm),rain (mm),snowfall (cm),cloud_cover (%),wind_speed_10m (mp/h)
2005-04-03T00:00,35.1,76,28.3,0,0,0,0,5.4
2005-04-03T01:00,34.8,78,28.7,0,0,0,0,5.6
2005-04-03T02:00,34.2,79,28.4,0,0,0,0,5.8
2005-04-03T03:00,33.8,79,28.2,0,0,0,1,5.9
2005-04-03T04:00,33.5,80,28,0,0,0,0,5.4
2005-04-03T05:00,33.1,81,27.9,0,0,0,0,5.4
2005-04-03T06:00,32.8,82,28,0,0,0,2,5.2
2005-04-03T07:00,35.8,79,29.9,0,0,0,2,4.8
2005-04-03T08:00,40,67,30.1,0,0,0,1,3.2
2005-04-03T09:00,43.1,60,30.3,0,0,0,0,2.5
2005-04-03T10:00,45.4,58,31.5,0,0,0,1,2.8
2005-04-03T11:00,46.8,58,32.8,0,0,0,0,2.3
2005-04-03T12:00,47.5,59,33.9,0,0,0,0,1.1
2005-04-03T13:00,52.5,48,33.6,0,0,0,0,0.6
2005-04-03T14:00,52.8,49,34.4,0,0,0,0,2.8
2005-04-03T15:00,53,51,35.3,0,0,0,0,3.6
2005-04-03T16:00,53,53,36.5,0,0,0,0,6.6
2005-04-03T17:00,51.9,61,38.7,0,0,0,0,7.7
2005-04-03T18:00,49.9,67,39.3,0,0,0,0,8.2
2005-04-03T19:00,47.3,72,38.6,0,0,0,0,8.8
2005-04-03T20:00,44.5,75,37.2,0,0,0,0,8.3
2005-04-03T21:00,42.2,77,35.6,0,0,0,0,7.1
2005-04-03T22:00,40.7,79,34.7,0,0,0,0,6.5
2005-04-03T23:00,39.9,81,34.6,0,0,0,0,6.4
2005-04-04T00:00,39.5,84,35,0,0,0,0,6.7
2005-04-04T01:00,40.2,76,33.3,0,0,0,0,7
2005-04-04T02:00,40,78,33.6,0,0,0,0,6.6
2005-04-04T03:00,39.2,80,33.7,0,0,0,0,5
2005-04-04T04:00,37.8,84,33.5,0,0,0,0,5.4
2005-04-04T05:00,36.3,88,32.9,0,0,0,0,4.2
2005-04-04T06:00,35.9,89,32.8,0,0,0,0,5
2005-04-04T07:00,40.1,84,35.5,0,0,0,0,6.5
2005-04-04T08:00,44.3,75,37,0,0,0,0,5.9
2005-04-04T09:00,47.5,70,38.1,0,0,0,0,6.5
2005-04-04T10:00,50.1,66,39.1,0,0,0,0,7.5
2005-04-04T11:00,52.4,63,40.1,0,0,0,2,8.2
2005-04-04T12:00,54.6,61,41.3,0,0,0,52,8.8
2005-04-04T13:00,59,56,43.5,0,0,0,76,9.6
2005-04-04T14:00,59.2,56,43.7,0,0,0,89,10.7
2005-04-04T15:00,59.2,57,44.1,0,0,0,64,11.2
2005-04-04T16:00,58.9,59,44.7,0,0,0,18,11
2005-04-04T17:00,58.1,61,44.5,0,0,0,0,12.3
2005-04-04T18:00,56.5,61,43.4,0,0,0,0,13
2005-04-04T19:00,55.3,64,43.1,0,0,0,1,13.8
2005-04-04T20:00,54.6,67,43.8,0,0,0,4,13.8
2005-04-04T21:00,54.1,71,44.7,0,0,0,4,13.6
2005-04-04T22:00,53.7,74,45.8,0,0,0,5,13.7
2005-04-04T23:00,53.6,78,46.8,0,0,0,11,13.6
2005-04-05T00:00,53.5,77,46.5,0,0,0,55,12.5
2005-04-05T01:00,54.1,67,43.6,0,0,0,11,11.5
2005-04-05T02:00,53.1,69,43.4,0,0,0,0,11.4
2005-04-05T03:00,52.1,72,43.3,0,0,0,0,11.7
2005-04-05T04:00,51.1,74,43.2,0,0,0,0,12.1
2005-04-05T05:00,50.2,77,43.2,0,0,0,0,11.2
2005-04-05T06:00,49.8,79,43.6,0,0,0,3,11.4
2005-04-05T07:00,51.7,78,45.2,0,0,0,5,12
2005-04-05T08:00,54.9,75,47.1,0,0,0,0,11.9
2005-04-05T09:00,58,72,48.9,0,0,0,10,12.6
2005-04-05T10:00,60.7,69,50.3,0,0,0,21,12.8
2005-04-05T11:00,63.4,63,50.7,0,0,0,53,12.6
2005-04-05T12:00,65.7,58,50.3,0,0,0,75,13.4
2005-04-05T13:00,67.6,52,49.6,0,0,0,63,12.7
2005-04-05T14:00,68.8,52,50.2,0,0,0,68,12.6
2005-04-05T15:00,69.4,52,50.8,0,0,0,55,12.4
2005-04-05T16:00,70.1,51,50.9,0,0,0,81,11.2
2005-04-05T17:00,69.1,55,52.2,0,0,0,87,8.8
2005-04-05T18:00,66.8,61,52.7,0,0,0,75,8.1
2005-04-05T19:00,64.5,65,52.6,0,0,0,51,9.4
2005-04-05T20:00,63.5,68,52.7,0,0,0,68,10.7
2005-04-05T21:00,62.2,71,52.6,0,0,0,99,10.8
2005-04-05T22:00,60.6,74,52.3,0,0,0,97,10.9
2005-04-05T23:00,58.9,78,51.9,0,0,0,100,8.8
2005-04-06T00:00,57.2,82,51.7,0,0,0,83,7.7
2005-04-06T01:00,58.1,77,51.1,0,0,0,77,8.7
2005-04-06T02:00,57.6,78,50.8,0,0,0,60,8
2005-04-06T03:00,57.5,78,50.8,0,0,0,89,7.6
2005-04-06T04:00,57.1,79,50.7,0,0,0,100,8.3
2005-04-06T05:00,56.7,80,50.6,0,0,0,99,6.8
2005-04-06T06:00,56.2,81,50.4,0,0,0,99,6.3
2005-04-06T07:00,57.3,80,51.1,0,0,0,98,7.5
2005-04-06T08:00,59.7,76,52.1,0,0,0,77,7.8
2005-04-06T09:00,62,73,53.1,0,0,0,63,8.4
2005-04-06T10:00,63.4,71,54,0,0,0,84,9.6
2005-04-06T11:00,65.9,68,55,0,0,0,95,8.8
2005-04-06T12:00,67,67,55.5,0,0,0,100,8.9
2005-04-06T13:00,69.7,54,52.4,0,0,0,100,8.5
2005-04-06T14:00,69,54,51.7,0,0,0,100,7.4
2005-04-06T15:00,69.3,52,50.8,0,0,0,100,6.4
2005-04-06T16:00,68.6,55,51.7,0,0,0,100,6.8
2005-04-06T17:00,67.1,57,51.6,0,0,0,100,5.4
2005-04-06T18:00,65.6,60,51.5,0,0,0,100,6.7
2005-04-06T19:00,63.4,66,51.9,0,0,0,100,8.8
2005-04-06T20:00,61.6,73,53,0,0,0,100,9.6
2005-04-06T21:00,59.8,81,54,0.4,0.4,0,100,6.6
2005-04-06T22:00,57.1,91,54.4,0.5,0.5,0,100,5.4
2005-04-06T23:00,52.6,97,51.8,0.6,0.6,0,100,10.7
2005-04-07T00:00,46.9,99,46.5,0.5,0.5,0,100,13.9
2005-04-07T01:00,40.6,96,39.4,0.5,0.5,0,100,15.3
2005-04-07T02:00,39.1,94,37.3,0.5,0.5,0,100,16
2005-04-07T03:00,38.6,94,37.1,0.4,0.4,0,100,15.7
2005-04-07T04:00,38.4,94,36.7,0.2,0.2,0,100,15.8
2005-04-07T05:00,38.4,94,36.7,0,0,0,100,15
2005-04-07T06:00,38.8,93,36.8,0,0,0,100,17.4
2005-04-07T07:00,39,92,36.7,0,0,0,100,18.7
2005-04-07T08:00,39.5,89,36.5,0,0,0,100,20.3
2005-04-07T09:00,40.2,85,36.2,0,0,0,100,19.7
2005-04-07T10:00,41.4,82,36.2,0,0,0,100,20
2005-04-07T11:00,43,77,36.3,0,0,0,100,20.2
2005-04-07T12:00,43.9,74,36.3,0,0,0,100,19.7
2005-04-07T13:00,44.1,75,36.6,0,0,0,92,18.8
2005-04-07T14:00,44.8,74,36.9,0,0,0,76,17.5
2005-04-07T15:00,45,73,36.8,0,0,0,26,16.1
2005-04-07T16:00,44.8,72,36.4,0,0,0,6,14
2005-04-07T17:00,44,72,35.7,0,0,0,2,14.1
2005-04-07T18:00,42.8,74,35,0,0,0,1,13.4
2005-04-07T19:00,41.8,73,33.9,0,0,0,0,12.8
2005-04-07T20:00,41.6,72,33.2,0,0,0,0,12.6
2005-04-07T21:00,41.4,71,32.8,0,0,0,0,12
2005-04-07T22:00,41,73,33,0,0,0,0,9.9
2005-04-07T23:00,40.6,76,33.6,0,0,0,0,7.8
2005-04-08T00:00,40,80,34.3,0,0,0,0,5.6
2005-04-08T01:00,38.9,84,34.6,0,0,0,1,4
2005-04-08T02:00,37.8,88,34.6,0,0,0,1,3.7
2005-04-08T03:00,37.1,91,34.6,0,0,0,3,4.2
