Team,Year,Wins,MadePlayoffs,DivisionWinner
Yankees,2005,95,1,1
Red Sox,2005,95,1,0
Blue Jays,2005,80,0,0
Orioles,2005,74,0,0
Rays,2005,67,0,0
White Sox,2005,99,1,1
Indians,2005,93,0,0
Twins,2005,83,0,0
Tigers,2005,71,0,0
Royals,2005,56,0,0
Angels,2005,95,1,1
Athletics,2005,88,0,0
Rangers,2005,79,0,0
Mariners,2005,69,0,0
Braves,2005,90,1,1
Phillies,2005,88,0,0
Marlins,2005,83,0,0
Mets,2005,83,0,0
Nationals,2005,81,0,0
Cardinals,2005,100,1,1
Astros,2005,89,1,0
Brewers,2005,81,0,0
Cubs,2005,79,0,0
Reds,2005,73,0,0
Pirates,2005,67,0,0
Padres,2005,82,1,1
Diamondbacks,2005,77,0,0
Giants,2005,75,0,0
Dodgers,2005,71,0,0
Rockies,2005,67,0,0
Yankees,2006,97,1,1
Red Sox,2006,86,0,0
Blue Jays,2006,87,0,0
Orioles,2006,70,0,0
Rays,2006,61,0,0
White Sox,2006,90,0,0
Indians,2006,78,0,0
Twins,2006,96,1,1
Tigers,2006,95,1,0
Royals,2006,62,0,0
Angels,2006,89,0,0
Athletics,2006,93,1,1
Rangers,2006,80,0,0
Mariners,2006,78,0,0
Braves,2006,79,0,0
Phillies,2006,85,0,0
Marlins,2006,78,0,0
Mets,2006,97,1,1
Nationals,2006,71,0,0
Cardinals,2006,83,1,1
Astros,2006,82,0,0
Brewers,2006,75,0,0
Cubs,2006,66,0,0
Reds,2006,80,0,0
Pirates,2006,67,0,0
Padres,2006,88,1,0
Diamondbacks,2006,76,0,0
Giants,2006,76,0,0
Dodgers,2006,88,1,1
Rockies,2006,76,0,0
Yankees,2007,94,1,0
Red Sox,2007,96,1,1
Blue Jays,2007,83,0,0
Orioles,2007,69,0,0
Rays,2007,66,0,0
White Sox,2007,72,0,0
Indians,2007,96,1,1
Twins,2007,79,0,0
Tigers,2007,88,0,0
Royals,2007,69,0,0
Angels,2007,94,1,1
Athletics,2007,76,0,0
Rangers,2007,75,0,0
Mariners,2007,88,0,0
Braves,2007,84,0,0
Phillies,2007,89,1,1
Marlins,2007,71,0,0
Mets,2007,88,0,0
Nationals,2007,73,0,0
Cardinals,2007,78,0,0
Astros,2007,73,0,0
Brewers,2007,83,0,0
Cubs,2007,85,1,1
Reds,2007,72,0,0
Pirates,2007,68,0,0
Padres,2007,89,0,0
Diamondbacks,2007,90,1,1
Giants,2007,71,0,0
Dodgers,2007,82,0,0
Rockies,2007,90,1,0
Yankees,2008,89,0,0
Red Sox,2008,95,1,0
Blue Jays,2008,86,0,0
Orioles,2008,68,0,0
Rays,2008,97,1,1
White Sox,2008,89,1,1
Indians,2008,81,0,0
Twins,2008,88,0,0
Tigers,2008,74,0,0
Royals,2008,75,0,0
Angels,2008,100,1,1
Athletics,2008,75,0,0
Rangers,2008,79,0,0
Mariners,2008,61,0,0
Braves,2008,72,0,0
Phillies,2008,92,1,1
Marlins,2008,84,0,0
Mets,2008,89,0,0
Nationals,2008,59,0,0
Cardinals,2008,86,0,0
Astros,2008,86,0,0
Brewers,2008,90,1,0
Cubs,2008,97,1,1
Reds,2008,74,0,0
Pirates,2008,67,0,0
Padres,2008,63,0,0
Diamondbacks,2008,82,0,0
Giants,2008,72,0,0
Dodgers,2008,84,1,1
Rockies,2008,74,0,0
Yankees,2009,103,1,1
Red Sox,2009,95,1,0
Blue Jays,2009,75,0,0
Orioles,2009,64,0,0
Rays,2009,84,0,0
White Sox,2009,79,0,0
Indians,2009,65,0,0
Twins,2009,87,1,1
Tigers,2009,86,0,0
Royals,2009,65,0,0
Angels,2009,97,1,1
Athletics,2009,75,0,0
Rangers,2009,87,0,0
Mariners,2009,85,0,0
Braves,2009,86,0,0
Phillies,2009,93,1,1
Marlins,2009,87,0,0
Mets,2009,70,0,0
Nationals,2009,59,0,0
Cardinals,2009,91,1,1
Astros,2009,74,0,0
Brewers,2009,80,0,0
Cubs,2009,83,0,0
Reds,2009,78,0,0
Pirates,2009,62,0,0
Padres,2009,75,0,0
Diamondbacks,2009,70,0,0
Giants,2009,88,0,0
Dodgers,2009,95,1,1
Rockies,2009,92,1,0
Yankees,2010,95,1,0
Red Sox,2010,89,0,0
Blue Jays,2010,85,0,0
Orioles,2010,66,0,0
Rays,2010,96,1,1
White Sox,2010,88,0,0
Indians,2010,69,0,0
Twins,2010,94,1,1
Tigers,2010,81,0,0
Royals,2010,67,0,0
Angels,2010,80,0,0
Athletics,2010,81,0,0
Rangers,2010,90,1,1
Mariners,2010,61,0,0
Braves,2010,91,1,0
Phillies,2010,97,1,1
Marlins,2010,80,0,0
Mets,2010,79,0,0
Nationals,2010,69,0,0
Cardinals,2010,86,0,0
Astros,2010,76,0,0
Brewers,2010,77,0,0
Cubs,2010,75,0,0
Reds,2010,91,1,1
Pirates,2010,57,0,0
Padres,2010,90,0,0
Diamondbacks,2010,65,0,0
Giants,2010,92,1,1
Dodgers,2010,80,0,0
Rockies,2010,83,0,0
Yankees,2011,97,1,1
Red Sox,2011,90,0,0
Blue Jays,2011,81,0,0
Orioles,2011,69,0,0
Rays,2011,91,1,0
White Sox,2011,79,0,0
Indians,2011,80,0,0
Twins,2011,63,0,0
Tigers,2011,95,1,1
Royals,2011,71,0,0
Angels,2011,86,0,0
Athletics,2011,74,0,0
Rangers,2011,96,1,1
Mariners,2011,67,0,0
Braves,2011,89,0,0
