index,date,number_of_game,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,length_outs,day_night,completion,forefeit,protest,park_id,attendance,,,
142751,20050403,0,Sun,BOS,AL,1,NYA,AL,1,2,9,51,N,,,,NYC16,54818,,,
142752,20050404,0,Mon,OAK,AL,1,BAL,AL,1,0,4,51,D,,,,BAL12,48271,,,
142753,20050404,0,Mon,CLE,AL,1,CHA,AL,1,0,1,51,D,,,,CHI12,38141,,,
142754,20050404,0,Mon,KCA,AL,1,DET,AL,1,2,11,51,D,,,,DET05,44105,,,
142755,20050404,0,Mon,MIN,AL,1,SEA,AL,1,1,5,51,D,,,,SEA03,46249,,,
142756,20050404,0,Mon,TOR,AL,1,TBA,AL,1,5,2,54,D,,,,STP01,26018,,,
142757,20050404,0,Mon,CHN,NL,1,ARI,NL,1,16,6,54,D,,,,PHO01,45539,,,
142758,20050404,0,Mon,NYN,NL,1,CIN,NL,1,6,7,51,D,,,,CIN09,42794,,,
142759,20050404,0,Mon,SDN,NL,1,COL,NL,1,10,12,53,D,,,,DEN02,47661,,,
142760,20050404,0,Mon,WAS,NL,1,PHI,NL,1,4,8,51,D,,,,PHI13,44080,,,
142761,20050404,0,Mon,MIL,NL,1,PIT,NL,1,9,2,54,D,,,,PIT08,38016,,,
142762,20050405,0,Tue,TEX,AL,1,ANA,AL,1,2,3,51,N,,,,ANA01,43590,,,
142763,20050405,0,Tue,BOS,AL,2,NYA,AL,2,3,4,51,D,,,,NYC16,54690,,,
142764,20050405,0,Tue,MIN,AL,2,SEA,AL,2,8,4,54,N,,,,SEA03,28373,,,
142765,20050405,0,Tue,TOR,AL,2,TBA,AL,2,6,3,54,N,,,,STP01,9144,,,
142766,20050405,0,Tue,CHN,NL,2,ARI,NL,2,4,5,51,N,,,,PHO01,30260,,,
142767,20050405,0,Tue,ATL,NL,1,FLO,NL,1,0,9,51,D,,,,MIA01,57405,,,
142768,20050405,0,Tue,SLN,NL,1,HOU,NL,1,7,3,54,N,,,,HOU03,43567,,,
142769,20050405,0,Tue,LAN,NL,1,SFN,NL,1,2,4,51,D,,,,SFO03,42788,,,
142770,20050406,0,Wed,TEX,AL,2,ANA,AL,2,3,2,72,N,,,,ANA01,35077,,,
142771,20050406,0,Wed,OAK,AL,2,BAL,AL,2,9,0,54,N,,,,BAL12,22415,,,
142772,20050406,0,Wed,CLE,AL,2,CHA,AL,2,3,4,52,D,,,,CHI12,10520,,,
142773,20050406,0,Wed,KCA,AL,2,DET,AL,2,7,2,54,D,,,,DET05,14168,,,
142774,20050406,0,Wed,BOS,AL,3,NYA,AL,3,7,3,54,D,,,,NYC16,55165,,,
142775,20050406,0,Wed,MIN,AL,3,SEA,AL,3,4,1,54,D,,,,SEA03,25580,,,
142776,20050406,0,Wed,TOR,AL,3,TBA,AL,3,5,8,51,D,,,,STP01,8764,,,
142777,20050406,0,Wed,CHN,NL,3,ARI,NL,3,3,8,51,N,,,,PHO01,26789,,,
142778,20050406,0,Wed,NYN,NL,2,CIN,NL,2,5,9,51,N,,,,CIN09,22301,,,
142779,20050406,0,Wed,SDN,NL,2,COL,NL,2,14,6,54,N,,,,DEN02,20721,,,
