date,year,week,day_of_week,v_name,h_name,day_night,park_id,temp,precip,capacity,prev_year_wins,made_playoffs,won_division,InstagramFollowers,CityPopulation,Payroll,PayrollStd,attendance
2005-04-03,2005,1,Sun,BOS,NYY,1,Old Yankee Stadium,51.7,0.587,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,54818.0
2005-04-04,2005,1,Mon,OAK,BAL,0,Camden Yards,60.7,0.0,45971.0,78,0,0,746000,2859024,74570539,1.025049666,48271.0
2005-04-04,2005,1,Mon,CLE,CHW,0,US Cellular Field,56.2,0.0,40615.0,83,0,0,664000,9408576,75228000,1.034087152,38141.0
2005-04-04,2005,1,Mon,KC,DET,0,Comerica Park,59.0,0.0,41083.0,72,0,0,1000000,4400587,68998183,0.948451834,44105.0
2005-04-04,2005,1,Mon,MIN,SEA,0,Safeco Field,50.1,0.13,47943.0,63,0,0,927000,4145494,85883333,1.180555793,46249.0
2005-04-04,2005,1,Mon,TOR,TB,0,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,26018.0
2005-04-04,2005,1,Mon,CHC,ARI,0,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,45539.0
2005-04-04,2005,1,Mon,NYM,CIN,0,Great American Ball Park,71.3,0.0,42319.0,76,0,0,761000,2302815,59658275,0.820065078,42794.0
2005-04-04,2005,1,Mon,SD,COL,0,Coors Field,66.5,0.004,50144.0,68,0,0,552000,3052498,47789000,0.65690954,47661.0
2005-04-04,2005,1,Mon,WSH,PHI,0,Citizens Bank Park,59.9,0.0,43651.0,86,0,0,1300000,6330422,95337908,1.310518766,44080.0
2005-04-04,2005,1,Mon,MIL,PIT,0,PNC Park,52.3,0.0,38362.0,72,0,0,837000,2429917,38138000,0.524246501,38016.0
2005-04-05,2005,1,Tue,TEX,LAA,1,Angel Stadium,76.5,0.0,45050.0,92,1,1,1200000,12927614,95017822,1.306118851,43590.0
2005-04-05,2005,1,Tue,BOS,NYY,0,Old Yankee Stadium,64.2,0.0,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,54690.0
2005-04-05,2005,1,Tue,MIN,SEA,1,Safeco Field,54.6,0.118,47943.0,63,0,0,927000,4145494,85883333,1.180555793,28373.0
2005-04-05,2005,1,Tue,TOR,TB,1,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,9144.0
