date,year,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,day_night,park_id,attendance,week,location,temp,precip,home team,capacity,Team,prev_year_wins,made_playoffs,won_division
2005-04-03,2005,Sun,BOS,AL,1,NYY,AL,1,2,9,N,Old Yankee Stadium,54818.0,1,New York,51.7,0.587,Yankees,56937.0,Yankees,101,1,1
2005-04-04,2005,Mon,OAK,AL,1,BAL,AL,1,0,4,D,Camden Yards,48271.0,1,Baltimore,60.7,0.0,Orioles,45971.0,Orioles,78,0,0
2005-04-04,2005,Mon,CLE,AL,1,CHW,AL,1,0,1,D,US Cellular Field,38141.0,1,Chicago,56.2,0.0,White Sox,40615.0,White Sox,83,0,0
2005-04-04,2005,Mon,KC,AL,1,DET,AL,1,2,11,D,Comerica Park,44105.0,1,Detroit,59.0,0.0,Tigers,41083.0,Tigers,72,0,0
2005-04-04,2005,Mon,MIN,AL,1,SEA,AL,1,1,5,D,Safeco Field,46249.0,1,Seattle,50.1,0.13,Mariners,47943.0,Mariners,63,0,0
2005-04-04,2005,Mon,TOR,AL,1,TB,AL,1,5,2,D,Tropicana Field,26018.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-04,2005,Mon,CHC,NL,1,ARI,NL,1,16,6,D,Chase Field,45539.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-04,2005,Mon,NYM,NL,1,CIN,NL,1,6,7,D,Great American Ball Park,42794.0,1,Cincinatti,71.3,0.0,Reds,42319.0,Reds,76,0,0
2005-04-04,2005,Mon,SD,NL,1,COL,NL,1,10,12,D,Coors Field,47661.0,1,Colorado,66.5,0.004,Rockies,50144.0,Rockies,68,0,0
2005-04-04,2005,Mon,WSH,NL,1,PHI,NL,1,4,8,D,Citizens Bank Park,44080.0,1,Philadelphia,59.9,0.0,Phillies,43651.0,Phillies,86,0,0
2005-04-04,2005,Mon,MIL,NL,1,PIT,NL,1,9,2,D,PNC Park,38016.0,1,Pittsburgh,52.3,0.0,Pirates,38362.0,Pirates,72,0,0
2005-04-05,2005,Tue,TEX,AL,1,LAA,AL,1,2,3,N,Angel Stadium,43590.0,1,Los Angeles,76.5,0.0,Angels,45050.0,Angels,92,1,1
2005-04-05,2005,Tue,BOS,AL,2,NYY,AL,2,3,4,D,Old Yankee Stadium,54690.0,1,New York,64.2,0.0,Yankees,56937.0,Yankees,101,1,1
2005-04-05,2005,Tue,MIN,AL,2,SEA,AL,2,8,4,N,Safeco Field,28373.0,1,Seattle,54.6,0.118,Mariners,47943.0,Mariners,63,0,0
2005-04-05,2005,Tue,TOR,AL,2,TB,AL,2,6,3,N,Tropicana Field,9144.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-05,2005,Tue,CHC,NL,2,ARI,NL,2,4,5,N,Chase Field,30260.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-05,2005,Tue,STL,NL,1,HOU,NL,1,7,3,N,Minute Maid Park,43567.0,1,Houston,76.7,0.039,Astros,41168.0,Astros,92,1,0
2005-04-05,2005,Tue,LAD,NL,1,SF,NL,1,2,4,D,AT&T Park,42788.0,1,San Francisco,65.6,0.0,Giants,41915.0,Giants,91,0,0
2005-04-06,2005,Wed,TEX,AL,2,LAA,AL,2,3,2,N,Angel Stadium,35077.0,1,Los Angeles,80.3,0.0,Angels,45050.0,Angels,92,1,1
2005-04-06,2005,Wed,OAK,AL,2,BAL,AL,2,9,0,N,Camden Yards,22415.0,1,Baltimore,76.9,0.0,Orioles,45971.0,Orioles,78,0,0
2005-04-06,2005,Wed,CLE,AL,2,CHW,AL,2,3,4,D,US Cellular Field,10520.0,1,Chicago,64.0,0.051,White Sox,40615.0,White Sox,83,0,0
2005-04-06,2005,Wed,KC,AL,2,DET,AL,2,7,2,D,Comerica Park,14168.0,1,Detroit,68.5,0.012,Tigers,41083.0,Tigers,72,0,0
2005-04-06,2005,Wed,BOS,AL,3,NYY,AL,3,7,3,D,Old Yankee Stadium,55165.0,1,New York,68.2,0.0,Yankees,56937.0,Yankees,101,1,1
2005-04-06,2005,Wed,MIN,AL,3,SEA,AL,3,4,1,D,Safeco Field,25580.0,1,Seattle,63.7,0.012,Mariners,47943.0,Mariners,63,0,0
2005-04-06,2005,Wed,TOR,AL,3,TB,AL,3,5,8,D,Tropicana Field,8764.0,1,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-06,2005,Wed,CHC,NL,3,ARI,NL,3,3,8,N,Chase Field,26789.0,1,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-06,2005,Wed,NYM,NL,2,CIN,NL,2,5,9,N,Great American Ball Park,22301.0,1,Cincinatti,77.4,0.0,Reds,42319.0,Reds,76,0,0
2005-04-06,2005,Wed,SD,NL,2,COL,NL,2,14,6,N,Coors Field,20721.0,1,Colorado,60.0,0.0,Rockies,50144.0,Rockies,68,0,0
