h_name,v_name,week_number,prev_year_wins,capacity,y_pred,y_test,abs_residual
SD,SF,12,82.0,42445.0,38372.9832483304,23888.0,14484.983248330398
PHI,WSH,1,86.0,43651.0,34581.59180555552,21693.0,12888.591805555523
MIA,NYM,20,83.0,47662.0,25332.784131377863,37336.0,12003.215868622137
MIL,PIT,1,67.0,41900.0,24456.294321548823,42458.0,18001.705678451177
MIA,SD,5,71.0,47662.0,17804.0146540404,37689.0,19884.9853459596
PHI,ARI,8,85.0,43651.0,30473.28230291006,41985.0,11511.717697089942
DET,KC,1,72.0,41083.0,21577.192390970147,44105.0,22527.807609029853
KC,DET,6,69.0,37903.0,17009.371711640208,34734.0,17724.628288359792
DET,MIN,4,71.0,41083.0,34882.65865817054,24323.0,10559.658658170541
DET,MIN,4,71.0,41083.0,38115.506791366024,23263.0,14852.506791366024
MIL,ATL,19,67.0,41900.0,32275.791331335342,42464.0,10188.208668664658
SEA,TB,17,69.0,47943.0,29649.259261063013,39856.0,10206.740738936987
MIA,NYM,7,83.0,47662.0,18788.420232804227,30214.0,11425.579767195773
BAL,COL,10,78.0,45971.0,38922.30752777776,49004.0,10081.69247222224
MIA,NYM,8,78.0,47662.0,24122.381524161017,34505.0,10382.618475838983
OAK,TOR,8,91.0,47170.0,24686.025166786938,12332.0,12354.025166786938
HOU,CHC,22,83.0,41900.0,41525.487559440546,23441.0,18084.487559440546
PHI,MIL,7,88.0,43651.0,32807.98954301252,43852.0,11044.010456987482
KC,DET,1,56.0,37903.0,15751.75142724867,41054.0,25302.24857275133
HOU,STL,1,92.0,41168.0,39031.177442159715,28496.0,10535.177442159715
LAD,SF,4,88.0,56000.0,44815.71990079367,56000.0,11184.280099206328
ARI,COL,1,82.0,48686.0,34417.96778294853,48799.0,14381.03221705147
TB,CLE,17,66.0,42735.0,16030.356591094089,27533.0,11502.643408905911
ATL,HOU,13,84.0,49586.0,35847.727953583446,48045.0,12197.272046416554
TOR,MIN,1,80.0,49282.0,33451.687174482926,16221.0,17230.687174482926
PHI,MIA,22,88.0,43651.0,30826.35409391536,44737.0,13910.64590608464
CLE,CHW,2,80.0,43000.0,25153.359477272727,42461.0,17307.640522727273
TEX,LAA,13,80.0,48114.0,24750.366602934126,46105.0,21354.633397065874
ATL,DET,11,79.0,49586.0,36687.41721067822,49074.0,12386.58278932178
MIA,SD,1,83.0,47662.0,15941.485943121696,31308.0,15366.514056878304
COL,SD,12,90.0,50144.0,30550.942930014426,43248.0,12697.057069985574
SEA,MIN,1,63.0,47943.0,40329.25934728234,25580.0,14749.259347282343
NYY,KC,2,95.0,56937.0,44218.77694901393,54381.0,10162.223050986067
MIA,WSH,15,83.0,47662.0,20231.96222002073,30397.0,10165.03777997927
CIN,CLE,7,76.0,42319.0,32189.338563552177,21862.0,10327.338563552177
OAK,LAA,17,91.0,47170.0,28815.75182936505,45131.0,16315.24817063495
NYM,WSH,18,71.0,57333.0,36869.88399074074,51785.0,14915.116009259262
TB,CHW,6,67.0,42735.0,10956.409322751322,22665.0,11708.590677248678
MIA,CIN,3,83.0,47662.0,17898.75478097828,30519.0,12620.24521902172
TB,LAA,6,66.0,42735.0,22767.23655014429,12039.0,10728.236550144291
WSH,MIA,1,71.0,45596.0,27329.147757094746,40389.0,13059.852242905254
MIL,CIN,13,81.0,41900.0,28298.699150072145,39280.0,10981.300849927855
MIN,NYY,2,83.0,55000.0,37479.91078571428,22627.0,14852.91078571428
MIN,NYY,9,79.0,55000.0,37555.26747366521,27479.0,10076.267473665212
KC,BAL,6,58.0,37903.0,13595.937583333329,25419.0,11823.062416666671
TEX,SEA,19,80.0,48114.0,36807.49393386243,25437.0,11370.493933862432
MIL,NYM,6,81.0,41900.0,31022.341588163872,45150.0,14127.658411836128
HOU,PIT,1,82.0,41168.0,36964.093619371364,25961.0,11003.093619371364
BAL,TB,4,78.0,45971.0,30341.626808645087,19920.0,10421.626808645087
TOR,TB,1,80.0,49282.0,27670.11737887113,15631.0,12039.117378871131
KC,DET,2,58.0,37903.0,18988.108196479447,29720.0,10731.891803520553
CIN,CHC,14,76.0,42319.0,25054.274600529097,36498.0,11443.725399470903
BAL,NYY,21,74.0,45971.0,34234.19493193842,21742.0,12492.194931938422
LAD,SF,1,82.0,56000.0,42028.690267649035,56000.0,13971.309732350965
