year,h_name,Payroll,PayrollStandardized
2005,NYY,"$205,938,439 ",2.83083817
2005,BOS,"$121,311,945 ",1.667558937
2005,NYM,"$104,770,139 ",1.440174598
2005,PHI,"$95,337,908 ",1.310518766
2005,LAA,"$95,017,822 ",1.306118851
2005,STL,"$93,319,842 ",1.282778349
2005,SF,"$89,487,842 ",1.230103521
2005,CHC,"$87,210,933 ",1.198805037
2005,SEA,"$85,883,333 ",1.180555793
2005,ATL,"$85,148,582 ",1.170455876
2005,LAD,"$81,029,500 ",1.113834807
2005,HOU,"$76,779,022 ",1.055407563
2005,CHW,"$75,228,000 ",1.034087152
2005,BAL,"$74,570,539 ",1.025049666
2005,DET,"$68,998,183 ",0.948451834
2005,ARI,"$63,015,834 ",0.866218221
2005,SD,"$62,888,192 ",0.864463648
2005,MIA,"$60,375,961 ",0.829930419
2005,CIN,"$59,658,275 ",0.820065078
2005,MIN,"$56,615,000 ",0.778232096
2005,OAK,"$55,869,262 ",0.767981151
2005,TEX,"$55,307,258 ",0.760255821
2005,WSH,"$48,581,500 ",0.667803278
2005,COL,"$47,789,000 ",0.65690954
2005,TOR,"$45,336,500 ",0.623197375
2005,CLE,"$41,830,400 ",0.575002382
2005,MIL,"$40,234,833 ",0.553069653
2005,PIT,"$38,138,000 ",0.524246501
2005,KC,"$36,881,000 ",0.506967728
2005,TB,"$29,893,567 ",0.410918189
2006,NYY,"$194,663,079 ",2.509939223
2006,BOS,"$120,099,824 ",1.548538431
2006,LAA,"$103,472,000 ",1.334143242
2006,CHW,"$102,750,667 ",1.324842547
2006,NYM,"$101,084,963 ",1.303365357
2006,LAD,"$98,447,187 ",1.269354504
2006,CHC,"$94,424,499 ",1.217486926
2006,HOU,"$92,551,503 ",1.193336963
2006,ATL,"$90,156,876 ",1.162461215
2006,SF,"$90,056,419 ",1.161165946
2006,STL,"$88,891,371 ",1.146144096
2006,PHI,"$88,273,333 ",1.138175262
2006,SEA,"$87,959,833 ",1.134133068
2006,DET,"$82,612,866 ",1.065190553
2006,BAL,"$72,585,582 ",0.935901149
2006,TOR,"$71,915,000 ",0.927254825
2006,SD,"$69,896,141 ",0.901224139
