year,home team,prev year wins,prev year WS,prev year division
2005,Braves,96,0,
2005,Marlins,83,0,
2005,Mets,71,0,
2005,Nationals,68,0,
2005,Phillies,86,0,
2006,Braves,79,0,
2006,Marlins,83,0,
2006,Mets,83,0,
2006,Nationals,81,0,
2006,Phillies,88,0,
2007,Braves,79,0,
2007,Marlins,78,0,
2007,Mets,83,0,
2007,Nationals,71,0,
2007,Phillies,85,0,
2008,Braves,84,0,
2008,Marlins,71,0,
2008,Mets,71,0,
2008,Nationals,73,0,
2008,Phillies,89,0,
2009,Braves,89,0,
2009,Marlins,84,0,
2009,Mets,89,0,
2009,Nationals,73,0,
2009,Phillies,92,1,
2010,Braves,86,0,
2010,Marlins,87,0,
2010,Mets,70,0,
2010,Nationals,59,0,
2010,Phillies,93,0,
2011,Braves,91,0,
2011,Marlins,80,0,
2011,Mets,79,0,
2011,Nationals,69,0,
2011,Phillies,97,0,
2012,Braves,89,0,
2012,Marlins,72,0,
2012,Mets,77,0,
2012,Nationals,98,0,
2012,Phillies,102,0,
2013,Braves,94,0,
2013,Marlins,69,0,
2013,Mets,74,0,
2013,Nationals,98,0,
2013,Phillies,81,0,
2014,Braves,96,0,
2014,Marlins,62,0,
2014,Mets,74,0,
2014,Nationals,86,0,
2014,Phillies,73,0,
2015,Braves,79,0,
2015,Marlins,77,0,
2015,Mets,79,0,
2015,Nationals,96,0,
2015,Phillies,73,0,
2016,Braves,83,0,
2016,Marlins,71,0,
2016,Mets,90,0,
2016,Nationals,83,0,
2016,Phillies,63,0,
2005,Yankees,101,0,
2005,Red Sox,98,1,
2005,Blue Jays,86,0,
2005,Orioles,78,0,
2005,Rays,63,0,
2006,Yankees,95,0,
2006,Red Sox,95,0,
2006,Blue Jays,80,0,
2006,Orioles,74,0,
2006,Rays,67,0,
2007,Yankees,97,0,
2007,Red Sox,86,0,
2007,Blue Jays,87,0,
2007,Orioles,70,0,
2007,Rays,61,0,
2008,Yankees,94,0,
2008,Red Sox,96,1,
2008,Blue Jays,83,0,
2008,Orioles,69,0,
2008,Rays,66,0,
2009,Yankees,89,0,
2009,Red Sox,95,0,
2009,Blue Jays,86,0,
2009,Orioles,68,0,
2009,Rays,66,0,
2010,Yankees,103,1,
2010,Red Sox,95,0,
2010,Blue Jays,75,0,
2010,Orioles,64,0,
2010,Rays,84,0,
2011,Yankees,95,0,
2011,Red Sox,89,0,
2011,Blue Jays,85,0,
2011,Orioles,66,0,
2011,Rays,96,0,
2012,Yankees,97,0,
2012,Red Sox,90,0,
2012,Blue Jays,81,0,
2012,Orioles,69,0,
2012,Rays,91,0,
2013,Yankees,95,0,
2013,Red Sox,69,0,
2013,Blue Jays,73,0,
2013,Orioles,93,0,
2013,Rays,90,0,
2014,Yankees,85,0,
2014,Red Sox,97,1,
2014,Blue Jays,74,0,
2014,Orioles,85,0,
2014,Rays,92,0,
2015,Yankees,84,0,
2015,Red Sox,71,0,
2015,Blue Jays,83,0,
2015,Orioles,96,0,
2015,Rays,77,0,
2016,Yankees,87,0,
2016,Red Sox,78,0,
2016,Blue Jays,93,0,
2016,Orioles,81,0,
2016,Rays,80,0,
2005,Cubs,89,0,
2005,Reds,76,0,
2005,Astros,92,0,
2005,Brewers,68,0,
2005,Pirates,57,0,
2006,Cubs,79,0,
2006,Reds,73,0,
2006,Astros,89,0,
2006,Brewers,81,0,
2006,Pirates,67,0,
2007,Cubs,66,0,
2007,Reds,80,0,
2007,Astros,82,0,
2007,Brewers,75,0,
2007,Pirates,68,0,
2008,Cubs,85,0,
2008,Reds,72,0,
2008,Astros,73,0,
2008,Brewers,83,0,
2008,Pirates,68,0,
2009,Cubs,97,0,
2009,Reds,74,0,
2009,Astros,86,0,
2009,Brewers,90,0,
2009,Pirates,67,0,
2010,Cubs,83,0,
2010,Reds,78,0,
2010,Astros,74,0,
2010,Brewers,80,0,
2010,Pirates,62,0,
2011,Cubs,75,0,
2011,Reds,91,0,
2011,Astros,76,0,
2011,Brewers,77,0,
2011,Pirates,57,0,
2012,Cubs,71,0,
2012,Reds,79,0,
2012,Astros,56,0,
2012,Brewers,96,0,
2012,Pirates,72,0,
2013,Cubs,61,0,
2013,Reds,97,0,
2013,Astros,55,0,
