latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.919155,-84.50125,316.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),rain_sum (inch)
2005-04-03,63.8,0.000
2005-04-04,72.8,0.000
2005-04-05,74.5,0.000
2005-04-06,72.2,0.197
2005-04-07,68.8,1.531
2005-04-08,67.4,0.063
2005-04-09,67.4,0.000
2005-04-10,73.5,0.000
2005-04-11,73.5,0.000
2005-04-12,70.7,0.165
2005-04-13,64.7,0.067
2005-04-14,65.3,0.000
2005-04-15,70.5,0.000
2005-04-16,66.3,0.000
2005-04-17,70.8,0.000
2005-04-18,75.6,0.000
2005-04-19,76.4,0.000
2005-04-20,75.3,0.000
2005-04-21,76.1,0.173
2005-04-22,72.9,0.193
2005-04-23,60.3,0.012
2005-04-24,54.8,0.000
2005-04-25,63.9,0.000
2005-04-26,57.5,0.606
2005-04-27,62.4,0.012
2005-04-28,68.8,0.008
2005-04-29,75.0,0.035
2005-04-30,65.3,0.520
2005-05-01,66.2,0.000
2005-05-02,68.3,0.000
2005-05-03,65.2,0.000
2005-05-04,69.7,0.000
2005-05-05,68.8,0.020
2005-05-06,68.3,0.000
2005-05-07,74.8,0.000
2005-05-08,81.0,0.000
2005-05-09,81.6,0.000
2005-05-10,79.4,0.063
2005-05-11,82.4,0.000
2005-05-12,84.7,0.000
2005-05-13,84.1,0.000
2005-05-14,81.3,0.012
2005-05-15,71.3,0.543
2005-05-16,74.4,0.000
2005-05-17,79.1,0.000
2005-05-18,79.8,0.000
2005-05-19,83.3,0.012
2005-05-20,76.2,0.878
2005-05-21,73.8,0.000
2005-05-22,77.8,0.000
2005-05-23,84.7,0.000
2005-05-24,80.2,0.000
2005-05-25,73.2,0.000
2005-05-26,79.5,0.000
2005-05-27,83.0,0.000
2005-05-28,78.9,0.000
2005-05-29,73.0,0.098
2005-05-30,63.6,0.642
2005-05-31,72.8,0.465
2005-06-01,62.9,1.358
2005-06-02,71.6,0.016
2005-06-03,74.6,0.177
2005-06-04,80.7,0.024
2005-06-05,83.1,0.024
2005-06-06,87.0,0.071
2005-06-07,83.8,0.075
2005-06-08,82.7,0.091
2005-06-09,82.8,0.087
2005-06-10,80.3,0.173
2005-06-11,73.6,0.130
2005-06-12,80.6,0.295
2005-06-13,84.5,0.031
2005-06-14,88.8,0.000
2005-06-15,87.8,0.000
2005-06-16,85.1,0.000
2005-06-17,82.6,0.000
2005-06-18,83.6,0.094
2005-06-19,80.1,0.000
2005-06-20,80.0,0.083
2005-06-21,82.5,0.004
2005-06-22,87.0,0.012
2005-06-23,88.0,0.000
2005-06-24,88.3,0.000
2005-06-25,86.3,0.035
2005-06-26,76.2,0.406
2005-06-27,86.2,0.264
2005-06-28,79.9,0.673
2005-06-29,84.3,0.102
2005-06-30,89.2,0.012
2005-07-01,89.0,0.134
2005-07-02,88.0,0.122
2005-07-03,83.7,0.409
2005-07-04,82.7,0.709
2005-07-05,85.7,0.043
2005-07-06,82.3,0.126
2005-07-07,74.6,0.799
2005-07-08,86.3,0.000
2005-07-09,87.2,0.055
2005-07-10,77.8,0.457
