latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-73.78723,7.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),rain_sum (inch)
2005-04-03,47.6,0.063
2005-04-04,53.1,0.000
2005-04-05,63.6,0.000
2005-04-06,66.9,0.000
2005-04-07,69.7,0.122
2005-04-08,61.0,0.382
2005-04-09,58.6,0.000
2005-04-10,67.3,0.000
2005-04-11,54.9,0.000
2005-04-12,54.3,0.000
2005-04-13,53.5,0.000
2005-04-14,60.9,0.000
2005-04-15,54.2,0.000
2005-04-16,55.9,0.000
2005-04-17,71.2,0.000
2005-04-18,71.9,0.000
2005-04-19,72.4,0.000
2005-04-20,81.7,0.000
2005-04-21,64.6,0.008
2005-04-22,56.1,0.016
2005-04-23,58.3,1.217
2005-04-24,55.8,0.083
2005-04-25,54.0,0.020
2005-04-26,62.4,0.000
2005-04-27,62.3,0.807
2005-04-28,62.9,0.016
2005-04-29,60.6,0.000
2005-04-30,58.2,0.508
2005-05-01,62.1,0.130
2005-05-02,61.1,0.079
2005-05-03,57.1,0.004
2005-05-04,58.4,0.000
2005-05-05,58.4,0.000
2005-05-06,54.3,0.213
2005-05-07,58.0,0.098
2005-05-08,58.8,0.000
2005-05-09,66.1,0.000
2005-05-10,66.2,0.000
2005-05-11,71.8,0.000
2005-05-12,64.8,0.000
2005-05-13,60.6,0.000
2005-05-14,70.1,0.000
2005-05-15,73.2,0.051
2005-05-16,67.9,0.012
2005-05-17,65.5,0.000
2005-05-18,66.3,0.000
2005-05-19,66.1,0.000
2005-05-20,53.5,0.209
2005-05-21,68.2,0.063
2005-05-22,62.5,0.118
2005-05-23,61.2,0.000
2005-05-24,60.0,0.138
2005-05-25,52.0,0.610
2005-05-26,58.3,0.134
2005-05-27,74.8,0.000
2005-05-28,75.4,0.035
2005-05-29,74.0,0.000
2005-05-30,74.2,0.012
2005-05-31,74.2,0.000
2005-06-01,67.3,0.000
2005-06-02,66.6,0.000
2005-06-03,64.8,0.244
2005-06-04,79.6,0.244
2005-06-05,84.9,0.000
2005-06-06,83.6,0.000
2005-06-07,87.6,0.087
2005-06-08,87.4,0.000
2005-06-09,86.5,0.000
2005-06-10,82.1,0.138
2005-06-11,85.7,0.047
2005-06-12,88.1,0.000
2005-06-13,89.4,0.004
2005-06-14,92.3,0.000
2005-06-15,81.2,0.016
2005-06-16,79.3,0.295
2005-06-17,74.0,0.024
2005-06-18,74.8,0.000
2005-06-19,69.4,0.051
2005-06-20,73.0,0.000
2005-06-21,82.6,0.000
2005-06-22,83.5,0.102
2005-06-23,77.3,0.000
2005-06-24,84.1,0.000
2005-06-25,91.1,0.000
2005-06-26,91.9,0.000
2005-06-27,80.0,0.453
2005-06-28,85.8,0.224
2005-06-29,79.2,0.630
2005-06-30,79.1,0.657
2005-07-01,81.2,0.043
2005-07-02,79.6,0.000
2005-07-03,77.5,0.000
2005-07-04,78.0,0.000
2005-07-05,81.5,0.130
2005-07-06,80.5,0.264
2005-07-07,74.2,0.004
2005-07-08,66.7,1.654
2005-07-09,80.0,0.004
2005-07-10,88.2,0.000
2005-07-11,88.7,0.000
2005-07-12,80.3,0.000
2005-07-13,76.2,0.024
2005-07-14,80.5,0.000
2005-07-15,82.4,0.028
2005-07-16,80.3,0.031
2005-07-17,80.9,0.098
2005-07-18,85.8,0.390
2005-07-19,91.3,0.055
2005-07-20,89.4,0.000
2005-07-21,90.8,0.000
2005-07-22,90.7,0.000
2005-07-23,84.9,0.000
2005-07-24,85.8,0.000
2005-07-25,90.1,0.067
2005-07-26,92.7,0.000
2005-07-27,94.9,0.012
2005-07-28,81.1,0.000
2005-07-29,84.0,0.000
2005-07-30,82.8,0.000
2005-07-31,81.3,0.031
2005-08-01,85.0,0.000
2005-08-02,92.8,0.000
2005-08-03,93.1,0.000
2005-08-04,92.7,0.047
2005-08-05,97.1,0.000
2005-08-06,86.7,0.000
2005-08-07,84.7,0.000
2005-08-08,85.0,0.283
2005-08-09,83.5,0.028
2005-08-10,85.4,0.008
2005-08-11,92.7,0.000
2005-08-12,93.0,0.008
2005-08-13,96.6,0.031
2005-08-14,93.5,0.020
