time,temperature_2m (°F),relative_humidity_2m (%),apparent_temperature (°F),precipitation (inch),rain (inch),wind_speed_10m (mp/h)
2005-04-03T00:00,49.6,99,43.9,0.059,0.059,13
2005-04-03T01:00,48.1,98,41.7,0.024,0.024,13.9
2005-04-03T02:00,45.7,98,36.2,0.031,0.031,19.6
2005-04-03T03:00,42.8,96,31.8,0.031,0.031,21.2
2005-04-03T04:00,41.2,94,31.6,0.031,0.031,16.8
2005-04-03T05:00,40,94,31.9,0.031,0.031,12.8
2005-04-03T06:00,39.1,93,31.2,0.02,0.02,11.6
2005-04-03T07:00,38.7,92,31.4,0.012,0.012,10
2005-04-03T08:00,40,81,31.1,0.008,0.008,13
2005-04-03T09:00,40.7,77,31.3,0,0,13.7
2005-04-03T10:00,42.7,66,32,0,0,16
2005-04-03T11:00,44.5,56,34.2,0,0,14.7
2005-04-03T12:00,44.4,55,34,0,0,14.5
2005-04-03T13:00,44.7,57,34,0.004,0.004,15.8
2005-04-03T14:00,44.2,58,32.9,0.004,0.004,17.1
2005-04-03T15:00,44.8,53,33.7,0,0,16.1
2005-04-03T16:00,45.5,50,34.1,0,0,16.7
2005-04-03T17:00,43.9,56,33.5,0.004,0.004,14.5
2005-04-03T18:00,41.2,71,31.8,0.012,0.012,13.5
2005-04-03T19:00,40.2,74,30.4,0,0,14.3
2005-04-03T20:00,39.8,72,29.9,0,0,14.1
2005-04-03T21:00,39.9,68,29.6,0,0,14.6
2005-04-03T22:00,40.6,65,30.3,0,0,14.3
2005-04-03T23:00,40.9,63,31,0,0,13.6
2005-04-04T00:00,40.6,64,30.8,0,0,13.2
2005-04-04T01:00,40.3,64,30.7,0,0,12.7
2005-04-04T02:00,40.7,64,31.3,0,0,12.2
2005-04-04T03:00,40.5,64,31.2,0,0,12
2005-04-04T04:00,40.5,63,30.8,0,0,12.7
2005-04-04T05:00,40.6,59,30.6,0,0,12.9
2005-04-04T06:00,40.2,56,30.4,0,0,12.2
2005-04-04T07:00,41,54,31,0,0,12.6
2005-04-04T08:00,43.3,48,32.9,0,0,13.2
2005-04-04T09:00,45.6,45,34.3,0,0,15.6
2005-04-04T10:00,48.1,43,37.9,0,0,15.9
2005-04-04T11:00,50.7,42,41.5,0,0,15.9
2005-04-04T12:00,53.2,40,44.5,0,0,16.3
2005-04-04T13:00,55.3,39,46.5,0,0,17.1
2005-04-04T14:00,58.9,33,48.6,0,0,16.9
2005-04-04T15:00,59.8,31,49.7,0,0,16.3
2005-04-04T16:00,59.5,30,48.7,0,0,15.1
2005-04-04T17:00,58.3,30,48.7,0,0,12
2005-04-04T18:00,55.5,31,46,0,0,11.2
2005-04-04T19:00,52.7,32,43.4,0,0,10.4
2005-04-04T20:00,50.6,33,41.6,0,0,9.4
2005-04-04T21:00,48.7,35,39.8,0,0,9
2005-04-04T22:00,47,37,38.2,0,0,8.6
2005-04-04T23:00,45.4,39,36.9,0,0,7.9
2005-04-05T00:00,43.7,43,35.6,0,0,7.3
2005-04-05T01:00,42.2,48,34.2,0,0,7.4
2005-04-05T02:00,41.6,52,33.6,0,0,7.6
2005-04-05T03:00,39.8,58,32.1,0,0,7.2
2005-04-05T04:00,38,65,30.5,0,0,7
2005-04-05T05:00,36.7,70,29.5,0,0,6.5
2005-04-05T06:00,36,74,28.9,0,0,6.7
2005-04-05T07:00,39.9,72,32.8,0,0,7.6
2005-04-05T08:00,46.6,57,40,0,0,6.7
2005-04-05T09:00,51.4,50,45,0,0,6.5
2005-04-05T10:00,55.3,41,49.8,0,0,7.3
2005-04-05T11:00,58.2,37,53.7,0,0,7.5
2005-04-05T12:00,60.9,35,57.4,0,0,7.2
2005-04-05T13:00,63.1,33,59.9,0,0,6.8
2005-04-05T14:00,65.2,31,60.8,0,0,7.2
2005-04-05T15:00,66,31,60.6,0,0,7.7
2005-04-05T16:00,65.9,32,59.5,0,0,7.3
2005-04-05T17:00,64.6,36,59.9,0,0,4
2005-04-05T18:00,61.2,43,57,0,0,3.7
2005-04-05T19:00,56.6,50,51.4,0,0,5.7
2005-04-05T20:00,53.5,53,47.7,0,0,6.6
2005-04-05T21:00,51,56,45.1,0,0,6.5
2005-04-05T22:00,49.6,59,43.8,0,0,6
2005-04-05T23:00,47.9,62,42.5,0,0,5.1
2005-04-06T00:00,46.3,66,41.2,0,0,4.5
2005-04-06T01:00,45.4,68,40.2,0,0,4.6
2005-04-06T02:00,45.4,68,40,0,0,4.9
2005-04-06T03:00,45.6,69,40.3,0,0,5.2
2005-04-06T04:00,45.4,71,40.2,0,0,5.2
2005-04-06T05:00,44.9,74,39.8,0,0,5.1
2005-04-06T06:00,44.5,79,39.7,0,0,4.9
2005-04-06T07:00,48.2,78,44,0,0,5.2
2005-04-06T08:00,55.2,65,51.7,0,0,4.3
2005-04-06T09:00,59.5,62,56.7,0,0,4.3
2005-04-06T10:00,63.6,59,63.1,0,0,3.4
2005-04-06T11:00,67.5,55,69.3,0,0,2.7
2005-04-06T12:00,70.7,52,73.7,0,0,2.6
2005-04-06T13:00,73.5,50,76.6,0,0,3.2
2005-04-06T14:00,75.9,46,77.6,0,0,4.7
2005-04-06T15:00,76.8,45,76.9,0,0,5.9
2005-04-06T16:00,76.6,46,75.2,0,0,6.3
2005-04-06T17:00,74.9,51,74.3,0,0,5.4
2005-04-06T18:00,70.8,59,70,0,0,6.3
2005-04-06T19:00,66.3,67,65.3,0,0,6.3
2005-04-06T20:00,63.3,73,62.2,0,0,5.8
2005-04-06T21:00,61.1,77,59.7,0,0,6.1
2005-04-06T22:00,59.8,79,57.9,0,0,6.8
2005-04-06T23:00,59,79,56.4,0,0,8.2
2005-04-07T00:00,58.4,77,54.9,0,0,9.1
2005-04-07T01:00,58,74,54,0,0,9.4
2005-04-07T02:00,59.1,64,54.6,0,0,8.8
2005-04-07T03:00,58,65,53.5,0,0,8.6
2005-04-07T04:00,57.4,67,52.6,0,0,9.2
2005-04-07T05:00,57.1,69,52.3,0,0,9.2
2005-04-07T06:00,57,71,52.6,0,0,8.8
2005-04-07T07:00,59.2,68,54.7,0,0,9.9
2005-04-07T08:00,61.6,66,57.7,0,0,9.4
2005-04-07T09:00,64,63,60.1,0,0,10
