latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.84007,-76.96719,7.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),rain_sum (inch)
2005-04-03,48.3,0.102
2005-04-04,62.9,0.000
2005-04-05,69.1,0.000
2005-04-06,81.6,0.000
2005-04-07,74.8,0.205
2005-04-08,66.4,0.248
2005-04-09,63.5,0.000
2005-04-10,70.9,0.000
2005-04-11,66.8,0.000
2005-04-12,53.2,0.055
2005-04-13,60.5,0.035
2005-04-14,64.2,0.000
2005-04-15,56.2,0.000
2005-04-16,60.1,0.000
2005-04-17,71.9,0.000
2005-04-18,75.6,0.000
2005-04-19,81.9,0.000
2005-04-20,84.8,0.000
2005-04-21,66.5,0.067
2005-04-22,58.2,0.311
2005-04-23,69.2,0.701
2005-04-24,51.7,0.004
2005-04-25,59.9,0.000
2005-04-26,69.8,0.024
2005-04-27,67.7,0.000
2005-04-28,65.3,0.000
2005-04-29,62.3,0.020
2005-04-30,68.8,0.724
2005-05-01,64.1,0.130
2005-05-02,63.7,0.051
2005-05-03,58.7,0.000
2005-05-04,59.7,0.000
2005-05-05,63.6,0.000
2005-05-06,55.7,0.000
2005-05-07,70.3,0.024
2005-05-08,73.3,0.000
2005-05-09,77.1,0.000
2005-05-10,75.0,0.000
2005-05-11,84.9,0.000
2005-05-12,73.2,0.000
2005-05-13,63.0,0.000
2005-05-14,83.7,0.008
2005-05-15,73.7,0.031
2005-05-16,71.6,0.020
2005-05-17,68.8,0.000
2005-05-18,73.8,0.000
2005-05-19,71.6,0.323
2005-05-20,57.7,2.476
2005-05-21,72.2,0.000
2005-05-22,72.1,0.000
2005-05-23,67.3,0.083
2005-05-24,56.7,0.587
2005-05-25,58.1,0.051
2005-05-26,76.7,0.000
2005-05-27,78.4,0.000
2005-05-28,77.7,0.008
2005-05-29,75.3,0.000
2005-05-30,75.9,0.000
2005-05-31,77.9,0.000
2005-06-01,78.5,0.000
2005-06-02,63.7,0.016
2005-06-03,62.9,0.559
2005-06-04,75.4,0.000
2005-06-05,85.0,0.000
2005-06-06,91.1,0.000
2005-06-07,89.2,0.000
2005-06-08,91.5,0.000
2005-06-09,87.5,0.122
2005-06-10,87.0,0.020
2005-06-11,88.0,0.000
2005-06-12,85.9,0.000
2005-06-13,89.6,0.000
2005-06-14,94.5,0.000
2005-06-15,88.6,0.000
2005-06-16,84.8,0.000
2005-06-17,77.0,0.024
2005-06-18,79.4,0.000
2005-06-19,75.3,0.028
2005-06-20,73.5,0.000
2005-06-21,82.3,0.000
2005-06-22,85.3,0.122
2005-06-23,84.8,0.000
2005-06-24,88.4,0.000
2005-06-25,91.7,0.000
2005-06-26,90.1,0.000
2005-06-27,79.6,0.126
2005-06-28,92.9,0.252
2005-06-29,85.5,0.492
2005-06-30,87.7,0.000
2005-07-01,92.0,0.008
2005-07-02,87.0,0.039
2005-07-03,84.6,0.000
2005-07-04,88.3,0.000
2005-07-05,90.1,0.512
2005-07-06,86.7,0.008
2005-07-07,83.6,0.378
2005-07-08,79.2,2.193
2005-07-09,84.7,0.000
2005-07-10,88.2,0.000
2005-07-11,90.5,0.000
2005-07-12,92.0,0.075
2005-07-13,85.1,0.094
2005-07-14,83.4,0.685
2005-07-15,82.2,0.244
2005-07-16,87.1,0.343
2005-07-17,88.1,0.094
2005-07-18,90.2,0.024
2005-07-19,89.1,0.000
2005-07-20,90.6,0.000
2005-07-21,92.8,0.000
2005-07-22,92.8,0.000
2005-07-23,89.2,0.000
2005-07-24,87.2,0.000
2005-07-25,95.4,0.039
2005-07-26,98.6,0.000
2005-07-27,99.9,0.012
2005-07-28,85.6,0.016
2005-07-29,77.0,0.610
2005-07-30,83.9,0.146
2005-07-31,81.8,0.000
2005-08-01,87.9,0.000
2005-08-02,94.5,0.016
2005-08-03,94.7,0.035
2005-08-04,95.3,0.000
2005-08-05,96.5,0.043
2005-08-06,89.3,0.311
2005-08-07,87.7,0.016
2005-08-08,87.3,0.087
2005-08-09,76.7,0.272
2005-08-10,86.0,0.008
2005-08-11,93.8,0.000
2005-08-12,95.7,0.000
2005-08-13,97.0,0.008
2005-08-14,96.5,0.004
2005-08-15,92.4,0.000
2005-08-16,83.2,0.406
2005-08-17,87.4,0.020
2005-08-18,86.3,0.024
2005-08-19,76.7,0.374
2005-08-20,91.0,0.000
2005-08-21,93.1,0.000
2005-08-22,88.4,0.000
2005-08-23,85.7,0.000
2005-08-24,84.1,0.000
2005-08-25,84.7,0.000
2005-08-26,81.9,0.000
2005-08-27,75.0,0.232
2005-08-28,85.5,0.098
2005-08-29,87.2,0.000
2005-08-30,84.5,0.012
2005-08-31,89.9,0.000
2005-09-01,87.0,0.000
2005-09-02,88.7,0.000
2005-09-03,85.1,0.000
2005-09-04,84.4,0.000
2005-09-05,82.8,0.000
2005-09-06,81.2,0.000
2005-09-07,81.6,0.000
2005-09-08,86.4,0.000
2005-09-09,88.0,0.091
2005-09-10,84.3,0.000
2005-09-11,83.2,0.000
2005-09-12,88.1,0.000
2005-09-13,90.2,0.000
2005-09-14,85.0,0.012
2005-09-15,88.5,0.043
2005-09-16,89.8,0.000
2005-09-17,88.8,0.004
2005-09-18,87.4,0.000
2005-09-19,88.6,0.000
2005-09-20,91.6,0.008
2005-09-21,85.7,0.000
2005-09-22,88.4,0.000
2005-09-23,93.6,0.000
2005-09-24,76.8,0.008
2005-09-25,78.0,0.000
2005-09-26,84.1,0.240
2005-09-27,80.2,0.000
2005-09-28,79.0,0.000
2005-09-29,73.4,0.004
2005-09-30,70.4,0.000
2005-10-01,76.9,0.000
2005-10-02,79.9,0.000
2005-10-03,78.9,0.000
2005-10-04,73.5,0.000
2005-10-05,80.5,0.000
2005-10-06,82.2,0.031
2005-10-07,72.3,1.551
2005-10-08,71.9,3.291
2005-10-09,66.2,0.000
2005-10-10,65.9,0.087
2005-10-11,67.6,0.161
2005-10-12,63.9,0.000
2005-10-13,60.6,0.000
2005-10-14,67.5,0.000
2005-10-15,75.8,0.000
2005-10-16,65.0,0.000
2005-10-17,65.8,0.000
2005-10-18,75.8,0.000
2005-10-19,74.6,0.000
