latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.70826,-84.40994,291.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,64.4,0.000
2005-04-04,73.1,0.000
2005-04-05,75.0,0.000
2005-04-06,72.4,0.197
2005-04-07,68.8,1.488
2005-04-08,67.7,0.020
2005-04-09,67.2,0.000
2005-04-10,73.8,0.000
2005-04-11,73.7,0.000
2005-04-12,71.3,0.126
2005-04-13,64.6,0.087
2005-04-14,63.6,0.000
2005-04-15,69.6,0.000
2005-04-16,65.3,0.000
2005-04-17,70.4,0.000
2005-04-18,75.7,0.000
2005-04-19,76.5,0.000
2005-04-20,75.2,0.000
2005-04-21,76.4,0.126
2005-04-22,72.7,0.146
2005-04-23,60.7,0.004
2005-04-24,56.2,0.000
2005-04-25,63.9,0.000
2005-04-26,58.3,0.689
2005-04-27,64.3,0.004
2005-04-28,69.4,0.012
2005-04-29,75.4,0.071
2005-04-30,66.4,0.402
2005-05-01,67.1,0.000
2005-05-02,68.6,0.000
2005-05-03,65.9,0.000
2005-05-04,69.9,0.000
2005-05-05,69.3,0.020
2005-05-06,68.8,0.000
2005-05-07,75.1,0.000
2005-05-08,80.8,0.000
2005-05-09,81.4,0.000
2005-05-10,79.4,0.031
2005-05-11,81.9,0.000
2005-05-12,84.0,0.000
2005-05-13,84.1,0.000
2005-05-14,81.2,0.012
2005-05-15,72.3,0.346
2005-05-16,75.2,0.000
2005-05-17,79.4,0.000
2005-05-18,79.5,0.000
2005-05-19,83.1,0.016
2005-05-20,76.7,0.783
2005-05-21,73.7,0.000
2005-05-22,77.7,0.000
2005-05-23,85.1,0.000
2005-05-24,81.4,0.000
2005-05-25,73.3,0.000
2005-05-26,79.0,0.000
2005-05-27,82.6,0.000
2005-05-28,80.4,0.000
2005-05-29,72.8,0.126
2005-05-30,63.9,0.591
2005-05-31,71.1,0.579
2005-06-01,63.2,1.409
2005-06-02,72.5,0.079
2005-06-03,75.5,0.177
2005-06-04,81.1,0.035
2005-06-05,83.5,0.031
2005-06-06,86.4,0.130
2005-06-07,84.3,0.098
2005-06-08,83.8,0.079
2005-06-09,83.1,0.126
2005-06-10,80.3,0.209
2005-06-11,73.5,0.240
2005-06-12,80.1,0.217
2005-06-13,84.5,0.016
2005-06-14,88.6,0.000
2005-06-15,87.5,0.004
2005-06-16,85.1,0.000
2005-06-17,82.8,0.000
2005-06-18,82.9,0.059
2005-06-19,79.6,0.000
2005-06-20,79.5,0.043
2005-06-21,81.9,0.043
2005-06-22,86.6,0.008
2005-06-23,86.9,0.000
2005-06-24,87.4,0.000
2005-06-25,83.3,0.071
2005-06-26,77.0,0.354
2005-06-27,86.2,0.232
2005-06-28,79.6,0.811
2005-06-29,83.6,0.138
