latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.26186,-76.61157,8.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,45.4,0.142
2005-04-04,60.7,0.000
2005-04-05,65.7,0.000
2005-04-06,76.9,0.000
2005-04-07,73.0,0.181
2005-04-08,65.7,0.303
2005-04-09,63.0,0.000
2005-04-10,69.7,0.000
2005-04-11,65.1,0.000
2005-04-12,53.7,0.000
2005-04-13,60.0,0.000
2005-04-14,64.3,0.000
2005-04-15,56.2,0.000
2005-04-16,60.2,0.000
2005-04-17,71.0,0.000
2005-04-18,73.6,0.000
2005-04-19,78.8,0.000
2005-04-20,81.9,0.000
2005-04-21,67.6,0.000
2005-04-22,54.6,0.402
2005-04-23,64.7,0.630
2005-04-24,51.1,0.004
2005-04-25,58.2,0.004
2005-04-26,67.6,0.051
2005-04-27,67.6,0.028
2005-04-28,64.1,0.000
2005-04-29,60.0,0.008
2005-04-30,66.1,0.921
2005-05-01,62.9,0.118
2005-05-02,62.2,0.079
2005-05-03,57.0,0.000
2005-05-04,57.8,0.004
2005-05-05,61.5,0.000
2005-05-06,55.6,0.000
2005-05-07,69.1,0.000
2005-05-08,70.9,0.000
2005-05-09,75.1,0.000
2005-05-10,70.2,0.000
2005-05-11,80.4,0.000
2005-05-12,70.7,0.000
2005-05-13,60.8,0.000
2005-05-14,80.4,0.024
2005-05-15,73.7,0.000
2005-05-16,70.6,0.000
2005-05-17,68.0,0.000
2005-05-18,71.4,0.000
2005-05-19,71.0,0.079
2005-05-20,55.7,2.024
2005-05-21,71.6,0.000
2005-05-22,70.8,0.000
2005-05-23,64.8,0.063
2005-05-24,57.2,0.374
2005-05-25,56.9,0.169
2005-05-26,73.2,0.000
2005-05-27,77.1,0.000
2005-05-28,75.4,0.012
2005-05-29,73.2,0.000
2005-05-30,74.8,0.004
2005-05-31,77.2,0.000
2005-06-01,76.1,0.000
2005-06-02,66.7,0.000
2005-06-03,62.4,0.835
2005-06-04,73.2,0.000
2005-06-05,83.1,0.000
2005-06-06,86.4,0.024
2005-06-07,87.4,0.012
2005-06-08,87.2,0.000
2005-06-09,83.9,0.012
