latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.355007,-71.12906,8.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,53.6,0.634
2005-04-04,51.0,0.016
2005-04-05,60.8,0.000
2005-04-06,61.4,0.000
2005-04-07,68.8,0.047
2005-04-08,55.5,0.327
2005-04-09,55.2,0.000
2005-04-10,65.3,0.000
2005-04-11,46.5,0.012
2005-04-12,46.7,0.024
2005-04-13,48.0,0.000
2005-04-14,49.9,0.000
2005-04-15,47.4,0.000
2005-04-16,51.7,0.000
2005-04-17,69.3,0.000
2005-04-18,65.6,0.000
2005-04-19,71.6,0.000
2005-04-20,82.1,0.039
2005-04-21,56.6,0.161
2005-04-22,59.8,0.016
2005-04-23,64.8,0.256
2005-04-24,58.3,0.854
2005-04-25,53.0,0.043
2005-04-26,65.8,0.000
2005-04-27,54.6,0.614
2005-04-28,59.4,0.063
2005-04-29,61.4,0.000
2005-04-30,59.1,0.382
2005-05-01,56.0,0.295
2005-05-02,60.8,0.055
2005-05-03,57.3,0.016
2005-05-04,56.1,0.012
2005-05-05,57.2,0.000
2005-05-06,54.3,0.039
2005-05-07,43.9,0.976
2005-05-08,48.2,0.020
2005-05-09,51.3,0.000
2005-05-10,63.1,0.000
2005-05-11,73.0,0.000
2005-05-12,58.8,0.008
2005-05-13,59.8,0.000
2005-05-14,62.7,0.016
2005-05-15,56.5,0.106
2005-05-16,56.9,0.209
2005-05-17,61.4,0.016
2005-05-18,56.9,0.177
2005-05-19,59.9,0.000
2005-05-20,63.6,0.000
2005-05-21,53.7,0.224
2005-05-22,53.0,0.122
2005-05-23,51.9,0.181
2005-05-24,47.9,0.543
2005-05-25,46.7,1.244
2005-05-26,51.5,0.366
2005-05-27,61.5,0.039
2005-05-28,72.5,0.000
2005-05-29,67.0,0.157
2005-05-30,69.3,0.024
2005-05-31,55.7,0.067
2005-06-01,60.6,0.000
2005-06-02,72.8,0.000
2005-06-03,74.5,0.000
2005-06-04,78.1,0.000
2005-06-05,82.6,0.000
2005-06-06,74.5,0.000
2005-06-07,81.4,0.020
2005-06-08,84.3,0.000
2005-06-09,78.0,0.000
2005-06-10,80.7,0.000
2005-06-11,85.8,0.059
2005-06-12,85.1,0.122
2005-06-13,86.1,0.028
2005-06-14,78.0,0.016
2005-06-15,57.6,0.024
2005-06-16,62.1,0.236
2005-06-17,69.0,0.335
2005-06-18,61.5,0.063
2005-06-19,60.3,0.000
2005-06-20,72.7,0.000
2005-06-21,80.6,0.000
2005-06-22,71.4,0.236
2005-06-23,73.2,0.000
2005-06-24,83.1,0.000
2005-06-25,91.7,0.000
2005-06-26,91.5,0.000
2005-06-27,84.5,0.000
2005-06-28,77.1,0.031
2005-06-29,86.9,0.173
2005-06-30,79.1,0.075
2005-07-01,74.9,0.008
2005-07-02,78.9,0.000
2005-07-03,75.8,0.000
2005-07-04,77.8,0.000
2005-07-05,85.4,0.000
2005-07-06,71.9,0.772
2005-07-07,62.6,0.000
2005-07-08,61.9,1.020
2005-07-09,74.3,0.071
2005-07-10,84.8,0.000
2005-07-11,86.7,0.000
2005-07-12,71.6,0.000
2005-07-13,78.9,0.000
2005-07-14,84.9,0.000
2005-07-15,77.2,0.201
2005-07-16,83.2,0.000
2005-07-17,79.8,0.067
2005-07-18,82.5,0.165
2005-07-19,90.0,0.051
2005-07-20,86.9,0.000
2005-07-21,85.9,0.000
2005-07-22,88.4,0.031
2005-07-23,81.5,0.000
2005-07-24,80.6,0.000
2005-07-25,82.2,0.000
2005-07-26,94.2,0.000
2005-07-27,92.8,0.000
2005-07-28,74.5,0.000
2005-07-29,84.9,0.000
2005-07-30,76.7,0.000
2005-07-31,75.3,0.000
2005-08-01,85.1,0.000
2005-08-02,87.8,0.016
2005-08-03,88.7,0.039
2005-08-04,83.9,0.000
2005-08-05,95.9,0.012
2005-08-06,80.6,0.000
2005-08-07,84.0,0.000
2005-08-08,89.7,0.000
2005-08-09,86.4,0.043
2005-08-10,88.0,0.008
2005-08-11,89.7,0.035
2005-08-12,83.4,0.000
2005-08-13,95.2,0.000
2005-08-14,86.6,0.878
2005-08-15,70.7,0.673
2005-08-16,74.1,0.000
2005-08-17,80.7,0.012
2005-08-18,75.2,0.000
2005-08-19,75.4,0.008
2005-08-20,79.0,0.000
2005-08-21,85.1,0.331
2005-08-22,80.7,0.000
2005-08-23,77.0,0.000
2005-08-24,72.1,0.075
2005-08-25,75.3,0.000
2005-08-26,80.6,0.000
2005-08-27,81.3,0.000
2005-08-28,82.0,0.043
2005-08-29,77.1,0.260
2005-08-30,71.6,1.244
2005-08-31,80.9,0.098
2005-09-01,80.6,0.126
2005-09-02,81.6,0.000
2005-09-03,77.7,0.000
2005-09-04,74.4,0.043
2005-09-05,71.0,0.000
2005-09-06,73.2,0.000
2005-09-07,79.6,0.000
2005-09-08,82.1,0.000
2005-09-09,72.6,0.000
2005-09-10,70.6,0.000
2005-09-11,72.9,0.000
2005-09-12,88.3,0.000
2005-09-13,79.5,0.000
2005-09-14,84.4,0.000
2005-09-15,76.8,0.972
2005-09-16,69.7,0.236
2005-09-17,70.8,0.205
2005-09-18,72.6,0.000
2005-09-19,78.3,0.000
2005-09-20,78.8,0.000
2005-09-21,77.6,0.000
2005-09-22,81.7,0.000
2005-09-23,80.0,0.020
2005-09-24,64.5,0.000
2005-09-25,69.1,0.000
2005-09-26,75.4,0.295
2005-09-27,69.3,0.154
2005-09-28,68.9,0.000
2005-09-29,73.7,0.248
2005-09-30,61.5,0.000
2005-10-01,69.0,0.000
2005-10-02,73.4,0.000
2005-10-03,71.7,0.000
2005-10-04,72.5,0.000
2005-10-05,74.9,0.000
2005-10-06,75.2,0.000
2005-10-07,77.8,0.075
2005-10-08,71.0,1.591
2005-10-09,62.2,1.839
2005-10-10,56.0,0.594
2005-10-11,55.7,0.398
2005-10-12,55.5,0.610
2005-10-13,59.8,0.449
2005-10-14,59.1,1.807
2005-10-15,58.0,2.071
2005-10-16,58.4,0.000
2005-10-17,60.9,0.024
2005-10-18,62.7,0.028
2005-10-19,62.9,0.000
2005-10-20,56.5,0.000
2005-10-21,56.8,0.000
