time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,53,0
4/4/2005,59.2,0
4/5/2005,70.1,0
4/6/2005,69.7,0
4/7/2005,65.6,0.142
4/8/2005,50.5,0
4/9/2005,56.7,0
4/10/2005,67,0
4/11/2005,65.8,0
4/12/2005,59.8,0.126
4/13/2005,48.1,0
4/14/2005,51.6,0
4/15/2005,53.8,0
4/16/2005,65.2,0
4/17/2005,68.7,0.043
4/18/2005,72.9,0
4/19/2005,75,0
4/20/2005,72.3,0.315
4/21/2005,51.6,0.004
4/22/2005,48.8,0.394
4/23/2005,42.2,0.055
4/24/2005,49.2,0.008
4/25/2005,62.2,0
4/26/2005,58.7,0.039
4/27/2005,52.6,0.059
4/28/2005,51.1,0.008
4/29/2005,50.4,0
4/30/2005,52.9,0.008
5/1/2005,51,0.028
5/2/2005,46.7,0.02
5/3/2005,47,0
5/4/2005,56.3,0
5/5/2005,63.1,0
5/6/2005,71.8,0.035
5/7/2005,67.9,0
5/8/2005,76.3,0
5/9/2005,75.2,0
5/10/2005,79.2,0.016
5/11/2005,76.7,0.189
5/12/2005,54.5,0.106
5/13/2005,74.2,0.244
5/14/2005,63.9,0.11
5/15/2005,57.3,0.016
5/16/2005,55.3,0
5/17/2005,66.1,0
5/18/2005,72.4,0
5/19/2005,70.1,0.256
5/20/2005,61.6,0.039
5/21/2005,69.1,0
5/22/2005,77.8,0.079
5/23/2005,74.1,0.008
5/24/2005,61.1,0
5/25/2005,64.1,0
5/26/2005,69.1,0.02
5/27/2005,69.7,0.004
5/28/2005,67.9,0
5/29/2005,70.2,0
5/30/2005,68.7,0
5/31/2005,67,0
6/1/2005,74.8,0
6/2/2005,73.3,0.016
6/3/2005,71.9,0.043
6/4/2005,86.1,0
6/5/2005,86.5,0.114
6/6/2005,87.1,0
6/7/2005,90,0
6/8/2005,89.7,0
6/9/2005,86.2,0
6/10/2005,86.2,0.059
6/11/2005,86.7,0.142
6/12/2005,79.9,0.02
6/13/2005,85.6,0
6/14/2005,84.4,0.016
6/15/2005,73.2,0.028
6/16/2005,74.4,0
6/17/2005,74.2,0
6/18/2005,66.8,0
6/19/2005,74.9,0
6/20/2005,81,0
6/21/2005,85.6,0.071
6/22/2005,77.5,0
6/23/2005,90.2,0
6/24/2005,95.6,0
6/25/2005,93.2,0
6/26/2005,89.5,0
6/27/2005,92,0
6/28/2005,88.8,0.004
6/29/2005,84.1,0.374
6/30/2005,89.3,0.047
7/1/2005,86.9,0
7/2/2005,71.8,0
7/3/2005,85.9,0
7/4/2005,84.3,0.193
7/5/2005,82.3,0.075
7/6/2005,76.3,0.035
7/7/2005,76,0.098
7/8/2005,80.3,0
7/9/2005,84.1,0
7/10/2005,86.8,0
7/11/2005,85.5,0
7/12/2005,81.4,0.39
7/13/2005,80.5,0.142
7/14/2005,80.6,0
7/15/2005,82.1,0
7/16/2005,85.6,0.118
7/17/2005,91.8,0
7/18/2005,90.2,0.059
7/19/2005,87.2,0
7/20/2005,91.1,0
7/21/2005,87.5,0.488
7/22/2005,80.6,0.634
7/23/2005,85.3,0
7/24/2005,98,0
7/25/2005,94.8,0.122
7/26/2005,87.8,0.335
7/27/2005,72.2,0.917
7/28/2005,76.4,0
7/29/2005,79,0
7/30/2005,80.7,0
7/31/2005,85.9,0
8/1/2005,88.3,0
8/2/2005,89.7,0
8/3/2005,90.8,0
8/4/2005,89.3,0
8/5/2005,83.3,0.02
8/6/2005,81.7,0
8/7/2005,85.3,0
8/8/2005,88.2,0
8/9/2005,91.6,0
8/10/2005,89.3,0.102
8/11/2005,81.5,0.035
8/12/2005,83.8,0.543
8/13/2005,81.6,0.236
8/14/2005,75.2,0.028
8/15/2005,78.7,0
8/16/2005,79.8,0
8/17/2005,81.1,0
8/18/2005,83.4,0.067
8/19/2005,85.7,0.059
8/20/2005,84.2,0.563
8/21/2005,81.7,0
8/22/2005,77.9,0
8/23/2005,70,0
8/24/2005,75.5,0
8/25/2005,76.6,0.008
8/26/2005,82.4,0
8/27/2005,81.4,0
8/28/2005,82.3,0
8/29/2005,82.3,0
8/30/2005,79.6,0
8/31/2005,73.7,0.051
9/1/2005,81.3,0
9/2/2005,81.3,0
9/3/2005,77.2,0
9/4/2005,78.5,0.134
9/5/2005,83.7,0
9/6/2005,82.7,0
9/7/2005,85.6,0
9/8/2005,83.2,0.028
9/9/2005,82.7,0
9/10/2005,86.8,0
9/11/2005,88.6,0
9/12/2005,88.8,0
9/13/2005,90.8,0
9/14/2005,87,0.169
9/15/2005,70.7,0
9/16/2005,69.7,0.232
9/17/2005,72.5,0
9/18/2005,79.2,0
9/19/2005,82.1,0.571
9/20/2005,78.6,0.11
9/21/2005,82.3,0
9/22/2005,85.8,0.031
9/23/2005,71.1,0.248
9/24/2005,73.8,0.189
9/25/2005,75.3,0.189
9/26/2005,69.9,0.043
9/27/2005,71.6,0
9/28/2005,73.7,0.252
9/29/2005,60.5,0.197
9/30/2005,67.6,0
10/1/2005,75,0
10/2/2005,80.5,0
10/3/2005,82.8,0.02
10/4/2005,83.7,0.008
10/5/2005,82.6,0
10/6/2005,78.2,0.004
10/7/2005,56.2,0.075
10/8/2005,53.8,0
10/9/2005,56.8,0
10/10/2005,59.8,0
10/11/2005,60.9,0
10/12/2005,63.1,0.008
10/13/2005,69.8,0
10/14/2005,73.3,0
10/15/2005,68.8,0
10/16/2005,60.4,0
10/17/2005,69.9,0.059
10/18/2005,68.9,0
10/19/2005,64.9,0
10/20/2005,53.8,0
10/21/2005,56.4,0
10/22/2005,53.1,0.091
10/23/2005,50.2,0.138
10/24/2005,49.2,0.528
10/25/2005,50.5,0.217
10/26/2005,50.6,0
10/27/2005,49.9,0
10/28/2005,53.1,0
10/29/2005,58.1,0
10/30/2005,61,0
10/31/2005,59.5,0.039
11/1/2005,55,0.197
11/2/2005,61.8,0
11/3/2005,65.7,0
11/4/2005,67,0
11/5/2005,60.8,0.39
11/6/2005,61.9,0.606
11/7/2005,60.7,0
11/8/2005,58.5,0
11/9/2005,63.6,0.181
11/10/2005,47.2,0
11/11/2005,56.5,0
11/12/2005,61.6,0.008
11/13/2005,61.7,0.071
11/14/2005,47.3,0.035
11/15/2005,49.2,0.366
11/16/2005,50.7,0.024
11/17/2005,26.3,0
11/18/2005,38.5,0.008
11/19/2005,51.4,0
11/20/2005,46.1,0
11/21/2005,46.8,0
11/22/2005,43.8,0
11/23/2005,44.6,0.102
11/24/2005,41.1,0.024
11/25/2005,25.6,0
11/26/2005,42.2,0.012
11/27/2005,49.3,0.303
11/28/2005,56.9,0.756
11/29/2005,50.4,0
11/30/2005,30,0
12/1/2005,30.8,0.067
12/2/2005,26.7,0
12/3/2005,30.1,0.016
12/4/2005,29.2,0.138
12/5/2005,23,0
12/6/2005,20.4,0
12/7/2005,18.3,0
12/8/2005,25.8,0.094
12/9/2005,28.6,0.374
12/10/2005,26.4,0.012
12/11/2005,31.3,0.035
12/12/2005,27.4,0
12/13/2005,25.9,0
12/14/2005,32.7,0.126
12/15/2005,34.2,0.059
12/16/2005,28.7,0.016
12/17/2005,20.3,0
12/18/2005,16.7,0
12/19/2005,9.6,0
12/20/2005,21,0
12/21/2005,20.3,0
12/22/2005,35.4,0
12/23/2005,40.8,0.004
12/24/2005,38.3,0.165
12/25/2005,36.3,0.126
12/26/2005,36.2,0
12/27/2005,43.1,0
12/28/2005,37.2,0.004
12/29/2005,36.7,0.008
12/30/2005,38.7,0.043
12/31/2005,38.1,0.236
1/1/2006,41.7,0
1/2/2006,41.5,0.535
1/3/2006,41,0.028
1/4/2006,40.7,0.012
1/5/2006,38.4,0
1/6/2006,32.1,0
1/7/2006,39.5,0
1/8/2006,42.6,0
1/9/2006,37.9,0
1/10/2006,37.1,0
1/11/2006,39.4,0.118
1/12/2006,50.9,0
1/13/2006,46.1,0.374
1/14/2006,35.1,0.008
1/15/2006,39.1,0
1/16/2006,44,0
1/17/2006,39.8,0.047
1/18/2006,31.9,0.02
1/19/2006,50.8,0
1/20/2006,47.4,0.083
1/21/2006,32.9,0.622
1/22/2006,36.6,0
1/23/2006,33.1,0
1/24/2006,38.1,0
1/25/2006,34.9,0
1/26/2006,37.6,0
1/27/2006,46.6,0
