time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,49.2,0
4/4/2005,56.2,0
4/5/2005,64.6,0
4/6/2005,64,0.051
4/7/2005,49.6,0.075
4/8/2005,47.1,0
4/9/2005,53.8,0
4/10/2005,62.8,0.008
4/11/2005,63.2,0
4/12/2005,50.2,0.224
4/13/2005,46.3,0
4/14/2005,48.5,0
4/15/2005,50.6,0
4/16/2005,62.2,0
4/17/2005,66.8,0.035
4/18/2005,70,0
4/19/2005,72.1,0.075
4/20/2005,64.1,0.122
4/21/2005,50.3,0
4/22/2005,50.6,0.417
4/23/2005,39.5,0.028
4/24/2005,48.2,0.004
4/25/2005,60.3,0
4/26/2005,54.5,0.031
4/27/2005,52.6,0.02
4/28/2005,49.6,0.028
4/29/2005,49.3,0
4/30/2005,52.2,0.016
5/1/2005,50,0.051
5/2/2005,45.5,0.012
5/3/2005,46,0
5/4/2005,54.9,0
5/5/2005,61,0
5/6/2005,69.7,0.012
5/7/2005,59.5,0.004
5/8/2005,75.9,0
5/9/2005,72.7,0.031
5/10/2005,77.2,0
5/11/2005,62.7,0.047
5/12/2005,55.9,0.169
5/13/2005,72.2,0.402
5/14/2005,63.7,0
5/15/2005,52.7,0.012
5/16/2005,54.4,0
5/17/2005,65.7,0
5/18/2005,71.3,0
5/19/2005,68.3,0.492
5/20/2005,59.9,0
5/21/2005,68.2,0
5/22/2005,76.7,0.047
5/23/2005,65.1,0.004
5/24/2005,59.5,0
5/25/2005,62.5,0
5/26/2005,67.6,0.02
5/27/2005,68.9,0.004
5/28/2005,66.4,0.004
5/29/2005,70,0
5/30/2005,66.7,0
5/31/2005,64.7,0
6/1/2005,73,0
6/2/2005,72.1,0.157
6/3/2005,71.8,0.024
6/4/2005,85,0
6/5/2005,84.4,0.094
6/6/2005,85.6,0
6/7/2005,89.8,0
6/8/2005,88.8,0.012
6/9/2005,83.6,0.075
6/10/2005,86,0.087
6/11/2005,84.8,0.146
6/12/2005,78,0.008
6/13/2005,86.1,0.008
6/14/2005,79.8,0.012
6/15/2005,71.4,0.043
6/16/2005,72.9,0
6/17/2005,65.2,0
6/18/2005,65.9,0
6/19/2005,73.5,0
6/20/2005,79.4,0
6/21/2005,84.7,0
6/22/2005,74.6,0
6/23/2005,88.7,0
6/24/2005,93.3,0
6/25/2005,83.5,0
6/26/2005,88,0.012
6/27/2005,90.7,0
6/28/2005,88,0.047
6/29/2005,84.9,0.142
6/30/2005,88.6,0.031
7/1/2005,78.4,0
7/2/2005,71.1,0
7/3/2005,84.9,0
7/4/2005,79.5,0.461
7/5/2005,81.7,0.004
7/6/2005,75.5,0.043
7/7/2005,75.1,0.122
7/8/2005,79.1,0
7/9/2005,82.3,0
7/10/2005,85.3,0
7/11/2005,84.2,0
7/12/2005,79.6,0.571
7/13/2005,78.8,0.016
7/14/2005,79.2,0
7/15/2005,80.9,0
7/16/2005,84.4,0.126
7/17/2005,89.8,0.012
7/18/2005,88.2,0.016
7/19/2005,86.6,0
7/20/2005,88.9,0.272
7/21/2005,87.5,0.319
7/22/2005,80,0
7/23/2005,84.9,0
7/24/2005,95.9,0
7/25/2005,92.9,0.047
7/26/2005,85.1,2.138
7/27/2005,70,0.028
7/28/2005,76,0
7/29/2005,78.9,0
7/30/2005,80.4,0
7/31/2005,85.3,0
8/1/2005,87.8,0
8/2/2005,88.9,0
8/3/2005,88.9,0.004
8/4/2005,87,0.146
8/5/2005,79.7,0
8/6/2005,80.7,0
8/7/2005,84,0
8/8/2005,86.9,0
8/9/2005,90.2,0
8/10/2005,84.8,0.063
8/11/2005,83,0.122
8/12/2005,83.5,0.28
8/13/2005,77,0.425
8/14/2005,74.6,0.098
8/15/2005,78.1,0
8/16/2005,79.1,0
8/17/2005,81,0
8/18/2005,82.2,0.087
8/19/2005,85.3,0
8/20/2005,83.5,0.571
8/21/2005,80.1,0
8/22/2005,72.2,0.008
8/23/2005,69.4,0.008
8/24/2005,75.4,0
8/25/2005,76.6,0
8/26/2005,81.7,0
8/27/2005,80.2,0
8/28/2005,81.1,0.004
8/29/2005,80.9,0
8/30/2005,77.4,0
8/31/2005,72.7,0.043
9/1/2005,79.2,0
9/2/2005,80.2,0
9/3/2005,74.7,0
9/4/2005,77.4,0.059
9/5/2005,82.4,0
9/6/2005,81.5,0
9/7/2005,83.8,0
9/8/2005,77.1,0.004
9/9/2005,81.6,0
9/10/2005,85,0
9/11/2005,87.4,0
9/12/2005,87.6,0
9/13/2005,88.2,0
9/14/2005,76.7,0.197
9/15/2005,69.9,0.205
9/16/2005,66.2,0.146
9/17/2005,71.6,0
9/18/2005,77.8,0
9/19/2005,79.8,0.866
9/20/2005,77.4,0
9/21/2005,80.5,0
9/22/2005,83.5,0.228
9/23/2005,68.4,0.146
9/24/2005,74.6,0.083
9/25/2005,74.1,0.268
9/26/2005,67.8,0.028
9/27/2005,71.1,0
9/28/2005,72.8,0.5
9/29/2005,59.3,0
9/30/2005,66.4,0
10/1/2005,73.7,0
10/2/2005,78.3,0.043
10/3/2005,80.8,0
10/4/2005,82.5,0.008
10/5/2005,81.1,0
10/6/2005,73,0.012
10/7/2005,56.7,0.047
10/8/2005,53.7,0
10/9/2005,57.5,0
10/10/2005,58.9,0
10/11/2005,59.9,0
10/12/2005,62.8,0.008
10/13/2005,69.1,0
10/14/2005,71.8,0
10/15/2005,64.5,0
10/16/2005,58,0
10/17/2005,68.2,0.079
10/18/2005,67.2,0
10/19/2005,62.3,0
10/20/2005,53.6,0.035
10/21/2005,55.3,0
