time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,59.7,0
4/4/2005,71.3,0
4/5/2005,76.3,0
4/6/2005,77.4,0
4/7/2005,69.6,0.35
4/8/2005,66.7,0.008
4/9/2005,72.9,0
4/10/2005,79,0
4/11/2005,80.5,0
4/12/2005,70.5,0.051
4/13/2005,63.3,0.315
4/14/2005,65.4,0
4/15/2005,68.4,0
4/16/2005,71.2,0
4/17/2005,76,0
4/18/2005,77.8,0
4/19/2005,76.4,0
4/20/2005,78.2,0
4/21/2005,72.3,0.067
4/22/2005,68.7,0.402
4/23/2005,61.5,1.398
4/24/2005,49,0.087
4/25/2005,62.2,0
4/26/2005,57.3,0.492
4/27/2005,56,0.008
4/28/2005,62.4,0.008
4/29/2005,59.1,0.087
4/30/2005,56.2,0.272
5/1/2005,58.5,0
5/2/2005,54.2,0.004
5/3/2005,53.4,0
5/4/2005,60.4,0
5/5/2005,66.6,0
5/6/2005,69.2,0
5/7/2005,75,0.008
5/8/2005,77.4,0
5/9/2005,80.5,0
5/10/2005,78.7,0.004
5/11/2005,84.8,0.012
5/12/2005,77.7,0.236
5/13/2005,85,0.067
5/14/2005,76.5,0.528
5/15/2005,63.2,0
5/16/2005,60.7,0
5/17/2005,68.4,0
5/18/2005,75.8,0
5/19/2005,73,0.354
5/20/2005,69.8,0.693
5/21/2005,72.8,0
5/22/2005,74.8,0.016
5/23/2005,75.2,0.039
5/24/2005,67.9,0
5/25/2005,72,0
5/26/2005,76.2,0
5/27/2005,75.9,0
5/28/2005,72.7,0.181
5/29/2005,75.5,0
5/30/2005,72.1,0.028
5/31/2005,76.9,0
6/1/2005,79.5,0
6/2/2005,74.2,0.146
6/3/2005,77.3,0.122
6/4/2005,81.3,0.02
6/5/2005,90,0.004
6/6/2005,87.6,0.417
6/7/2005,87.2,0.059
6/8/2005,87.2,0.051
6/9/2005,89,0.059
6/10/2005,88.6,0.043
6/11/2005,82.5,0
6/12/2005,80.8,0.61
6/13/2005,85.6,0.035
6/14/2005,87.8,0.122
6/15/2005,80.7,0
6/16/2005,75.5,0
6/17/2005,75,0
6/18/2005,73.5,0
6/19/2005,75.9,0
6/20/2005,79.4,0
6/21/2005,82.4,0
6/22/2005,86.7,0
6/23/2005,86.3,0
6/24/2005,91.8,0
6/25/2005,91.5,0
6/26/2005,91.9,0
6/27/2005,92.3,0.213
6/28/2005,90.3,0.008
6/29/2005,91,0.024
6/30/2005,92.2,0
7/1/2005,89,0.402
7/2/2005,82.2,0
7/3/2005,86.6,0
7/4/2005,89.8,0
7/5/2005,85.1,0.094
7/6/2005,86.4,0
7/7/2005,84.5,0
7/8/2005,85.1,0
7/9/2005,86.7,0
7/10/2005,89.4,0
7/11/2005,90.5,0.303
7/12/2005,80.9,0.154
7/13/2005,75.3,0.634
7/14/2005,79.6,0.476
7/15/2005,83.9,0.087
7/16/2005,85.4,0.165
7/17/2005,84.7,0.039
7/18/2005,88,0.173
7/19/2005,87.1,0.169
7/20/2005,89.6,0.016
7/21/2005,92.1,0
7/22/2005,89.7,0.008
7/23/2005,90,0
7/24/2005,94.8,0
7/25/2005,96.2,0.008
7/26/2005,94.7,0.071
7/27/2005,88,0.138
7/28/2005,82.2,0
7/29/2005,84.9,0
7/30/2005,87.5,0
7/31/2005,90,0
8/1/2005,93,0
8/2/2005,93.1,0
8/3/2005,95,0
8/4/2005,93.7,0
8/5/2005,89.8,0.161
8/6/2005,80.4,0.201
8/7/2005,89.7,0.043
8/8/2005,87.7,0.008
8/9/2005,89.6,0
8/10/2005,92.3,0
8/11/2005,93.9,0.031
8/12/2005,96.2,0
8/13/2005,96,0
8/14/2005,88.9,0.063
8/15/2005,84.6,0.15
8/16/2005,76.2,0.476
8/17/2005,86.3,0
8/18/2005,84.2,0.106
8/19/2005,90.7,0.366
8/20/2005,93.8,0.012
8/21/2005,88,0.055
8/22/2005,84.5,0
8/23/2005,80.1,0
8/24/2005,83.3,0
8/25/2005,87.1,0
8/26/2005,82.2,0.343
8/27/2005,84,0.165
8/28/2005,88,0
8/29/2005,81.5,0.236
8/30/2005,74.2,2.185
