latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.51142,-81.70029,203.0,-21600,America/Chicago,GMT-6

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,42.7,0.189
2005-04-04,49.5,0.000
2005-04-05,71.5,0.000
2005-04-06,72.4,0.000
2005-04-07,56.3,0.142
2005-04-08,51.1,0.000
2005-04-09,61.2,0.000
2005-04-10,61.3,0.000
2005-04-11,55.4,0.000
2005-04-12,55.7,0.000
2005-04-13,49.7,0.000
2005-04-14,52.1,0.000
2005-04-15,55.8,0.000
2005-04-16,65.3,0.000
2005-04-17,65.7,0.004
2005-04-18,67.9,0.000
2005-04-19,74.8,0.008
2005-04-20,73.5,0.264
2005-04-21,50.3,0.000
2005-04-22,54.5,0.331
2005-04-23,42.7,0.969
2005-04-24,36.4,0.961
2005-04-25,51.6,0.126
2005-04-26,59.3,0.449
2005-04-27,51.3,0.035
2005-04-28,50.6,0.028
2005-04-29,52.4,0.000
2005-04-30,48.0,0.134
2005-05-01,52.3,0.016
2005-05-02,48.9,0.039
2005-05-03,47.0,0.091
2005-05-04,49.7,0.039
2005-05-05,58.7,0.000
2005-05-06,59.1,0.000
2005-05-07,61.0,0.087
2005-05-08,64.3,0.000
2005-05-09,74.7,0.000
2005-05-10,75.5,0.000
2005-05-11,70.7,0.177
2005-05-12,52.1,0.000
2005-05-13,75.5,0.130
2005-05-14,67.4,0.854
2005-05-15,57.9,0.008
2005-05-16,52.2,0.004
2005-05-17,59.3,0.000
2005-05-18,64.7,0.000
2005-05-19,62.0,0.362
2005-05-20,65.1,0.008
2005-05-21,67.8,0.000
2005-05-22,64.5,0.504
2005-05-23,58.7,0.244
2005-05-24,54.0,0.055
2005-05-25,64.9,0.000
2005-05-26,70.4,0.012
2005-05-27,71.8,0.035
2005-05-28,66.5,0.091
2005-05-29,65.6,0.004
2005-05-30,66.2,0.063
2005-05-31,69.0,0.000
2005-06-01,74.9,0.000
2005-06-02,76.3,0.067
2005-06-03,71.0,0.075
2005-06-04,80.5,0.000
2005-06-05,87.5,0.063
2005-06-06,81.8,0.000
2005-06-07,85.8,0.000
2005-06-08,87.4,0.008
2005-06-09,88.3,0.382
2005-06-10,87.3,0.035
2005-06-11,84.5,0.114
2005-06-12,85.0,0.087
2005-06-13,80.2,0.260
2005-06-14,87.0,0.240
2005-06-15,74.5,0.374
2005-06-16,66.4,0.236
2005-06-17,65.6,0.075
2005-06-18,67.6,0.047
2005-06-19,71.2,0.000
2005-06-20,76.5,0.000
2005-06-21,79.9,0.043
2005-06-22,73.3,0.008
