time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,69,0
4/4/2005,66.5,0.004
4/5/2005,62.7,0.035
4/6/2005,60,0
4/7/2005,70.8,0
4/8/2005,68.2,0
4/9/2005,63,0.004
4/10/2005,56.8,0.902
4/11/2005,36.6,0.118
4/12/2005,50.9,0
4/13/2005,61.9,0
4/14/2005,70.4,0
4/15/2005,68.4,0
4/16/2005,66.4,0
4/17/2005,68.5,0.024
4/18/2005,72.3,0
4/19/2005,69.7,0
4/20/2005,64.4,0.055
4/21/2005,60.9,0.287
4/22/2005,57.8,0
4/23/2005,63.8,0.016
4/24/2005,62.9,0.106
4/25/2005,53.3,0.453
4/26/2005,61.1,0.028
4/27/2005,60.3,0.106
4/28/2005,54.6,0.213
4/29/2005,41.7,0.157
4/30/2005,47.4,0.059
5/1/2005,44.7,0.035
5/2/2005,50.3,0
5/3/2005,58,0
5/4/2005,64.5,0
5/5/2005,70.4,0
5/6/2005,73.2,0
5/7/2005,67.6,0.083
5/8/2005,66.5,0.016
5/9/2005,73.2,0
5/10/2005,75.4,0
5/11/2005,73.1,0.543
5/12/2005,63.4,0.209
5/13/2005,61.6,0.004
5/14/2005,65.1,0
5/15/2005,71.6,0
5/16/2005,77.8,0
5/17/2005,74.9,0
5/18/2005,76.6,0
5/19/2005,81.6,0
5/20/2005,88.2,0
5/21/2005,86.7,0
5/22/2005,86,0
5/23/2005,85.2,0
5/24/2005,81.8,0.094
5/25/2005,76.3,0.22
5/26/2005,63.8,0.008
5/27/2005,68.7,0
5/28/2005,73.5,0.047
5/29/2005,71.7,0.087
5/30/2005,68.7,0.272
5/31/2005,68.2,0.488
6/1/2005,80,0.02
6/2/2005,76.3,0.201
6/3/2005,68.3,0.398
6/4/2005,57.2,0.744
6/5/2005,72.8,0
6/6/2005,81.2,0
6/7/2005,78.9,0
6/8/2005,78.1,0.02
6/9/2005,76.8,0.087
6/10/2005,62,0.665
6/11/2005,69,0.217
6/12/2005,68.1,0.307
6/13/2005,71.1,0
6/14/2005,74.2,0
6/15/2005,80.5,0
6/16/2005,81.5,0.024
6/17/2005,86.7,0.008
6/18/2005,85.9,0
6/19/2005,86.4,0
6/20/2005,85.6,0
6/21/2005,88.8,0
6/22/2005,88.1,0
6/23/2005,84.3,0.031
6/24/2005,81.6,0.083
6/25/2005,85.7,0.059
6/26/2005,84.8,0.008
6/27/2005,86.8,0.016
6/28/2005,88,0
6/29/2005,85.1,0
6/30/2005,82.9,0.008
7/1/2005,86.5,0.008
7/2/2005,90.4,0
7/3/2005,89.4,0
7/4/2005,81,0
7/5/2005,85.2,0
7/6/2005,88.3,0.02
7/7/2005,91.2,0
7/8/2005,92.7,0
7/9/2005,92.8,0
7/10/2005,91.5,0
7/11/2005,90.6,0
7/12/2005,89.5,0
7/13/2005,91.8,0
7/14/2005,94.8,0.008
7/15/2005,92.4,0.016
7/16/2005,96.7,0.016
7/17/2005,93.6,0
7/18/2005,84,0
7/19/2005,96,0
7/20/2005,99.2,0
7/21/2005,97.5,0.008
7/22/2005,97.9,0
7/23/2005,95.7,0.012
7/24/2005,91.7,0.008
7/25/2005,85.6,0.217
7/26/2005,74.7,0.291
7/27/2005,80.5,0
7/28/2005,87.7,0
7/29/2005,92.2,0
7/30/2005,93.3,0.024
7/31/2005,89.5,0
8/1/2005,91.1,0.106
8/2/2005,93.3,0
8/3/2005,90.6,0.102
8/4/2005,76.2,2.248
8/5/2005,73.8,0
8/6/2005,81.5,0
8/7/2005,83.5,0
8/8/2005,86.9,0
8/9/2005,85.5,0.02
8/10/2005,83.2,0.008
8/11/2005,79.8,0.102
8/12/2005,78.1,0
8/13/2005,72.8,0.004
8/14/2005,72.4,0.11
8/15/2005,79.4,0.012
8/16/2005,82.1,0.008
8/17/2005,82.5,0
8/18/2005,82.9,0
8/19/2005,82.6,0
8/20/2005,82.5,0
8/21/2005,80.4,0.012
8/22/2005,79.1,0.035
8/23/2005,81.9,0
8/24/2005,84.7,0
8/25/2005,86.1,0.004
8/26/2005,86.4,0
8/27/2005,86,0
8/28/2005,83.9,0
8/29/2005,86.6,0
8/30/2005,91.5,0
8/31/2005,89.1,0
9/1/2005,80.8,0
9/2/2005,85,0.004
9/3/2005,87.1,0
9/4/2005,84.4,0
9/5/2005,85.2,0.028
9/6/2005,79.7,0
9/7/2005,83.9,0
9/8/2005,87,0
9/9/2005,84.6,0.012
9/10/2005,85.9,0.039
9/11/2005,85.4,0
9/12/2005,84.1,0
9/13/2005,81.3,0.024
9/14/2005,69.7,0.138
9/15/2005,74.4,0
9/16/2005,81,0
9/17/2005,82.3,0
9/18/2005,80.3,0
9/19/2005,78.9,0
9/20/2005,85.6,0
9/21/2005,85.2,0
9/22/2005,75.3,0.012
9/23/2005,79.8,0.055
9/24/2005,75.5,0.004
9/25/2005,67.9,0.016
9/26/2005,78,0.035
9/27/2005,84.8,0
9/28/2005,79.1,0.079
9/29/2005,74.3,0
9/30/2005,79.5,0
10/1/2005,84.1,0
10/2/2005,84.8,0
10/3/2005,84.5,0
10/4/2005,80.9,0
10/5/2005,60.4,0.224
10/6/2005,57.1,0
