latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.355007,-83.00589,177.0,-21600,America/Chicago,GMT-6

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,53.7,0.000
2005-04-04,59.0,0.000
2005-04-05,64.7,0.000
2005-04-06,68.5,0.012
2005-04-07,58.7,0.063
2005-04-08,57.5,0.000
2005-04-09,57.9,0.000
2005-04-10,62.7,0.000
2005-04-11,55.1,0.000
2005-04-12,51.7,0.000
2005-04-13,55.1,0.000
2005-04-14,59.1,0.000
2005-04-15,57.4,0.000
2005-04-16,62.0,0.000
2005-04-17,67.1,0.012
2005-04-18,67.2,0.000
2005-04-19,77.5,0.000
2005-04-20,73.5,0.091
2005-04-21,55.5,0.000
2005-04-22,48.6,0.244
2005-04-23,43.2,0.496
2005-04-24,34.9,0.740
2005-04-25,57.5,0.024
2005-04-26,50.7,0.472
2005-04-27,52.1,0.055
2005-04-28,54.1,0.004
2005-04-29,56.2,0.000
2005-04-30,54.2,0.031
2005-05-01,54.4,0.031
2005-05-02,51.1,0.016
2005-05-03,47.7,0.035
2005-05-04,54.0,0.000
2005-05-05,57.4,0.000
2005-05-06,64.1,0.000
2005-05-07,66.7,0.039
2005-05-08,67.7,0.000
2005-05-09,73.6,0.000
2005-05-10,78.8,0.004
2005-05-11,71.8,0.059
2005-05-12,54.2,0.000
2005-05-13,63.0,0.236
2005-05-14,66.4,0.209
2005-05-15,58.0,0.008
2005-05-16,53.6,0.000
2005-05-17,60.8,0.000
2005-05-18,63.6,0.000
2005-05-19,58.4,0.343
2005-05-20,70.0,0.004
2005-05-21,73.9,0.000
2005-05-22,65.0,0.098
2005-05-23,58.7,0.638
2005-05-24,58.3,0.055
2005-05-25,70.0,0.000
2005-05-26,74.2,0.008
2005-05-27,71.5,0.028
2005-05-28,68.3,0.039
2005-05-29,69.4,0.000
2005-05-30,70.1,0.039
2005-05-31,73.4,0.000
2005-06-01,75.4,0.000
2005-06-02,75.0,0.008
2005-06-03,70.6,0.000
2005-06-04,79.1,0.000
2005-06-05,86.9,0.035
2005-06-06,84.2,0.000
2005-06-07,90.8,0.000
2005-06-08,88.0,0.000
2005-06-09,87.8,0.256
2005-06-10,87.9,0.035
2005-06-11,85.7,0.012
2005-06-12,82.6,0.063
2005-06-13,80.1,0.437
2005-06-14,83.5,0.311
2005-06-15,76.4,0.098
2005-06-16,68.3,0.051
2005-06-17,67.3,0.004
2005-06-18,68.4,0.000
2005-06-19,70.1,0.024
2005-06-20,76.1,0.000
2005-06-21,82.8,0.075
2005-06-22,77.7,0.000
2005-06-23,80.3,0.000
2005-06-24,89.5,0.000
2005-06-25,92.3,0.000
2005-06-26,88.4,0.000
2005-06-27,90.8,0.000
2005-06-28,89.1,0.098
2005-06-29,86.3,0.126
2005-06-30,85.9,0.000
2005-07-01,81.0,0.000
2005-07-02,73.5,0.000
2005-07-03,80.8,0.000
2005-07-04,89.5,0.000
2005-07-05,81.5,0.031
2005-07-06,79.4,0.008
2005-07-07,80.5,0.031
2005-07-08,80.8,0.106
2005-07-09,83.8,0.000
2005-07-10,86.4,0.000
2005-07-11,88.2,0.000
2005-07-12,86.2,0.039
2005-07-13,89.3,0.000
2005-07-14,88.0,0.205
2005-07-15,85.6,0.075
2005-07-16,82.8,0.846
2005-07-17,84.6,0.110
2005-07-18,87.0,0.185
2005-07-19,85.1,0.004
2005-07-20,86.6,0.000
2005-07-21,87.9,0.217
2005-07-22,85.2,0.693
2005-07-23,80.6,0.020
2005-07-24,90.0,0.173
2005-07-25,90.6,0.031
2005-07-26,88.6,0.465
2005-07-27,73.1,0.689
2005-07-28,75.8,0.000
2005-07-29,78.1,0.000
2005-07-30,77.6,0.000
2005-07-31,81.4,0.000
2005-08-01,88.8,0.000
2005-08-02,89.0,0.000
2005-08-03,89.0,0.000
2005-08-04,87.2,0.264
2005-08-05,83.5,0.004
2005-08-06,81.0,0.000
2005-08-07,83.4,0.000
2005-08-08,83.6,0.024
2005-08-09,87.8,0.000
2005-08-10,85.9,0.106
2005-08-11,81.1,0.000
2005-08-12,87.2,0.094
2005-08-13,82.3,0.500
2005-08-14,75.5,0.429
2005-08-15,78.2,0.000
2005-08-16,80.3,0.000
2005-08-17,80.3,0.000
2005-08-18,81.6,0.067
2005-08-19,84.5,0.028
2005-08-20,79.1,0.776
2005-08-21,80.9,0.000
2005-08-22,69.4,0.000
2005-08-23,70.8,0.004
2005-08-24,74.9,0.000
2005-08-25,76.4,0.000
2005-08-26,81.3,0.000
2005-08-27,81.4,0.091
2005-08-28,83.5,0.000
2005-08-29,82.5,0.000
2005-08-30,76.5,0.362
2005-08-31,77.4,0.177
2005-09-01,80.3,0.000
2005-09-02,80.0,0.000
2005-09-03,76.6,0.004
2005-09-04,74.7,0.000
2005-09-05,75.8,0.000
2005-09-06,78.9,0.000
2005-09-07,81.0,0.000
2005-09-08,76.6,0.000
2005-09-09,77.3,0.000
2005-09-10,78.7,0.000
2005-09-11,81.6,0.000
2005-09-12,85.7,0.000
2005-09-13,84.8,0.000
2005-09-14,79.1,0.134
2005-09-15,74.9,0.000
2005-09-16,66.7,1.091
2005-09-17,71.7,0.012
2005-09-18,75.6,0.016
2005-09-19,74.7,0.000
2005-09-20,76.8,0.000
2005-09-21,79.9,0.000
2005-09-22,82.6,0.406
2005-09-23,69.0,0.028
2005-09-24,68.4,0.079
2005-09-25,77.1,0.323
2005-09-26,73.1,0.398
2005-09-27,67.9,0.000
2005-09-28,72.3,0.197
2005-09-29,62.0,0.307
2005-09-30,63.8,0.000
2005-10-01,69.8,0.000
2005-10-02,75.2,0.000
2005-10-03,78.2,0.000
2005-10-04,78.4,0.000
2005-10-05,76.5,0.000
2005-10-06,78.7,0.000
2005-10-07,59.3,0.000
2005-10-08,54.2,0.020
2005-10-09,59.3,0.000
2005-10-10,59.7,0.000
2005-10-11,62.0,0.000
2005-10-12,60.7,0.000
2005-10-13,65.4,0.000
2005-10-14,68.6,0.000
2005-10-15,64.0,0.000
2005-10-16,57.5,0.000
2005-10-17,60.8,0.020
2005-10-18,65.1,0.000
2005-10-19,64.5,0.016
2005-10-20,54.7,0.000
2005-10-21,55.0,0.000
2005-10-22,53.0,0.000
2005-10-23,51.1,0.004
2005-10-24,49.6,0.142
2005-10-25,50.8,0.024
2005-10-26,48.2,0.000
2005-10-27,48.6,0.000
2005-10-28,49.5,0.000
2005-10-29,55.5,0.000
2005-10-30,57.9,0.000
2005-10-31,61.3,0.087
2005-11-01,54.3,0.280
2005-11-02,53.8,0.000
2005-11-03,65.4,0.000
2005-11-04,66.7,0.004
2005-11-05,61.4,0.169
2005-11-06,60.3,0.154
2005-11-07,56.2,0.000
2005-11-08,56.8,0.000
2005-11-09,65.2,0.343
2005-11-10,47.1,0.000
2005-11-11,51.4,0.000
2005-11-12,59.5,0.000
2005-11-13,63.7,0.055
2005-11-14,46.7,0.165
2005-11-15,60.2,0.768
2005-11-16,59.5,0.051
2005-11-17,31.9,0.000
2005-11-18,34.0,0.000
2005-11-19,47.2,0.000
2005-11-20,49.5,0.000
2005-11-21,42.7,0.000
2005-11-22,37.2,0.000
2005-11-23,33.1,0.217
2005-11-24,32.4,0.028
2005-11-25,29.4,0.035
2005-11-26,33.5,0.035
2005-11-27,44.5,0.177
2005-11-28,58.2,0.362
2005-11-29,50.4,0.110
2005-11-30,35.0,0.020
2005-12-01,33.5,0.031
2005-12-02,30.7,0.000
2005-12-03,29.3,0.063
2005-12-04,32.0,0.083
2005-12-05,27.2,0.000
2005-12-06,24.5,0.000
2005-12-07,24.7,0.000
2005-12-08,28.1,0.217
2005-12-09,28.7,0.217
2005-12-10,22.5,0.012
2005-12-11,31.8,0.020
2005-12-12,21.8,0.000
2005-12-13,24.0,0.000
2005-12-14,31.5,0.071
