time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,73,0
4/4/2005,72.9,0
4/5/2005,76.7,0.039
4/6/2005,76.9,0.26
4/7/2005,76.9,0
4/8/2005,79.5,0
4/9/2005,78,0
4/10/2005,79.4,0
4/11/2005,79.9,0.969
4/12/2005,77.4,0
4/13/2005,80.1,0
4/14/2005,76.1,0
4/15/2005,75.6,0
4/16/2005,78.2,0
4/17/2005,77.1,0
4/18/2005,75.2,0.035
4/19/2005,76.7,0.004
4/20/2005,79.6,0.004
4/21/2005,81.7,0.004
4/22/2005,84.1,0.075
4/23/2005,74.9,0
4/24/2005,73.7,0
4/25/2005,72.7,0.354
4/26/2005,77.8,0.02
4/27/2005,83.1,0
4/28/2005,84.7,0
4/29/2005,86.4,0.02
4/30/2005,73.5,0.185
5/1/2005,76.6,0
5/2/2005,77.7,0
5/3/2005,77.9,0
5/4/2005,78.6,0.016
5/5/2005,81.4,0
5/6/2005,80.8,0
5/7/2005,81.3,0
5/8/2005,77.7,1.598
5/9/2005,84.2,0.098
5/10/2005,85.1,0
5/11/2005,82.7,0
5/12/2005,82.1,0
5/13/2005,82.8,0
5/14/2005,83.8,0
5/15/2005,85.2,0
5/16/2005,82.2,0.043
5/17/2005,82,0
5/18/2005,83.5,0
5/19/2005,87,0
5/20/2005,86.3,0
5/21/2005,92.1,0
5/22/2005,93.3,0
5/23/2005,91.2,0
5/24/2005,90.5,0
5/25/2005,92.1,0
5/26/2005,88,0
5/27/2005,90.4,0.004
5/28/2005,90.6,0.012
5/29/2005,87.7,0.374
5/30/2005,82.8,0.417
5/31/2005,86.4,0
6/1/2005,85.9,0.059
6/2/2005,91.3,0
6/3/2005,90.4,0
6/4/2005,90.9,0
6/5/2005,93.1,0
6/6/2005,87.5,0.173
6/7/2005,90.4,0.154
6/8/2005,91,0.02
6/9/2005,91.4,0.039
6/10/2005,91.6,0
6/11/2005,91.2,0.008
6/12/2005,92.9,0
6/13/2005,94.5,0
6/14/2005,95.8,0.02
6/15/2005,96,0.039
6/16/2005,96.6,0
6/17/2005,95.8,0
6/18/2005,94.8,0.008
6/19/2005,95,0
6/20/2005,94.3,0
6/21/2005,94,0
6/22/2005,93.7,0
6/23/2005,93,0
6/24/2005,93.1,0
6/25/2005,93.1,0
6/26/2005,92.2,0.075
6/27/2005,92.7,0.004
6/28/2005,93.6,0.012
6/29/2005,93.2,0
6/30/2005,94.9,0.02
7/1/2005,97.8,0.004
7/2/2005,98.1,0.004
7/3/2005,96.9,0.031
7/4/2005,95.8,0.016
7/5/2005,95.1,0.012
7/6/2005,100,0
7/7/2005,97.7,0.106
7/8/2005,88,1.378
7/9/2005,87.6,0.472
7/10/2005,92.2,0.031
7/11/2005,92.5,0.024
7/12/2005,91,0.173
7/13/2005,91.5,0.268
7/14/2005,87.6,0.531
7/15/2005,79.7,1.386
7/16/2005,83.8,0.114
7/17/2005,86.1,0.339
7/18/2005,89.4,0.154
7/19/2005,88.7,0.193
7/20/2005,86,0.598
7/21/2005,86.6,0.165
7/22/2005,89.6,0.299
7/23/2005,89.4,0.051
7/24/2005,89.3,0.02
7/25/2005,90.4,0
7/26/2005,90.5,0
7/27/2005,91.3,0
7/28/2005,92.2,0
7/29/2005,92.1,0
7/30/2005,92.7,0
7/31/2005,93.4,0
8/1/2005,92.8,0.031
8/2/2005,92,0
8/3/2005,92.3,0
8/4/2005,93.1,0.008
8/5/2005,92.2,0.075
8/6/2005,93.5,0.02
8/7/2005,94.1,0
8/8/2005,93,0
8/9/2005,86.7,0.193
8/10/2005,92.5,0
8/11/2005,94.9,0
8/12/2005,94.6,0.012
8/13/2005,94.9,0.004
8/14/2005,91.3,0.283
8/15/2005,91,0.15
8/16/2005,89.9,0.075
8/17/2005,91.3,0.008
8/18/2005,93.1,0.028
8/19/2005,93.5,0.004
8/20/2005,95.7,0
8/21/2005,96.9,0
8/22/2005,96.7,0.008
8/23/2005,96.6,0.02
8/24/2005,96.4,0.016
8/25/2005,92.2,0.028
8/26/2005,93.8,0.004
8/27/2005,97.6,0.051
8/28/2005,94.9,0.024
8/29/2005,95.7,0.059
8/30/2005,94.9,0
8/31/2005,95.4,0
9/1/2005,94,0.016
9/2/2005,91.4,0.024
9/3/2005,90.4,0
9/4/2005,94.1,0
9/5/2005,94,0
9/6/2005,91.2,0
9/7/2005,90.3,0
9/8/2005,92.9,0
9/9/2005,91.5,0
9/10/2005,84.7,0.189
9/11/2005,89.1,0.004
9/12/2005,89,0.059
9/13/2005,89,0.13
9/14/2005,91.8,0
9/15/2005,92.5,0.043
9/16/2005,91.7,0
9/17/2005,94.3,0
9/18/2005,94,0
9/19/2005,94.9,0
9/20/2005,96.3,0
9/21/2005,100.1,0
9/22/2005,100.3,0
9/23/2005,92.8,0.307
9/24/2005,87.6,3.626
9/25/2005,94.4,0
9/26/2005,93.3,0
9/27/2005,94.7,0
9/28/2005,93.1,0
9/29/2005,86.7,0.02
9/30/2005,83.3,0
10/1/2005,87.7,0
10/2/2005,85.2,0.122
10/3/2005,87.7,0
10/4/2005,86.6,0.004
10/5/2005,88.3,0
10/6/2005,89.2,0
10/7/2005,75.2,0
10/8/2005,71.2,0.004
10/9/2005,79.1,0
10/10/2005,75.2,1.343
10/11/2005,81.2,0
10/12/2005,84.6,0
10/13/2005,83.9,0
10/14/2005,83.9,0
10/15/2005,82.1,0
10/16/2005,82.5,0
10/17/2005,85.1,0
10/18/2005,86.3,0
10/19/2005,86.2,0
10/20/2005,87.7,0
10/21/2005,84.4,0
10/22/2005,79.2,0
10/23/2005,80.9,0
10/24/2005,66.1,0
10/25/2005,70.6,0
10/26/2005,73.3,0
10/27/2005,74.9,0
10/28/2005,71.5,0
10/29/2005,73,0
10/30/2005,79.3,0
10/31/2005,79.3,0.709
11/1/2005,69.7,0
11/2/2005,73.3,0
11/3/2005,77.3,0
11/4/2005,80.1,0
11/5/2005,84.4,0.028
11/6/2005,84.2,0.028
11/7/2005,82.1,0.071
11/8/2005,83,0.031
11/9/2005,85.2,0
11/10/2005,82.6,0.008
11/11/2005,78.2,0.008
11/12/2005,82.3,0.012
11/13/2005,84,0
11/14/2005,83.3,0
11/15/2005,84.9,0.693
11/16/2005,59,0
11/17/2005,58.3,0
11/18/2005,55.1,0
11/19/2005,56.8,0.031
11/20/2005,66.1,0.264
11/21/2005,62.9,0
11/22/2005,71,0
11/23/2005,78.7,0
11/24/2005,76.6,0
11/25/2005,73.4,0.02
11/26/2005,69.9,0.925
11/27/2005,79.9,0.016
11/28/2005,66.2,0.13
11/29/2005,60.5,0
11/30/2005,64.9,0
12/1/2005,68.4,0.051
12/2/2005,66.3,0
12/3/2005,80.4,0.004
12/4/2005,72.8,0.291
12/5/2005,56.2,0
12/6/2005,57.1,0
12/7/2005,51,1.138
12/8/2005,45.1,0.083
12/9/2005,46.3,0
12/10/2005,56.7,0
12/11/2005,61.5,0
12/12/2005,65.4,0
12/13/2005,67.6,0
12/14/2005,66,2.421
12/15/2005,57.5,0
12/16/2005,49.6,0.008
12/17/2005,47.2,0.272
12/18/2005,55.6,0
12/19/2005,56,0
12/20/2005,46.9,0
12/21/2005,54.4,0
12/22/2005,56.5,0
12/23/2005,71,0
12/24/2005,67.9,0
12/25/2005,65.9,0
12/26/2005,73.3,0
12/27/2005,76.3,0
12/28/2005,70.6,0
12/29/2005,69.4,0
12/30/2005,75.2,0
12/31/2005,73.3,0
1/1/2006,78.8,0.008
1/2/2006,75.1,0
1/3/2006,76.5,0
1/4/2006,74.2,0
1/5/2006,67.1,0
1/6/2006,60.9,0
1/7/2006,71.5,0
1/8/2006,74.9,0
1/9/2006,76.8,0.035
1/10/2006,64.3,0.079
1/11/2006,66.2,0
1/12/2006,74,0.224
1/13/2006,66.2,0.016
1/14/2006,63.2,0
1/15/2006,70.8,0
1/16/2006,69.7,0.685
1/17/2006,56.6,0.177
1/18/2006,68.9,0
1/19/2006,69.6,0.004
1/20/2006,73.2,0.091
1/21/2006,64.1,0.535
1/22/2006,65.5,1.528
1/23/2006,57.6,0
1/24/2006,65.8,0
1/25/2006,67,0
1/26/2006,58,0
1/27/2006,67.1,0
1/28/2006,69.9,0.256
1/29/2006,74.6,0
1/30/2006,68.8,0.008
1/31/2006,67.5,0
2/1/2006,74.1,0.988
2/2/2006,74.5,0
2/3/2006,70.2,0
2/4/2006,66.3,0
2/5/2006,72.6,0
2/6/2006,64,0.008
2/7/2006,59.7,0
2/8/2006,67,0
2/9/2006,65.9,0
2/10/2006,66.9,1.154
2/11/2006,50.5,0
2/12/2006,56.9,0
2/13/2006,55.3,0
2/14/2006,71.9,0
2/15/2006,73.5,0.008
2/16/2006,76.7,0.024
2/17/2006,67.1,0.134
2/18/2006,51.7,0.276
2/19/2006,40.4,0.004
2/20/2006,53.8,0
2/21/2006,64.5,0.008
2/22/2006,76.5,0.039
2/23/2006,69.3,0
2/24/2006,64.3,0.039
2/25/2006,66.7,0.386
2/26/2006,64.7,0
2/27/2006,70.5,0
2/28/2006,73.8,0
3/1/2006,78.7,0
3/2/2006,79.3,0
3/3/2006,76.4,0
3/4/2006,72.4,0
3/5/2006,74.9,0.02
3/6/2006,78.4,0.012
3/7/2006,76.6,0.008
3/8/2006,78.9,0
3/9/2006,78.4,0.028
3/10/2006,80.1,0.012
3/11/2006,83.2,0
3/12/2006,82.7,0.02
3/13/2006,75.6,0.047
3/14/2006,72.4,0
3/15/2006,69.3,0
3/16/2006,80.3,0.071
3/17/2006,72.6,0.024
3/18/2006,71,0
3/19/2006,80.5,0.031
3/20/2006,78,0.268
3/21/2006,68.4,0
3/22/2006,62.3,0.059
3/23/2006,55.6,0
3/24/2006,60.5,0
3/25/2006,68.2,0
3/26/2006,70.8,0
3/27/2006,71.2,0.004
3/28/2006,74,0.472
3/29/2006,75.1,0.22
3/30/2006,78.1,0.008
3/31/2006,81.9,0.035
4/1/2006,82.6,0
4/2/2006,83.7,0
4/3/2006,85.2,0.012
4/4/2006,81.4,0.055
4/5/2006,82.5,0
4/6/2006,81.4,0
4/7/2006,85.6,0
4/8/2006,74.6,0
4/9/2006,79.1,0
4/10/2006,78.8,0
4/11/2006,80.4,0
4/12/2006,79.6,0
4/13/2006,82.8,0
4/14/2006,84.8,0
4/15/2006,85,0
4/16/2006,88.6,0
4/17/2006,92,0
4/18/2006,91.1,0
4/19/2006,88.6,0
4/20/2006,86.6,0
4/21/2006,84.1,0.366
4/22/2006,87.2,0
4/23/2006,86.6,0
4/24/2006,86.4,0
4/25/2006,87,0.256
4/26/2006,77.9,0.169
4/27/2006,78.7,0
4/28/2006,80.8,0.043
4/29/2006,82.7,0.335
4/30/2006,83.9,0
5/1/2006,86.4,0
5/2/2006,85.5,0.039
5/3/2006,87,0.016
5/4/2006,85.8,0.051
5/5/2006,88.6,0.02
5/6/2006,87.5,0
5/7/2006,84.5,0.004
5/8/2006,86.4,0.102
5/9/2006,93.7,0
5/10/2006,94.1,0.028
5/11/2006,83.2,0
