latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.050964,-94.44443,270.0,-21600,America/Chicago,GMT-6

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,74.7,0.000
2005-04-04,75.0,0.000
2005-04-05,74.4,0.331
2005-04-06,68.7,0.453
2005-04-07,60.9,0.000
2005-04-08,67.0,0.000
2005-04-09,74.6,0.000
2005-04-10,77.3,0.008
2005-04-11,69.6,0.902
2005-04-12,54.6,0.000
2005-04-13,62.5,0.000
2005-04-14,65.5,0.000
2005-04-15,70.5,0.000
2005-04-16,75.4,0.000
2005-04-17,76.8,0.000
2005-04-18,75.1,0.031
2005-04-19,74.4,0.008
2005-04-20,76.2,0.114
2005-04-21,70.8,0.563
2005-04-22,63.0,0.047
2005-04-23,54.6,0.000
2005-04-24,57.5,0.000
2005-04-25,57.2,0.130
2005-04-26,54.9,0.016
2005-04-27,61.4,0.000
2005-04-28,54.1,0.114
2005-04-29,49.5,0.079
2005-04-30,57.7,0.000
2005-05-01,55.3,0.000
2005-05-02,55.0,0.000
2005-05-03,60.0,0.000
2005-05-04,67.0,0.000
2005-05-05,66.9,0.000
2005-05-06,78.5,0.000
2005-05-07,78.7,0.000
2005-05-08,75.7,0.055
2005-05-09,77.3,0.012
2005-05-10,87.5,0.000
2005-05-11,83.1,0.594
2005-05-12,83.8,0.118
2005-05-13,75.2,1.020
2005-05-14,70.3,0.000
2005-05-15,62.1,0.000
2005-05-16,70.6,0.000
2005-05-17,77.4,0.000
2005-05-18,74.3,0.106
2005-05-19,86.4,0.000
2005-05-20,81.2,0.000
2005-05-21,82.2,0.000
2005-05-22,84.7,0.000
2005-05-23,86.3,0.000
2005-05-24,78.8,0.000
2005-05-25,80.1,0.000
2005-05-26,76.4,0.031
2005-05-27,74.1,0.071
2005-05-28,77.7,0.106
2005-05-29,79.8,0.000
2005-05-30,74.3,0.067
2005-05-31,81.4,0.067
2005-06-01,76.5,0.043
2005-06-02,82.1,0.000
2005-06-03,80.6,0.130
2005-06-04,87.9,1.118
2005-06-05,79.8,0.016
2005-06-06,86.0,0.205
2005-06-07,88.8,0.000
2005-06-08,87.7,0.567
2005-06-09,85.3,0.539
2005-06-10,84.9,0.094
2005-06-11,81.5,0.071
2005-06-12,83.5,0.571
2005-06-13,82.4,0.272
2005-06-14,79.8,0.000
2005-06-15,82.7,0.000
2005-06-16,82.8,0.000
2005-06-17,81.1,0.000
2005-06-18,82.1,0.000
2005-06-19,83.6,0.000
2005-06-20,85.4,0.000
2005-06-21,88.9,0.000
2005-06-22,90.6,0.000
2005-06-23,90.6,0.000
2005-06-24,93.0,0.000
2005-06-25,92.7,0.000
2005-06-26,91.4,0.000
2005-06-27,93.6,0.000
2005-06-28,94.2,0.000
2005-06-29,96.5,0.000
2005-06-30,91.9,0.228
2005-07-01,83.5,0.102
2005-07-02,85.4,0.031
2005-07-03,93.3,0.000
2005-07-04,84.1,2.697
2005-07-05,84.7,0.000
2005-07-06,85.6,0.000
2005-07-07,84.8,0.000
2005-07-08,88.3,0.000
2005-07-09,89.3,0.000
2005-07-10,87.8,0.000
2005-07-11,86.6,0.000
2005-07-12,87.7,0.000
2005-07-13,89.0,0.000
2005-07-14,87.5,0.000
2005-07-15,90.1,0.000
2005-07-16,92.5,0.000
2005-07-17,92.4,0.000
2005-07-18,86.4,0.075
2005-07-19,88.7,0.094
2005-07-20,96.8,0.000
2005-07-21,98.4,0.000
2005-07-22,100.5,0.071
2005-07-23,101.3,0.000
2005-07-24,97.6,0.000
2005-07-25,97.0,0.012
2005-07-26,86.6,0.272
2005-07-27,76.7,0.000
2005-07-28,81.9,0.000
2005-07-29,88.4,0.000
2005-07-30,90.9,0.000
2005-07-31,91.8,0.000
2005-08-01,94.2,0.000
2005-08-02,94.8,0.000
2005-08-03,97.7,0.000
2005-08-04,94.2,0.126
2005-08-05,82.5,0.000
2005-08-06,87.7,0.000
2005-08-07,89.6,0.020
2005-08-08,92.9,0.008
2005-08-09,94.9,0.000
2005-08-10,95.9,0.000
2005-08-11,94.2,0.000
2005-08-12,87.9,0.949
2005-08-13,80.0,1.866
2005-08-14,71.9,0.575
2005-08-15,73.4,0.583
2005-08-16,81.0,0.000
2005-08-17,81.3,0.087
2005-08-18,92.7,0.083
2005-08-19,90.1,0.079
2005-08-20,84.3,0.000
2005-08-21,86.0,0.000
2005-08-22,81.4,0.012
2005-08-23,75.3,0.413
2005-08-24,81.9,0.146
2005-08-25,81.0,1.075
2005-08-26,87.0,0.051
2005-08-27,87.3,0.000
2005-08-28,87.4,0.000
2005-08-29,84.2,0.000
2005-08-30,83.4,0.000
2005-08-31,86.7,0.000
2005-09-01,81.6,0.000
2005-09-02,82.5,0.000
2005-09-03,87.6,0.012
2005-09-04,87.2,0.008
2005-09-05,87.1,0.000
2005-09-06,86.2,0.000
2005-09-07,86.7,0.008
2005-09-08,87.6,0.000
2005-09-09,89.3,0.000
2005-09-10,88.7,0.000
2005-09-11,89.2,0.000
2005-09-12,86.6,0.000
2005-09-13,87.8,0.508
2005-09-14,75.3,0.000
2005-09-15,65.4,1.575
2005-09-16,71.7,0.000
2005-09-17,75.4,0.000
2005-09-18,86.1,0.000
2005-09-19,87.8,0.260
2005-09-20,85.0,0.000
2005-09-21,88.3,0.000
2005-09-22,85.0,0.031
2005-09-23,76.5,1.020
2005-09-24,84.3,0.000
2005-09-25,83.6,0.000
2005-09-26,72.9,0.098
2005-09-27,75.3,0.000
2005-09-28,70.5,0.193
2005-09-29,62.2,0.000
2005-09-30,72.8,0.000
2005-10-01,71.6,0.311
2005-10-02,85.0,0.567
2005-10-03,82.6,0.004
2005-10-04,83.5,0.000
2005-10-05,78.9,0.161
2005-10-06,54.8,0.000
2005-10-07,52.3,0.000
2005-10-08,57.0,0.000
2005-10-09,60.5,0.000
2005-10-10,64.2,0.000
2005-10-11,67.2,0.000
2005-10-12,68.4,0.067
2005-10-13,71.3,0.000
2005-10-14,78.9,0.000
2005-10-15,69.9,0.000
2005-10-16,72.6,0.000
2005-10-17,77.4,0.000
2005-10-18,79.3,0.000
2005-10-19,66.4,0.496
2005-10-20,56.2,0.528
2005-10-21,58.5,0.000
2005-10-22,53.9,0.047
2005-10-23,47.2,0.000
2005-10-24,48.3,0.000
2005-10-25,51.0,0.000
2005-10-26,55.8,0.000
2005-10-27,57.0,0.000
2005-10-28,62.3,0.000
2005-10-29,64.0,0.000
2005-10-30,64.5,0.106
2005-10-31,55.7,0.130
2005-11-01,63.4,0.000
2005-11-02,69.7,0.000
2005-11-03,69.9,0.000
2005-11-04,67.8,0.000
2005-11-05,65.3,0.236
2005-11-06,59.1,0.000
2005-11-07,71.7,0.000
2005-11-08,76.8,0.000
2005-11-09,65.9,0.000
2005-11-10,56.2,0.000
2005-11-11,66.6,0.000
2005-11-12,69.4,0.016
2005-11-13,58.4,0.000
2005-11-14,45.8,0.047
2005-11-15,42.9,0.744
2005-11-16,36.1,0.000
2005-11-17,39.5,0.000
2005-11-18,50.4,0.000
2005-11-19,51.6,0.004
2005-11-20,43.3,0.012
2005-11-21,53.5,0.000
2005-11-22,47.2,0.000
2005-11-23,62.6,0.000
2005-11-24,47.2,0.000
2005-11-25,44.1,0.000
2005-11-26,63.0,0.000
2005-11-27,58.8,0.681
2005-11-28,52.6,0.071
2005-11-29,32.2,0.000
2005-11-30,36.0,0.000
2005-12-01,32.2,0.000
2005-12-02,37.2,0.000
2005-12-03,34.7,0.000
2005-12-04,25.0,0.000
2005-12-05,27.6,0.008
2005-12-06,24.9,0.000
2005-12-07,14.1,0.335
2005-12-08,13.1,0.106
2005-12-09,24.5,0.000
2005-12-10,39.9,0.000
2005-12-11,42.9,0.000
2005-12-12,43.6,0.000
2005-12-13,45.1,0.110
2005-12-14,43.8,0.008
2005-12-15,36.2,0.000
2005-12-16,33.0,0.000
2005-12-17,28.0,0.016
2005-12-18,24.6,0.059
2005-12-19,25.2,0.000
2005-12-20,34.8,0.000
2005-12-21,38.4,0.000
2005-12-22,48.0,0.000
2005-12-23,51.0,0.055
2005-12-24,40.7,0.370
2005-12-25,40.5,0.000
2005-12-26,52.8,0.000
2005-12-27,56.3,0.000
2005-12-28,41.2,0.000
2005-12-29,44.1,0.000
2005-12-30,45.8,0.000
2005-12-31,46.1,0.000
2006-01-01,58.9,0.000
2006-01-02,51.6,0.016
2006-01-03,52.1,0.000
2006-01-04,49.8,0.000
2006-01-05,41.1,0.000
2006-01-06,38.8,0.000
2006-01-07,55.5,0.000
2006-01-08,56.5,0.000
2006-01-09,38.5,0.000
2006-01-10,34.5,0.264
2006-01-11,51.5,0.000
2006-01-12,55.3,0.000
2006-01-13,40.9,0.039
2006-01-14,48.3,0.000
2006-01-15,59.1,0.000
2006-01-16,46.6,0.000
2006-01-17,37.9,0.000
2006-01-18,52.0,0.000
2006-01-19,58.1,0.000
2006-01-20,37.3,0.236
2006-01-21,42.0,0.000
2006-01-22,42.0,0.000
2006-01-23,38.6,0.000
2006-01-24,52.4,0.000
2006-01-25,45.0,0.000
2006-01-26,57.5,0.000
2006-01-27,54.8,0.000
2006-01-28,52.7,0.453
2006-01-29,53.2,0.000
2006-01-30,46.6,0.000
2006-01-31,56.7,0.000
2006-02-01,50.9,0.000
2006-02-02,57.4,0.000
2006-02-03,42.0,0.000
2006-02-04,33.5,0.000
2006-02-05,34.2,0.000
2006-02-06,37.4,0.000
2006-02-07,43.3,0.000
2006-02-08,34.2,0.043
2006-02-09,38.9,0.000
2006-02-10,42.0,0.000
2006-02-11,31.2,0.000
2006-02-12,37.2,0.000
2006-02-13,52.1,0.000
2006-02-14,58.0,0.000
2006-02-15,42.0,0.000
2006-02-16,34.4,0.134
2006-02-17,25.1,0.004
2006-02-18,17.1,0.008
2006-02-19,24.5,0.000
2006-02-20,39.4,0.000
2006-02-21,48.3,0.000
2006-02-22,47.5,0.000
2006-02-23,51.8,0.000
2006-02-24,60.2,0.000
2006-02-25,40.3,0.000
2006-02-26,46.7,0.000
2006-02-27,63.7,0.000
2006-02-28,70.8,0.000
2006-03-01,73.7,0.000
2006-03-02,54.6,0.000
2006-03-03,46.2,0.000
2006-03-04,41.7,0.252
2006-03-05,61.8,0.035
2006-03-06,57.9,0.000
2006-03-07,64.3,0.354
2006-03-08,73.7,0.417
2006-03-09,52.4,0.343
2006-03-10,60.9,0.000
2006-03-11,69.4,0.004
2006-03-12,65.2,0.390
2006-03-13,62.4,0.000
2006-03-14,54.9,0.000
2006-03-15,61.8,0.000
2006-03-16,52.8,0.000
2006-03-17,43.7,0.000
2006-03-18,45.1,0.000
2006-03-19,42.7,0.150
2006-03-20,36.1,0.697
2006-03-21,35.0,0.063
2006-03-22,39.1,0.000
2006-03-23,45.3,0.008
2006-03-24,44.0,0.000
2006-03-25,46.1,0.000
2006-03-26,57.3,0.008
2006-03-27,56.9,0.173
2006-03-28,51.7,0.000
2006-03-29,68.3,0.000
2006-03-30,66.8,0.630
2006-03-31,64.0,0.000
2006-04-01,68.9,0.000
2006-04-02,72.6,0.425
2006-04-03,56.5,0.000
2006-04-04,62.2,0.000
2006-04-05,72.5,0.220
2006-04-06,77.0,0.220
2006-04-07,70.3,0.000
2006-04-08,54.1,0.000
2006-04-09,64.0,0.000
2006-04-10,74.8,0.000
2006-04-11,74.9,0.043
2006-04-12,76.0,0.000
2006-04-13,86.8,0.000
2006-04-14,88.0,0.000
2006-04-15,81.8,0.039
2006-04-16,75.0,0.000
2006-04-17,72.4,0.000
2006-04-18,87.9,0.000
2006-04-19,70.0,0.000
2006-04-20,71.4,0.000
2006-04-21,75.5,0.000
2006-04-22,77.8,0.043
2006-04-23,77.3,0.346
2006-04-24,74.7,1.075
2006-04-25,63.7,0.142
2006-04-26,54.7,0.067
2006-04-27,67.5,0.000
2006-04-28,60.4,0.575
2006-04-29,65.7,1.874
2006-04-30,65.4,0.327
2006-05-01,69.0,0.008
2006-05-02,76.0,0.000
2006-05-03,72.4,0.504
2006-05-04,61.7,0.000
2006-05-05,59.2,0.165
2006-05-06,60.9,0.276
2006-05-07,64.3,0.000
2006-05-08,68.9,0.122
2006-05-09,75.7,0.378
2006-05-10,62.6,0.067
2006-05-11,59.7,0.016
2006-05-12,67.1,0.000
2006-05-13,65.3,0.000
2006-05-14,59.4,0.000
2006-05-15,64.7,0.008
2006-05-16,66.2,0.016
2006-05-17,78.0,0.000
2006-05-18,76.2,0.000
2006-05-19,89.7,0.031
2006-05-20,77.5,0.000
2006-05-21,82.2,0.000
2006-05-22,79.8,0.000
2006-05-23,85.3,0.000
2006-05-24,89.1,0.055
2006-05-25,87.7,0.000
2006-05-26,88.8,0.000
2006-05-27,92.7,0.000
2006-05-28,88.8,0.075
2006-05-29,87.8,0.075
2006-05-30,84.1,0.157
2006-05-31,79.5,0.437
2006-06-01,80.5,0.087
2006-06-02,83.4,0.000
2006-06-03,85.6,0.000
2006-06-04,80.3,0.004
2006-06-05,82.3,0.000
2006-06-06,86.1,0.004
2006-06-07,89.2,0.000
2006-06-08,91.3,0.000
2006-06-09,93.0,0.000
2006-06-10,91.6,0.280
2006-06-11,77.6,0.039
2006-06-12,75.5,0.000
2006-06-13,81.0,0.000
2006-06-14,88.0,0.000
2006-06-15,89.6,0.000
2006-06-16,90.7,0.000
2006-06-17,81.8,0.098
2006-06-18,85.3,0.043
2006-06-19,92.0,0.000
2006-06-20,91.3,0.000
2006-06-21,90.6,0.000
2006-06-22,80.8,0.654
2006-06-23,83.3,0.000
2006-06-24,84.3,0.008
2006-06-25,78.7,0.016
2006-06-26,78.6,0.000
2006-06-27,83.5,0.000
2006-06-28,88.9,0.000
2006-06-29,93.5,0.000
2006-06-30,93.8,0.000
2006-07-01,94.7,0.000
2006-07-02,94.8,0.000
2006-07-03,94.5,0.000
2006-07-04,85.7,0.870
2006-07-05,81.2,0.000
2006-07-06,81.8,0.000
2006-07-07,82.5,0.000
2006-07-08,85.6,0.000
2006-07-09,79.7,0.043
2006-07-10,80.5,0.843
2006-07-11,85.2,1.012
2006-07-12,86.1,0.024
2006-07-13,91.5,0.035
2006-07-14,89.6,0.035
2006-07-15,93.4,0.000
2006-07-16,98.0,0.000
2006-07-17,99.9,0.000
2006-07-18,94.3,0.000
2006-07-19,98.7,0.008
2006-07-20,99.1,0.000
2006-07-21,83.5,0.087
2006-07-22,80.5,0.000
2006-07-23,86.1,0.000
2006-07-24,90.6,0.000
2006-07-25,95.1,0.000
2006-07-26,97.8,0.000
2006-07-27,85.1,0.016
2006-07-28,94.2,0.000
2006-07-29,98.0,0.020
2006-07-30,99.3,0.000
2006-07-31,99.8,0.000
2006-08-01,99.5,0.000
2006-08-02,97.7,0.035
2006-08-03,86.8,0.201
2006-08-04,88.8,0.000
2006-08-05,97.1,0.008
2006-08-06,101.0,0.000
2006-08-07,92.9,0.024
2006-08-08,93.3,0.000
2006-08-09,100.7,0.008
2006-08-10,98.9,0.126
2006-08-11,90.9,0.024
2006-08-12,89.8,0.000
2006-08-13,96.2,0.024
2006-08-14,80.5,0.126
2006-08-15,85.7,0.000
2006-08-16,88.0,0.000
2006-08-17,96.1,0.008
2006-08-18,93.8,0.094
2006-08-19,84.5,0.020
2006-08-20,81.6,0.067
2006-08-21,85.4,0.000
2006-08-22,89.3,0.000
2006-08-23,93.6,0.000
2006-08-24,94.7,0.000
2006-08-25,94.0,0.382
2006-08-26,82.8,1.063
2006-08-27,81.5,0.803
2006-08-28,79.9,0.051
2006-08-29,75.1,0.016
2006-08-30,79.4,0.004
2006-08-31,79.6,0.000
2006-09-01,77.7,0.000
2006-09-02,77.7,0.000
2006-09-03,75.5,0.134
2006-09-04,74.4,0.000
2006-09-05,76.4,0.000
2006-09-06,79.4,0.000
2006-09-07,80.6,0.000
2006-09-08,82.8,0.000
2006-09-09,74.3,0.071
2006-09-10,75.6,0.409
2006-09-11,76.1,0.217
2006-09-12,69.8,0.012
2006-09-13,74.8,0.000
2006-09-14,79.6,0.000
2006-09-15,83.5,0.000
2006-09-16,89.3,0.000
2006-09-17,80.9,0.260
2006-09-18,68.4,0.000
2006-09-19,63.8,0.000
2006-09-20,70.4,0.000
2006-09-21,68.9,0.417
2006-09-22,77.3,0.047
2006-09-23,68.5,0.110
2006-09-24,67.2,0.000
2006-09-25,76.2,0.000
2006-09-26,78.6,0.000
2006-09-27,66.9,0.016
2006-09-28,60.3,0.004
2006-09-29,71.6,0.031
2006-09-30,77.5,0.000
2006-10-01,88.9,0.000
2006-10-02,90.9,0.000
2006-10-03,91.9,0.000
2006-10-04,79.1,0.000
2006-10-05,70.7,0.000
2006-10-06,72.2,0.000
2006-10-07,77.4,0.000
2006-10-08,77.1,0.000
2006-10-09,68.7,0.000
2006-10-10,61.1,0.378
2006-10-11,59.4,0.012
2006-10-12,49.8,0.000
2006-10-13,55.7,0.000
2006-10-14,58.9,0.000
2006-10-15,58.2,0.457
2006-10-16,55.5,0.118
2006-10-17,69.0,0.000
2006-10-18,61.0,0.043
2006-10-19,50.1,0.000
2006-10-20,65.9,0.000
2006-10-21,53.7,0.579
2006-10-22,47.2,0.000
2006-10-23,47.4,0.000
2006-10-24,54.0,0.000
2006-10-25,56.2,0.165
2006-10-26,56.0,0.287
2006-10-27,55.4,0.724
2006-10-28,63.1,0.000
2006-10-29,71.6,0.000
2006-10-30,69.6,0.000
2006-10-31,44.5,0.000
2006-11-01,45.1,0.000
