latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.778557,-117.87312,46.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,65.1,0.008
2005-04-04,65.3,0.000
2005-04-05,76.5,0.000
2005-04-06,80.3,0.000
2005-04-07,67.6,0.000
2005-04-08,65.6,0.000
2005-04-09,67.8,0.000
2005-04-10,71.1,0.000
2005-04-11,73.3,0.000
2005-04-12,73.6,0.000
2005-04-13,69.9,0.000
2005-04-14,73.4,0.000
2005-04-15,74.3,0.000
2005-04-16,77.5,0.000
2005-04-17,70.1,0.000
2005-04-18,63.8,0.000
2005-04-19,64.4,0.004
2005-04-20,67.5,0.000
2005-04-21,75.2,0.000
2005-04-22,64.4,0.000
2005-04-23,67.3,0.051
2005-04-24,64.7,0.087
2005-04-25,67.7,0.000
2005-04-26,70.1,0.000
2005-04-27,63.7,0.000
2005-04-28,63.3,0.835
2005-04-29,66.3,0.000
2005-04-30,67.6,0.000
2005-05-01,67.2,0.000
2005-05-02,67.0,0.000
2005-05-03,69.3,0.000
2005-05-04,69.6,0.000
2005-05-05,65.5,0.138
2005-05-06,65.3,0.157
2005-05-07,65.3,0.000
2005-05-08,67.0,0.000
2005-05-09,63.7,0.008
2005-05-10,70.5,0.000
2005-05-11,72.3,0.000
2005-05-12,79.9,0.000
2005-05-13,84.0,0.000
2005-05-14,81.5,0.000
2005-05-15,79.1,0.000
2005-05-16,69.3,0.000
2005-05-17,71.2,0.000
2005-05-18,73.6,0.000
2005-05-19,80.4,0.000
2005-05-20,81.5,0.000
2005-05-21,84.2,0.000
2005-05-22,84.1,0.000
2005-05-23,77.7,0.000
2005-05-24,74.2,0.000
2005-05-25,77.0,0.000
2005-05-26,75.3,0.000
2005-05-27,71.6,0.000
2005-05-28,70.4,0.000
2005-05-29,70.4,0.000
2005-05-30,73.3,0.000
2005-05-31,75.5,0.000
2005-06-01,71.1,0.000
2005-06-02,68.5,0.004
2005-06-03,73.7,0.000
2005-06-04,72.6,0.000
2005-06-05,71.7,0.000
2005-06-06,72.5,0.000
2005-06-07,73.3,0.000
2005-06-08,73.5,0.000
2005-06-09,71.6,0.000
2005-06-10,74.2,0.000
2005-06-11,72.6,0.000
2005-06-12,74.3,0.000
2005-06-13,79.9,0.000
2005-06-14,75.2,0.000
2005-06-15,73.4,0.000
2005-06-16,71.6,0.000
2005-06-17,71.6,0.008
2005-06-18,72.8,0.000
2005-06-19,76.2,0.000
2005-06-20,82.2,0.000
2005-06-21,83.5,0.000
2005-06-22,82.4,0.000
2005-06-23,78.3,0.000
2005-06-24,79.6,0.000
2005-06-25,72.9,0.000
2005-06-26,72.5,0.000
2005-06-27,72.7,0.000
2005-06-28,74.8,0.000
2005-06-29,76.5,0.000
2005-06-30,77.9,0.000
2005-07-01,78.8,0.000
2005-07-02,78.6,0.000
2005-07-03,77.5,0.000
2005-07-04,79.3,0.000
2005-07-05,79.2,0.000
2005-07-06,78.3,0.000
2005-07-07,79.6,0.000
2005-07-08,78.8,0.000
2005-07-09,77.2,0.000
2005-07-10,76.7,0.000
2005-07-11,80.1,0.000
2005-07-12,83.3,0.000
2005-07-13,86.6,0.000
2005-07-14,83.9,0.000
2005-07-15,80.9,0.000
2005-07-16,80.5,0.000
2005-07-17,83.3,0.000
2005-07-18,81.8,0.000
2005-07-19,84.7,0.000
2005-07-20,90.6,0.000
2005-07-21,90.7,0.000
2005-07-22,91.4,0.000
2005-07-23,85.4,0.000
2005-07-24,83.3,0.000
2005-07-25,83.4,0.000
2005-07-26,84.0,0.000
2005-07-27,84.2,0.000
2005-07-28,84.4,0.000
2005-07-29,85.5,0.000
2005-07-30,86.1,0.000
