latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
25.764498,-80.196075,1.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,72.7,0.000
2005-04-04,75.0,0.000
2005-04-05,77.0,0.000
2005-04-06,78.2,0.000
2005-04-07,79.4,0.004
2005-04-08,76.2,1.130
2005-04-09,78.3,0.000
2005-04-10,78.8,0.000
2005-04-11,76.2,0.000
2005-04-12,78.5,0.000
2005-04-13,84.1,0.146
2005-04-14,80.8,0.000
2005-04-15,75.5,0.020
2005-04-16,75.7,0.004
2005-04-17,75.6,0.020
2005-04-18,75.9,0.020
2005-04-19,75.3,0.012
2005-04-20,76.2,0.000
2005-04-21,77.9,0.000
2005-04-22,78.5,0.000
2005-04-23,83.5,0.008
2005-04-24,78.2,0.008
2005-04-25,74.1,0.000
2005-04-26,82.8,0.000
2005-04-27,81.8,0.264
2005-04-28,78.9,0.012
2005-04-29,79.5,0.000
2005-04-30,81.1,0.000
2005-05-01,83.6,0.000
2005-05-02,83.6,0.339
2005-05-03,80.5,0.315
2005-05-04,80.7,0.244
2005-05-05,80.7,0.244
2005-05-06,79.8,0.110
2005-05-07,77.5,0.000
2005-05-08,77.4,0.000
2005-05-09,78.6,0.000
2005-05-10,79.8,0.000
2005-05-11,80.2,0.000
2005-05-12,79.8,0.000
2005-05-13,79.9,0.016
2005-05-14,80.1,0.000
2005-05-15,80.6,0.000
2005-05-16,81.3,0.000
2005-05-17,80.7,0.012
2005-05-18,82.0,0.035
2005-05-19,82.0,0.000
2005-05-20,81.3,0.008
2005-05-21,85.3,0.004
2005-05-22,84.3,0.004
2005-05-23,86.1,0.063
2005-05-24,87.7,0.000
2005-05-25,89.2,0.071
2005-05-26,83.4,0.280
2005-05-27,85.9,0.000
2005-05-28,85.7,0.051
2005-05-29,85.9,0.016
2005-05-30,85.5,0.035
2005-05-31,86.0,0.020
2005-06-01,85.4,1.035
2005-06-02,83.3,0.583
2005-06-03,82.4,0.728
2005-06-04,82.1,0.370
2005-06-05,82.5,0.465
2005-06-06,83.9,0.031
2005-06-07,83.0,0.299
2005-06-08,83.3,0.000
2005-06-09,81.5,0.150
2005-06-10,79.0,2.307
2005-06-11,82.5,0.465
2005-06-12,83.3,0.039
2005-06-13,82.8,0.000
2005-06-14,83.6,0.000
2005-06-15,84.3,0.008
2005-06-16,87.0,0.315
2005-06-17,85.3,0.594
2005-06-18,83.6,0.181
2005-06-19,85.0,0.323
2005-06-20,80.7,0.465
2005-06-21,83.2,0.197
2005-06-22,81.5,0.398
2005-06-23,81.4,0.772
2005-06-24,82.8,0.213
2005-06-25,85.5,0.004
2005-06-26,84.1,0.323
2005-06-27,82.8,0.228
2005-06-28,84.2,0.130
2005-06-29,84.6,0.248
2005-06-30,86.1,0.134
2005-07-01,87.9,0.075
2005-07-02,87.2,0.043
2005-07-03,87.7,0.028
2005-07-04,87.0,0.024
2005-07-05,87.1,0.000
2005-07-06,87.4,0.000
2005-07-07,87.6,0.094
2005-07-08,85.8,0.717
2005-07-09,85.5,0.819
2005-07-10,84.4,0.197
2005-07-11,85.6,0.071
2005-07-12,86.2,0.008
2005-07-13,85.0,0.110
