date,temperature_2m_max (°F),rain_sum (inch)
4/3/2005,47.6,0.063
4/4/2005,53.1,0
4/5/2005,63.6,0
4/6/2005,66.9,0
4/7/2005,69.7,0.122
4/8/2005,61,0.382
4/9/2005,58.6,0
4/10/2005,67.3,0
4/11/2005,54.9,0
4/12/2005,54.3,0
4/13/2005,53.5,0
4/14/2005,60.9,0
4/15/2005,54.2,0
4/16/2005,55.9,0
4/17/2005,71.2,0
4/18/2005,71.9,0
4/19/2005,72.4,0
4/20/2005,81.7,0
4/21/2005,64.6,0.008
4/22/2005,56.1,0.016
4/23/2005,58.3,1.217
4/24/2005,55.8,0.083
4/25/2005,54,0.02
4/26/2005,62.4,0
4/27/2005,62.3,0.807
4/28/2005,62.9,0.016
4/29/2005,60.6,0
4/30/2005,58.2,0.508
5/1/2005,62.1,0.13
5/2/2005,61.1,0.079
5/3/2005,57.1,0.004
5/4/2005,58.4,0
5/5/2005,58.4,0
5/6/2005,54.3,0.213
5/7/2005,58,0.098
5/8/2005,58.8,0
5/9/2005,66.1,0
5/10/2005,66.2,0
5/11/2005,71.8,0
5/12/2005,64.8,0
5/13/2005,60.6,0
5/14/2005,70.1,0
5/15/2005,73.2,0.051
5/16/2005,67.9,0.012
5/17/2005,65.5,0
5/18/2005,66.3,0
5/19/2005,66.1,0
5/20/2005,53.5,0.209
5/21/2005,68.2,0.063
5/22/2005,62.5,0.118
5/23/2005,61.2,0
5/24/2005,60,0.138
5/25/2005,52,0.61
5/26/2005,58.3,0.134
5/27/2005,74.8,0
5/28/2005,75.4,0.035
5/29/2005,74,0
5/30/2005,74.2,0.012
5/31/2005,74.2,0
6/1/2005,67.3,0
6/2/2005,66.6,0
6/3/2005,64.8,0.244
6/4/2005,79.6,0.244
6/5/2005,84.9,0
6/6/2005,83.6,0
6/7/2005,87.6,0.087
6/8/2005,87.4,0
6/9/2005,86.5,0
6/10/2005,82.1,0.138
6/11/2005,85.7,0.047
6/12/2005,88.1,0
6/13/2005,89.4,0.004
6/14/2005,92.3,0
6/15/2005,81.2,0.016
6/16/2005,79.3,0.295
6/17/2005,74,0.024
6/18/2005,74.8,0
6/19/2005,69.4,0.051
6/20/2005,73,0
6/21/2005,82.6,0
6/22/2005,83.5,0.102
6/23/2005,77.3,0
6/24/2005,84.1,0
6/25/2005,91.1,0
6/26/2005,91.9,0
6/27/2005,80,0.453
6/28/2005,85.8,0.224
6/29/2005,79.2,0.63
6/30/2005,79.1,0.657
7/1/2005,81.2,0.043
7/2/2005,79.6,0
7/3/2005,77.5,0
7/4/2005,78,0
7/5/2005,81.5,0.13
7/6/2005,80.5,0.264
7/7/2005,74.2,0.004
7/8/2005,66.7,1.654
7/9/2005,80,0.004
7/10/2005,88.2,0
7/11/2005,88.7,0
7/12/2005,80.3,0
7/13/2005,76.2,0.024
7/14/2005,80.5,0
7/15/2005,82.4,0.028
7/16/2005,80.3,0.031
7/17/2005,80.9,0.098
7/18/2005,85.8,0.39
7/19/2005,91.3,0.055
7/20/2005,89.4,0
7/21/2005,90.8,0
7/22/2005,90.7,0
7/23/2005,84.9,0
7/24/2005,85.8,0
7/25/2005,90.1,0.067
7/26/2005,92.7,0
7/27/2005,94.9,0.012
7/28/2005,81.1,0
7/29/2005,84,0
7/30/2005,82.8,0
7/31/2005,81.3,0.031
8/1/2005,85,0
8/2/2005,92.8,0
8/3/2005,93.1,0
8/4/2005,92.7,0.047
8/5/2005,97.1,0
8/6/2005,86.7,0
8/7/2005,84.7,0
8/8/2005,85,0.283
8/9/2005,83.5,0.028
8/10/2005,85.4,0.008
8/11/2005,92.7,0
8/12/2005,93,0.008
8/13/2005,96.6,0.031
8/14/2005,93.5,0.02
8/15/2005,81.5,0.138
8/16/2005,76.1,0.118
8/17/2005,86.8,0
8/18/2005,79.9,0
8/19/2005,79.6,0.004
8/20/2005,81.4,0
8/21/2005,91.3,0.008
8/22/2005,88.1,0
8/23/2005,82.8,0
8/24/2005,80,0
8/25/2005,82.7,0
8/26/2005,82.6,0
8/27/2005,80.3,0
8/28/2005,80.4,0.047
8/29/2005,84,0
8/30/2005,80.4,0.102
8/31/2005,85.7,0.181
9/1/2005,84.5,0
9/2/2005,88,0
9/3/2005,82,0
9/4/2005,83.4,0
9/5/2005,80.3,0
9/6/2005,80.8,0
9/7/2005,81.5,0
9/8/2005,85.7,0
9/9/2005,82.2,0
9/10/2005,81.3,0
9/11/2005,78.1,0
9/12/2005,93.1,0
9/13/2005,90.7,0
9/14/2005,84.9,0.059
9/15/2005,81,0.173
9/16/2005,81.2,0.11
9/17/2005,83.1,0.071
9/18/2005,82.8,0
9/19/2005,83.9,0
9/20/2005,83.2,0
9/21/2005,82.5,0
9/22/2005,83.4,0
9/23/2005,89.8,0
9/24/2005,72.4,0
9/25/2005,73.8,0
9/26/2005,78.7,0.201
9/27/2005,74.4,0
9/28/2005,72.4,0
9/29/2005,75.3,0.079
9/30/2005,66.1,0
10/1/2005,71.4,0
10/2/2005,77.3,0
10/3/2005,74.4,0
10/4/2005,76.1,0
10/5/2005,77.5,0
10/6/2005,75.4,0
10/7/2005,74.8,0.295
10/8/2005,72.4,3.157
10/9/2005,62.2,0
10/10/2005,61.6,0.169
10/11/2005,61.6,0.437
10/12/2005,58.1,2.642
10/13/2005,61.5,1.189
10/14/2005,63.7,3.906
10/15/2005,71,0.091
10/16/2005,61.8,0
10/17/2005,61.3,0
10/18/2005,68.1,0.024
10/19/2005,66,0
10/20/2005,58.1,0
10/21/2005,54,0.004
10/22/2005,52.6,1.016
10/23/2005,52.9,0.067
10/24/2005,52.6,0.476
10/25/2005,50.3,0.862
10/26/2005,51.7,0.075
10/27/2005,48.4,0
10/28/2005,47.8,0
10/29/2005,46.6,0
10/30/2005,63.6,0
10/31/2005,63.8,0
11/1/2005,64.3,0
11/2/2005,56.4,0.024
11/3/2005,62.2,0
11/4/2005,63.3,0
11/5/2005,68.2,0
11/6/2005,65.1,0.047
11/7/2005,60,0
11/8/2005,60.7,0
11/9/2005,59.7,0.173
11/10/2005,60.7,0.319
11/11/2005,45.7,0
11/12/2005,53.8,0
11/13/2005,60.7,0
11/14/2005,61.8,0.016
11/15/2005,63.2,0.02
11/16/2005,68.2,0.331
11/17/2005,48.5,0.063
11/18/2005,40.7,0
11/19/2005,44.5,0
11/20/2005,53.6,0
11/21/2005,52,0.268
11/22/2005,45.9,0.843
11/23/2005,36,0
11/24/2005,47.5,0.079
11/25/2005,33,0
11/26/2005,38.1,0
11/27/2005,46.3,0
11/28/2005,58.5,0.035
11/29/2005,60.2,0.22
11/30/2005,59.4,0.587
12/1/2005,46.2,0
12/2/2005,40.9,0
12/3/2005,36,0
12/4/2005,37.2,0.035
12/5/2005,35.1,0
12/6/2005,35.5,0
12/7/2005,31.1,0
12/8/2005,30,0
12/9/2005,35.4,0.358
12/10/2005,32.3,0
12/11/2005,36.5,0
12/12/2005,35.3,0
12/13/2005,24.2,0
12/14/2005,22.9,0
12/15/2005,39.4,0.075
12/16/2005,50.2,0.815
12/17/2005,39.9,0
12/18/2005,38.5,0
12/19/2005,34.5,0
12/20/2005,33.6,0
12/21/2005,32.8,0
12/22/2005,35.7,0
12/23/2005,46,0
12/24/2005,50.2,0
12/25/2005,51.7,0.795
12/26/2005,51,0.122
12/27/2005,42.8,0
12/28/2005,46.7,0
12/29/2005,47.7,0.563
12/30/2005,43.2,0
12/31/2005,38.7,0.083
1/1/2006,41.4,0
1/2/2006,43.5,0.343
1/3/2006,38.6,0.697
1/4/2006,37.2,0.008
1/5/2006,47.8,0.055
1/6/2006,40.3,0
1/7/2006,33.1,0
1/8/2006,43.3,0.004
1/9/2006,57.6,0
1/10/2006,46.2,0
1/11/2006,51.8,0.11
1/12/2006,53.5,0.028
1/13/2006,49.9,0.024
1/14/2006,53.2,1.024
1/15/2006,29.6,0.055
1/16/2006,31.9,0
1/17/2006,41.8,0.008
1/18/2006,56.9,0.807
1/19/2006,43.5,0
1/20/2006,54.9,0
1/21/2006,58,0
1/22/2006,39.5,0
1/23/2006,39.9,0.854
1/24/2006,43.4,0.028
1/25/2006,43.1,0.02
1/26/2006,35.1,0
1/27/2006,40.7,0
1/28/2006,52.4,0
1/29/2006,48.8,0.102
1/30/2006,56.9,0
1/31/2006,41.6,0.307
2/1/2006,44,0
2/2/2006,48.8,0
2/3/2006,57.6,0.555
2/4/2006,52.7,0.492
