latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-73.89206,6.0,0,GMT,GMT

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,51.7,0.587
2005-04-04,53.6,0.028
2005-04-05,64.2,0.000
2005-04-06,68.2,0.000
2005-04-07,71.2,0.000
2005-04-08,63.7,0.378
2005-04-09,59.2,0.000
2005-04-10,68.3,0.000
2005-04-11,57.3,0.000
2005-04-12,54.8,0.000
2005-04-13,54.0,0.000
2005-04-14,61.7,0.000
2005-04-15,54.8,0.000
2005-04-16,56.6,0.000
2005-04-17,72.0,0.000
2005-04-18,72.2,0.000
2005-04-19,74.2,0.000
2005-04-20,82.6,0.000
2005-04-21,71.0,0.008
2005-04-22,56.8,0.000
2005-04-23,59.1,0.516
2005-04-24,56.1,0.500
2005-04-25,54.2,0.051
2005-04-26,63.8,0.000
2005-04-27,62.5,0.815
2005-04-28,63.2,0.098
2005-04-29,61.1,0.000
2005-04-30,58.2,0.311
2005-05-01,62.5,0.256
2005-05-02,61.8,0.087
2005-05-03,57.2,0.039
2005-05-04,58.4,0.000
2005-05-05,58.5,0.000
2005-05-06,54.6,0.000
2005-05-07,58.7,0.189
2005-05-08,59.6,0.000
2005-05-09,67.0,0.000
2005-05-10,66.9,0.000
2005-05-11,73.7,0.000
2005-05-12,65.5,0.008
2005-05-13,61.5,0.000
2005-05-14,72.1,0.000
2005-05-15,73.9,0.071
2005-05-16,68.8,0.016
2005-05-17,66.0,0.000
2005-05-18,66.7,0.000
2005-05-19,66.6,0.000
2005-05-20,57.6,0.236
2005-05-21,68.7,0.020
2005-05-22,62.7,0.173
2005-05-23,61.5,0.012
2005-05-24,60.2,0.075
2005-05-25,52.0,0.508
2005-05-26,58.7,0.287
2005-05-27,76.3,0.000
2005-05-28,75.9,0.024
2005-05-29,74.2,0.008
2005-05-30,74.3,0.012
2005-05-31,74.8,0.000
2005-06-01,67.9,0.000
2005-06-02,67.3,0.000
2005-06-03,64.7,0.087
2005-06-04,80.4,0.417
2005-06-05,85.6,0.000
2005-06-06,84.9,0.055
2005-06-07,88.4,0.024
2005-06-08,88.3,0.000
2005-06-09,87.8,0.000
2005-06-10,83.5,0.256
2005-06-11,86.6,0.181
2005-06-12,88.9,0.000
2005-06-13,89.9,0.000
2005-06-14,92.5,0.000
2005-06-15,87.8,0.043
2005-06-16,80.2,0.374
2005-06-17,74.1,0.213
2005-06-18,74.9,0.020
2005-06-19,70.9,0.071
2005-06-20,73.5,0.000
2005-06-21,83.6,0.000
2005-06-22,83.7,0.130
2005-06-23,78.1,0.004
2005-06-24,85.1,0.000
2005-06-25,91.9,0.000
2005-06-26,92.6,0.000
2005-06-27,80.2,0.280
2005-06-28,87.1,0.260
2005-06-29,81.1,0.906
2005-06-30,79.4,0.874
2005-07-01,81.7,0.205
2005-07-02,79.9,0.039
2005-07-03,77.8,0.000
2005-07-04,78.6,0.000
2005-07-05,82.4,0.020
2005-07-06,80.6,0.327
2005-07-07,74.6,0.028
2005-07-08,70.3,1.764
2005-07-09,80.1,0.012
2005-07-10,88.5,0.000
2005-07-11,89.0,0.000
2005-07-12,83.9,0.000
2005-07-13,77.3,0.020
2005-07-14,81.1,0.000
2005-07-15,82.7,0.067
2005-07-16,80.7,0.039
2005-07-17,81.4,0.138
2005-07-18,86.6,0.504
2005-07-19,91.8,0.075
2005-07-20,89.7,0.020
2005-07-21,91.5,0.000
2005-07-22,91.2,0.000
2005-07-23,85.1,0.000
2005-07-24,86.2,0.000
2005-07-25,90.8,0.051
2005-07-26,93.5,0.000
2005-07-27,96.1,0.028
2005-07-28,87.9,0.000
2005-07-29,84.6,0.000
2005-07-30,82.8,0.000
2005-07-31,81.4,0.031
2005-08-01,85.7,0.000
2005-08-02,93.3,0.000
2005-08-03,93.3,0.000
2005-08-04,93.3,0.067
2005-08-05,97.2,0.000
2005-08-06,86.7,0.000
2005-08-07,84.9,0.004
2005-08-08,85.1,0.098
2005-08-09,83.7,0.083
2005-08-10,86.2,0.000
2005-08-11,93.3,0.000
2005-08-12,93.6,0.035
2005-08-13,97.1,0.012
2005-08-14,94.4,0.055
2005-08-15,85.7,0.059
2005-08-16,75.9,0.126
2005-08-17,87.0,0.000
2005-08-18,80.9,0.000
2005-08-19,79.7,0.012
2005-08-20,82.2,0.000
2005-08-21,91.8,0.000
2005-08-22,88.1,0.000
2005-08-23,82.7,0.000
2005-08-24,79.9,0.000
2005-08-25,82.7,0.000
2005-08-26,82.4,0.000
2005-08-27,80.2,0.000
2005-08-28,80.2,0.098
2005-08-29,84.1,0.008
2005-08-30,79.9,0.118
2005-08-31,86.4,0.102
2005-09-01,84.5,0.039
2005-09-02,88.2,0.000
2005-09-03,82.1,0.000
2005-09-04,83.4,0.000
2005-09-05,80.5,0.000
2005-09-06,81.1,0.000
2005-09-07,81.8,0.000
2005-09-08,86.3,0.000
2005-09-09,82.1,0.000
2005-09-10,81.4,0.000
2005-09-11,78.4,0.000
2005-09-12,93.2,0.000
2005-09-13,90.9,0.000
2005-09-14,85.1,0.071
2005-09-15,81.6,0.138
2005-09-16,81.7,0.083
2005-09-17,83.6,0.059
2005-09-18,83.0,0.000
2005-09-19,84.5,0.000
2005-09-20,83.5,0.000
2005-09-21,82.9,0.000
2005-09-22,84.0,0.000
2005-09-23,90.3,0.012
2005-09-24,76.3,0.000
2005-09-25,74.1,0.000
2005-09-26,79.1,0.028
2005-09-27,74.7,0.130
2005-09-28,72.7,0.000
2005-09-29,75.8,0.067
2005-09-30,66.5,0.000
2005-10-01,71.8,0.000
2005-10-02,77.8,0.000
2005-10-03,74.6,0.000
2005-10-04,76.4,0.000
2005-10-05,77.7,0.000
2005-10-06,75.7,0.000
2005-10-07,74.9,0.138
2005-10-08,72.6,1.839
2005-10-09,71.1,1.512
2005-10-10,61.4,0.000
2005-10-11,61.8,0.165
2005-10-12,59.9,2.555
2005-10-13,61.0,0.732
2005-10-14,63.5,2.728
2005-10-15,71.4,0.433
2005-10-16,62.0,0.000
2005-10-17,61.6,0.000
2005-10-18,68.4,0.039
2005-10-19,66.6,0.000
2005-10-20,61.9,0.000
2005-10-21,55.4,0.016
2005-10-22,52.4,0.618
2005-10-23,53.1,0.370
2005-10-24,52.6,0.043
2005-10-25,49.7,1.161
2005-10-26,51.9,0.146
2005-10-27,48.5,0.000
2005-10-28,47.8,0.000
2005-10-29,46.8,0.000
2005-10-30,64.0,0.000
2005-10-31,64.2,0.000
2005-11-01,64.9,0.000
2005-11-02,56.6,0.031
2005-11-03,62.7,0.000
2005-11-04,63.9,0.000
2005-11-05,69.0,0.000
2005-11-06,65.8,0.000
2005-11-07,60.5,0.043
2005-11-08,61.1,0.000
2005-11-09,57.7,0.000
2005-11-10,60.6,0.378
2005-11-11,45.9,0.000
2005-11-12,54.2,0.000
2005-11-13,61.1,0.000
2005-11-14,62.0,0.012
2005-11-15,63.3,0.004
2005-11-16,69.1,0.024
2005-11-17,61.2,0.315
2005-11-18,40.6,0.000
2005-11-19,44.6,0.000
2005-11-20,53.9,0.000
2005-11-21,52.1,0.024
2005-11-22,46.5,0.957
2005-11-23,38.5,0.000
2005-11-24,47.6,0.051
2005-11-25,35.9,0.000
2005-11-26,37.9,0.000
2005-11-27,45.8,0.000
2005-11-28,58.5,0.020
2005-11-29,60.2,0.087
2005-11-30,59.6,0.732
2005-12-01,48.6,0.000
2005-12-02,41.0,0.008
2005-12-03,36.0,0.000
2005-12-04,35.5,0.358
2005-12-05,35.0,0.000
2005-12-06,35.4,0.150
2005-12-07,31.1,0.000
2005-12-08,30.4,0.000
2005-12-09,35.2,0.701
2005-12-10,31.6,0.000
2005-12-11,35.9,0.000
2005-12-12,34.7,0.000
2005-12-13,24.2,0.000
2005-12-14,22.3,0.000
