latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.89455,-75.18826,3.0,-18000,America/New_York,GMT-5

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,49.7,0.272
2005-04-04,59.9,0.000
2005-04-05,66.0,0.000
2005-04-06,76.8,0.000
2005-04-07,73.8,0.122
2005-04-08,64.3,0.390
2005-04-09,63.0,0.000
2005-04-10,71.9,0.000
2005-04-11,63.4,0.000
2005-04-12,55.6,0.000
2005-04-13,58.4,0.000
2005-04-14,64.2,0.000
2005-04-15,55.1,0.000
2005-04-16,59.2,0.000
2005-04-17,73.2,0.000
2005-04-18,74.9,0.000
2005-04-19,80.8,0.000
2005-04-20,83.8,0.000
2005-04-21,68.4,0.000
2005-04-22,54.4,0.083
2005-04-23,64.1,0.461
2005-04-24,55.1,0.020
2005-04-25,56.8,0.016
2005-04-26,69.6,0.000
2005-04-27,66.8,0.492
2005-04-28,64.3,0.000
2005-04-29,61.1,0.031
2005-04-30,68.0,0.555
2005-05-01,64.2,0.055
2005-05-02,63.9,0.071
2005-05-03,57.8,0.000
2005-05-04,57.8,0.000
2005-05-05,62.5,0.000
2005-05-06,54.9,0.016
2005-05-07,66.9,0.000
2005-05-08,68.7,0.000
2005-05-09,73.3,0.000
2005-05-10,71.4,0.000
2005-05-11,79.0,0.000
2005-05-12,70.9,0.035
2005-05-13,64.6,0.000
2005-05-14,77.7,0.000
2005-05-15,76.4,0.000
2005-05-16,72.2,0.008
2005-05-17,67.0,0.000
2005-05-18,71.8,0.000
2005-05-19,72.6,0.000
2005-05-20,55.7,1.043
2005-05-21,71.0,0.008
2005-05-22,66.2,0.028
2005-05-23,65.0,0.000
2005-05-24,60.7,0.299
2005-05-25,53.6,0.197
2005-05-26,62.4,0.063
2005-05-27,80.3,0.000
2005-05-28,77.0,0.008
2005-05-29,74.4,0.000
2005-05-30,76.0,0.067
2005-05-31,77.4,0.000
2005-06-01,74.8,0.000
2005-06-02,73.1,0.000
2005-06-03,62.3,0.386
2005-06-04,75.7,0.004
2005-06-05,87.0,0.000
2005-06-06,89.0,0.031
2005-06-07,88.2,0.343
2005-06-08,90.4,0.000
2005-06-09,88.0,0.004
2005-06-10,85.0,0.138
2005-06-11,86.2,0.016
2005-06-12,87.3,0.000
2005-06-13,88.1,0.004
2005-06-14,93.5,0.000
2005-06-15,89.7,0.000
2005-06-16,83.9,0.094
2005-06-17,75.9,0.000
2005-06-18,75.5,0.000
2005-06-19,71.0,0.004
2005-06-20,75.3,0.000
2005-06-21,83.9,0.000
2005-06-22,86.3,0.094
2005-06-23,80.7,0.000
2005-06-24,85.3,0.000
2005-06-25,90.6,0.000
2005-06-26,90.1,0.000
2005-06-27,73.1,0.752
2005-06-28,88.7,0.008
2005-06-29,79.7,1.098
2005-06-30,83.0,0.197
2005-07-01,87.1,0.354
2005-07-02,83.3,0.000
2005-07-03,81.2,0.000
2005-07-04,84.2,0.000
2005-07-05,85.6,0.287
2005-07-06,84.3,0.315
2005-07-07,76.0,0.098
2005-07-08,66.0,2.575
2005-07-09,83.4,0.000
2005-07-10,88.9,0.000
2005-07-11,91.0,0.000
2005-07-12,88.9,0.004
2005-07-13,85.6,0.020
2005-07-14,83.2,0.075
2005-07-15,85.1,0.244
2005-07-16,83.9,0.346
2005-07-17,85.7,0.354
2005-07-18,89.8,0.071
2005-07-19,91.5,0.020
2005-07-20,90.8,0.000
2005-07-21,92.0,0.000
2005-07-22,92.9,0.000
2005-07-23,87.5,0.000
2005-07-24,85.8,0.000
2005-07-25,89.3,0.409
2005-07-26,95.6,0.000
2005-07-27,97.0,0.031
2005-07-28,83.0,0.000
2005-07-29,80.8,0.000
2005-07-30,84.4,0.000
2005-07-31,82.3,0.016
2005-08-01,87.1,0.000
2005-08-02,92.0,0.000
2005-08-03,93.4,0.000
2005-08-04,95.1,0.039
2005-08-05,95.3,0.012
2005-08-06,87.0,0.031
2005-08-07,87.5,0.118
2005-08-08,86.2,0.106
2005-08-09,81.3,0.020
2005-08-10,86.6,0.012
2005-08-11,92.7,0.000
2005-08-12,93.8,0.063
2005-08-13,95.2,0.028
2005-08-14,94.6,0.157
2005-08-15,86.7,0.000
2005-08-16,75.4,0.024
2005-08-17,87.3,0.000
2005-08-18,85.3,0.000
2005-08-19,78.7,0.114
2005-08-20,86.5,0.020
2005-08-21,92.1,0.000
2005-08-22,87.6,0.000
2005-08-23,83.6,0.000
2005-08-24,82.5,0.000
2005-08-25,83.0,0.000
2005-08-26,82.3,0.008
2005-08-27,80.3,0.035
2005-08-28,82.1,0.406
2005-08-29,86.9,0.000
