time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,43.2,0.646
4/4/2005,52.3,0
4/5/2005,74.7,0
4/6/2005,77.8,0
4/7/2005,67.9,0.043
4/8/2005,65.2,0
4/9/2005,66.7,0
4/10/2005,72.5,0
4/11/2005,69,0
4/12/2005,59.3,0
4/13/2005,62.3,0
4/14/2005,65.9,0
4/15/2005,63,0
4/16/2005,66.4,0
4/17/2005,71.3,0
4/18/2005,75.1,0
4/19/2005,79.4,0.004
4/20/2005,78.9,0.016
4/21/2005,67,0.126
4/22/2005,65.3,0.642
4/23/2005,59.1,1.165
4/24/2005,40.1,0.315
4/25/2005,56.2,0.157
4/26/2005,70.2,0.063
4/27/2005,57.4,0.547
4/28/2005,54.4,0.067
4/29/2005,57.2,0.031
4/30/2005,59,0.22
5/1/2005,55.6,0
5/2/2005,50.6,0.079
5/3/2005,51.3,0.039
5/4/2005,54.3,0
5/5/2005,65.2,0
5/6/2005,64.3,0.008
5/7/2005,66.3,0.079
5/8/2005,70.9,0
5/9/2005,75.1,0
5/10/2005,79.8,0.008
5/11/2005,82.2,0
5/12/2005,74.9,0.15
5/13/2005,75.2,0
5/14/2005,75,0.346
5/15/2005,65.3,0.276
5/16/2005,60.2,0
5/17/2005,62.8,0
5/18/2005,68,0
5/19/2005,72.4,0.071
5/20/2005,62.2,1.736
5/21/2005,69,0
5/22/2005,72,0.016
5/23/2005,63.2,0.551
5/24/2005,59.2,0.11
5/25/2005,63,0.012
5/26/2005,74.3,0
5/27/2005,71.7,0
5/28/2005,66.7,0.354
5/29/2005,67.6,0.098
5/30/2005,66.9,0.165
5/31/2005,72.1,0.028
6/1/2005,77.5,0
6/2/2005,71.5,0
6/3/2005,65.8,0.26
6/4/2005,78.1,0
6/5/2005,86.1,0
6/6/2005,87.7,0.047
6/7/2005,86.7,0
6/8/2005,88.6,0
6/9/2005,89.5,0.008
6/10/2005,87.7,0.008
6/11/2005,87.3,0.118
6/12/2005,88.6,0.039
6/13/2005,85,0.063
6/14/2005,89.6,0.035
6/15/2005,78.1,0.079
6/16/2005,73.3,0.11
6/17/2005,69.7,0.031
6/18/2005,69.7,0.004
6/19/2005,74.1,0
6/20/2005,79.7,0
6/21/2005,82,0
6/22/2005,81,0.079
6/23/2005,84.1,0
6/24/2005,89.8,0
6/25/2005,93.1,0
6/26/2005,94.7,0.008
6/27/2005,93.5,0
6/28/2005,92.9,0.075
6/29/2005,85.8,0.161
6/30/2005,88.8,0.047
7/1/2005,83.3,0.374
7/2/2005,79.1,0
7/3/2005,86.2,0
7/4/2005,88.9,0
7/5/2005,83,0.76
7/6/2005,79.9,0.24
7/7/2005,81,0.004
7/8/2005,79.4,0.094
7/9/2005,80.7,0
7/10/2005,86.5,0
7/11/2005,91.1,0
7/12/2005,92.2,0
7/13/2005,93.1,0.083
7/14/2005,82.8,0.26
7/15/2005,87.7,0.055
7/16/2005,88.6,0.327
7/17/2005,83.5,0.378
7/18/2005,88.3,0.016
7/19/2005,84.5,0.087
7/20/2005,88.8,0
7/21/2005,84.5,0.15
7/22/2005,86.6,0.417
7/23/2005,84.5,0
7/24/2005,83.4,0
7/25/2005,92.4,0.087
7/26/2005,93.7,0.012
7/27/2005,84.1,0.094
