latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.557117,-122.26973,9.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),precipitation_sum (inch)
2005-04-03,49.7,0.366
2005-04-04,50.1,0.130
2005-04-05,54.6,0.118
2005-04-06,63.7,0.012
2005-04-07,50.4,0.343
2005-04-08,53.5,0.000
2005-04-09,55.4,0.004
2005-04-10,53.6,0.220
2005-04-11,50.8,0.409
2005-04-12,49.1,0.220
2005-04-13,53.0,0.012
2005-04-14,53.1,0.008
2005-04-15,48.7,0.512
2005-04-16,54.1,0.921
2005-04-17,52.6,0.189
2005-04-18,53.7,0.008
2005-04-19,59.2,0.000
2005-04-20,64.1,0.000
2005-04-21,63.3,0.000
2005-04-22,71.2,0.000
2005-04-23,67.1,0.098
2005-04-24,65.8,0.012
2005-04-25,65.8,0.000
2005-04-26,66.7,0.000
2005-04-27,67.8,0.000
2005-04-28,65.3,0.028
2005-04-29,55.0,0.319
2005-04-30,62.9,0.031
2005-05-01,66.6,0.000
2005-05-02,63.8,0.228
2005-05-03,64.6,0.000
2005-05-04,63.9,0.134
2005-05-05,66.3,0.000
2005-05-06,66.1,0.000
2005-05-07,61.1,0.000
2005-05-08,61.9,0.213
2005-05-09,61.9,0.417
2005-05-10,61.2,0.331
2005-05-11,61.3,0.000
2005-05-12,64.0,0.000
2005-05-13,71.7,0.047
2005-05-14,68.5,0.209
2005-05-15,61.2,0.496
2005-05-16,59.0,0.465
2005-05-17,59.9,0.071
2005-05-18,63.2,0.618
2005-05-19,60.7,0.299
2005-05-20,59.4,0.146
2005-05-21,60.8,0.142
2005-05-22,57.3,0.272
2005-05-23,58.6,0.004
2005-05-24,62.5,0.000
2005-05-25,70.6,0.000
2005-05-26,80.7,0.000
2005-05-27,80.4,0.000
2005-05-28,78.8,0.000
2005-05-29,69.2,0.000
2005-05-30,68.8,0.000
2005-05-31,59.7,0.386
2005-06-01,64.9,0.146
2005-06-02,63.0,0.004
2005-06-03,61.6,0.008
2005-06-04,61.3,0.000
2005-06-05,59.3,0.181
2005-06-06,61.8,0.000
2005-06-07,61.2,0.094
2005-06-08,57.8,0.051
2005-06-09,69.3,0.000
2005-06-10,64.3,0.012
2005-06-11,62.3,0.220
2005-06-12,63.0,0.071
2005-06-13,65.0,0.047
2005-06-14,62.5,0.142
2005-06-15,64.9,0.024
2005-06-16,69.0,0.272
2005-06-17,66.3,0.299
2005-06-18,67.1,0.008
2005-06-19,71.9,0.000
2005-06-20,75.4,0.000
2005-06-21,74.3,0.075
2005-06-22,64.5,0.024
2005-06-23,69.3,0.000
2005-06-24,72.9,0.000
2005-06-25,68.8,0.083
2005-06-26,63.2,0.039
2005-06-27,63.0,0.059
2005-06-28,67.3,0.000
2005-06-29,71.1,0.000
2005-06-30,74.1,0.047
2005-07-01,68.5,0.028
2005-07-02,64.6,0.291
2005-07-03,72.4,0.000
2005-07-04,75.7,0.000
