latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.724075,-117.14285,6.0,0,GMT,GMT
,,,,,
time,temperature_2m_max (°F),precipitation_sum (inch),,,
2005-04-03,66.2,0.000,,,
2005-04-04,60.7,0.016,,,
2005-04-05,73.1,0.000,,,
2005-04-06,72.3,0.000,,,
2005-04-07,68.8,0.000,,,
2005-04-08,61.7,0.000,,,
2005-04-09,60.7,0.028,,,
2005-04-10,65.0,0.000,,,
2005-04-11,68.2,0.000,,,
2005-04-12,67.5,0.000,,,
2005-04-13,65.2,0.000,,,
2005-04-14,65.5,0.000,,,
2005-04-15,66.6,0.000,,,
2005-04-16,67.2,0.000,,,
2005-04-17,66.5,0.000,,,
2005-04-18,62.3,0.000,,,
2005-04-19,59.1,0.012,,,
2005-04-20,63.7,0.000,,,
2005-04-21,67.0,0.000,,,
2005-04-22,64.3,0.000,,,
2005-04-23,65.3,0.000,,,
2005-04-24,62.9,0.063,,,
2005-04-25,63.2,0.000,,,
2005-04-26,63.4,0.000,,,
2005-04-27,62.6,0.035,,,
2005-04-28,62.9,0.677,,,
2005-04-29,64.2,0.102,,,
2005-04-30,64.8,0.000,,,
2005-05-01,63.4,0.000,,,
2005-05-02,65.5,0.000,,,
2005-05-03,65.1,0.000,,,
2005-05-04,65.1,0.000,,,
2005-05-05,64.2,0.075,,,
2005-05-06,63.2,0.587,,,
2005-05-07,63.8,0.000,,,
2005-05-08,65.0,0.000,,,
2005-05-09,65.8,0.000,,,
2005-05-10,65.6,0.000,,,
2005-05-11,67.9,0.000,,,
2005-05-12,72.3,0.000,,,
2005-05-13,74.0,0.000,,,
2005-05-14,75.1,0.000,,,
2005-05-15,71.6,0.000,,,
2005-05-16,69.0,0.000,,,
2005-05-17,67.4,0.000,,,
2005-05-18,68.8,0.000,,,
2005-05-19,72.4,0.000,,,
2005-05-20,73.9,0.000,,,
2005-05-21,74.6,0.000,,,
2005-05-22,74.1,0.000,,,
2005-05-23,73.0,0.000,,,
2005-05-24,68.7,0.000,,,
2005-05-25,70.7,0.000,,,
2005-05-26,69.3,0.000,,,
2005-05-27,67.6,0.000,,,
2005-05-28,67.1,0.000,,,
2005-05-29,67.6,0.000,,,
2005-05-30,67.2,0.000,,,
2005-05-31,68.1,0.000,,,
2005-06-01,68.0,0.000,,,
2005-06-02,66.8,0.000,,,
2005-06-03,69.1,0.028,,,
2005-06-04,67.1,0.000,,,
2005-06-05,66.7,0.000,,,
2005-06-06,68.8,0.000,,,
2005-06-07,69.0,0.000,,,
2005-06-08,69.8,0.000,,,
2005-06-09,68.8,0.000,,,
2005-06-10,68.5,0.000,,,
2005-06-11,67.8,0.000,,,
2005-06-12,67.5,0.000,,,
2005-06-13,67.7,0.000,,,
2005-06-14,68.1,0.000,,,
2005-06-15,67.2,0.000,,,
2005-06-16,67.1,0.000,,,
2005-06-17,70.0,0.000,,,
2005-06-18,68.7,0.031,,,
2005-06-19,70.6,0.000,,,
2005-06-20,74.4,0.000,,,
2005-06-21,73.9,0.000,,,
2005-06-22,73.6,0.000,,,
2005-06-23,71.5,0.000,,,
2005-06-24,71.9,0.000,,,
2005-06-25,68.8,0.000,,,
2005-06-26,67.8,0.000,,,
2005-06-27,67.3,0.000,,,
2005-06-28,69.2,0.000,,,
2005-06-29,70.6,0.000,,,
2005-06-30,71.8,0.000,,,
2005-07-01,72.8,0.000,,,
2005-07-02,72.4,0.000,,,
2005-07-03,71.5,0.000,,,
2005-07-04,72.9,0.000,,,
2005-07-05,73.1,0.000,,,
2005-07-06,71.5,0.000,,,
2005-07-07,71.7,0.000,,,
2005-07-08,70.5,0.000,,,
2005-07-09,69.8,0.000,,,
2005-07-10,69.7,0.000,,,
2005-07-11,70.7,0.000,,,
2005-07-12,72.8,0.000,,,
2005-07-13,77.0,0.000,,,
2005-07-14,75.6,0.000,,,
2005-07-15,74.1,0.000,,,
2005-07-16,71.7,0.000,,,
2005-07-17,73.8,0.000,,,
2005-07-18,73.2,0.000,,,
2005-07-19,75.8,0.000,,,
2005-07-20,80.0,0.000,,,
2005-07-21,80.0,0.000,,,
2005-07-22,78.8,0.000,,,
2005-07-23,76.5,0.000,,,
2005-07-24,73.3,0.000,,,
2005-07-25,76.4,0.000,,,
2005-07-26,76.9,0.000,,,
2005-07-27,76.0,0.000,,,
2005-07-28,76.9,0.000,,,
2005-07-29,76.0,0.000,,,
2005-07-30,74.4,0.000,,,
2005-07-31,74.9,0.000,,,
2005-08-01,73.0,0.000,,,
2005-08-02,72.8,0.000,,,
2005-08-03,74.2,0.000,,,
2005-08-04,76.5,0.000,,,
2005-08-05,76.5,0.000,,,
2005-08-06,76.4,0.000,,,
2005-08-07,75.9,0.000,,,
2005-08-08,77.4,0.000,,,
2005-08-09,77.3,0.000,,,
2005-08-10,75.5,0.000,,,
2005-08-11,74.1,0.000,,,
2005-08-12,72.6,0.000,,,
2005-08-13,71.1,0.000,,,
2005-08-14,71.0,0.000,,,
2005-08-15,70.7,0.000,,,
2005-08-16,72.4,0.000,,,
2005-08-17,73.7,0.000,,,
2005-08-18,72.1,0.000,,,
2005-08-19,72.5,0.000,,,
2005-08-20,73.3,0.000,,,
2005-08-21,75.5,0.000,,,
2005-08-22,75.6,0.000,,,
2005-08-23,72.6,0.000,,,
2005-08-24,77.0,0.000,,,
2005-08-25,82.8,0.000,,,
2005-08-26,82.3,0.000,,,
2005-08-27,81.6,0.000,,,
2005-08-28,80.1,0.000,,,
2005-08-29,79.1,0.000,,,
2005-08-30,76.6,0.000,,,
2005-08-31,73.0,0.000,,,
2005-09-01,72.1,0.000,,,
2005-09-02,74.7,0.000,,,
2005-09-03,75.4,0.000,,,
2005-09-04,76.1,0.000,,,
2005-09-05,77.4,0.000,,,
2005-09-06,77.0,0.000,,,
2005-09-07,75.9,0.000,,,
2005-09-08,72.9,0.000,,,
2005-09-09,70.7,0.016,,,
2005-09-10,69.8,0.000,,,
2005-09-11,69.0,0.000,,,
2005-09-12,69.1,0.000,,,
2005-09-13,68.8,0.000,,,
2005-09-14,69.1,0.000,,,
2005-09-15,67.6,0.000,,,
2005-09-16,69.5,0.000,,,
2005-09-17,69.8,0.000,,,
2005-09-18,68.8,0.000,,,
2005-09-19,70.4,0.008,,,
2005-09-20,75.1,0.539,,,
2005-09-21,73.5,0.000,,,
2005-09-22,73.9,0.000,,,
2005-09-23,70.8,0.000,,,
2005-09-24,67.9,0.000,,,
2005-09-25,69.9,0.000,,,
2005-09-26,76.1,0.000,,,
2005-09-27,76.1,0.000,,,
2005-09-28,82.8,0.000,,,
2005-09-29,85.1,0.000,,,
2005-09-30,80.4,0.000,,,
2005-10-01,76.0,0.000,,,
2005-10-02,71.1,0.000,,,
2005-10-03,69.7,0.000,,,
2005-10-04,71.4,0.000,,,
2005-10-05,81.2,0.000,,,
2005-10-06,83.2,0.000,,,
2005-10-07,78.7,0.000,,,
2005-10-08,72.2,0.000,,,
2005-10-09,67.6,0.000,,,
2005-10-10,72.1,0.000,,,
2005-10-11,72.3,0.000,,,
2005-10-12,69.5,0.000,,,
2005-10-13,78.2,0.000,,,
2005-10-14,81.4,0.000,,,
2005-10-15,75.7,0.000,,,
2005-10-16,67.7,0.146,,,
2005-10-17,64.6,0.185,,,
2005-10-18,63.8,0.217,,,
2005-10-19,66.8,0.000,,,
2005-10-20,65.9,0.000,,,
2005-10-21,65.3,0.000,,,
2005-10-22,64.3,0.000,,,
2005-10-23,64.3,0.000,,,
2005-10-24,61.9,0.000,,,
2005-10-25,64.5,0.016,,,
2005-10-26,63.6,0.000,,,
2005-10-27,65.5,0.000,,,
2005-10-28,66.1,0.012,,,
2005-10-29,67.4,0.000,,,
2005-10-30,68.8,0.000,,,
2005-10-31,78.8,0.000,,,
2005-11-01,79.6,0.000,,,
2005-11-02,72.9,0.000,,,
2005-11-03,65.7,0.000,,,
2005-11-04,65.3,0.000,,,
2005-11-05,64.9,0.000,,,
2005-11-06,65.9,0.000,,,
2005-11-07,65.1,0.000,,,
2005-11-08,63.9,0.000,,,
2005-11-09,65.2,0.000,,,
2005-11-10,63.3,0.118,,,
2005-11-11,64.9,0.067,,,
2005-11-12,63.4,0.000,,,
2005-11-13,67.9,0.000,,,
2005-11-14,66.1,0.000,,,
2005-11-15,77.6,0.000,,,
2005-11-16,76.3,0.000,,,
2005-11-17,73.0,0.000,,,
2005-11-18,83.2,0.000,,,
2005-11-19,80.4,0.000,,,
2005-11-20,78.7,0.000,,,
2005-11-21,76.7,0.000,,,
2005-11-22,71.5,0.000,,,
2005-11-23,68.7,0.000,,,
2005-11-24,66.4,0.000,,,
2005-11-25,63.2,0.000,,,
2005-11-26,61.6,0.055,,,
2005-11-27,63.8,0.000,,,
2005-11-28,67.4,0.000,,,
