latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,11.0,0,GMT,GMT
,,,,,
time,temperature_2m_max (°F),precipitation_sum (inch),,,
2005-04-03,57.9,0.130,,,
2005-04-04,58.4,0.240,,,
2005-04-05,65.6,0.000,,,
2005-04-06,65.1,0.000,,,
2005-04-07,60.4,0.354,,,
2005-04-08,57.5,0.488,,,
2005-04-09,62.3,0.063,,,
2005-04-10,63.4,0.000,,,
2005-04-11,59.5,0.000,,,
2005-04-12,58.1,0.000,,,
2005-04-13,56.3,0.016,,,
2005-04-14,61.6,0.000,,,
2005-04-15,64.3,0.000,,,
2005-04-16,62.7,0.000,,,
2005-04-17,60.7,0.000,,,
2005-04-18,62.4,0.000,,,
2005-04-19,64.8,0.000,,,
2005-04-20,63.4,0.000,,,
2005-04-21,65.2,0.000,,,
2005-04-22,70.8,0.000,,,
2005-04-23,61.2,0.059,,,
2005-04-24,60.3,0.016,,,
2005-04-25,61.3,0.000,,,
2005-04-26,66.1,0.000,,,
2005-04-27,62.7,0.079,,,
2005-04-28,61.0,0.126,,,
2005-04-29,61.8,0.000,,,
2005-04-30,60.4,0.000,,,
2005-05-01,64.0,0.028,,,
2005-05-02,65.2,0.000,,,
2005-05-03,64.3,0.000,,,
2005-05-04,63.0,0.370,,,
2005-05-05,61.4,0.555,,,
2005-05-06,61.6,0.004,,,
2005-05-07,61.9,0.000,,,
2005-05-08,62.4,0.618,,,
2005-05-09,61.4,0.394,,,
2005-05-10,62.4,0.000,,,
2005-05-11,65.6,0.000,,,
2005-05-12,66.0,0.000,,,
2005-05-13,64.1,0.000,,,
2005-05-14,66.5,0.016,,,
2005-05-15,66.9,0.067,,,
2005-05-16,63.1,0.000,,,
2005-05-17,61.6,0.008,,,
2005-05-18,64.7,0.472,,,
2005-05-19,64.2,0.299,,,
2005-05-20,66.0,0.000,,,
2005-05-21,71.1,0.000,,,
2005-05-22,70.6,0.000,,,
2005-05-23,72.9,0.000,,,
2005-05-24,75.2,0.000,,,
2005-05-25,73.9,0.000,,,
2005-05-26,66.9,0.000,,,
2005-05-27,63.5,0.000,,,
2005-05-28,62.4,0.000,,,
2005-05-29,65.2,0.000,,,
2005-05-30,68.5,0.000,,,
2005-05-31,72.3,0.000,,,
2005-06-01,75.0,0.000,,,
2005-06-02,73.2,0.000,,,
2005-06-03,70.5,0.000,,,
2005-06-04,69.7,0.000,,,
2005-06-05,67.0,0.000,,,
2005-06-06,63.9,0.000,,,
2005-06-07,64.3,0.000,,,
2005-06-08,62.6,0.075,,,
2005-06-09,65.8,0.154,,,
2005-06-10,66.9,0.000,,,
2005-06-11,70.5,0.000,,,
2005-06-12,74.6,0.000,,,
2005-06-13,77.8,0.000,,,
2005-06-14,74.7,0.000,,,
2005-06-15,70.1,0.000,,,
2005-06-16,64.6,0.260,,,
2005-06-17,63.3,0.075,,,
2005-06-18,64.3,0.004,,,
2005-06-19,66.1,0.000,,,
2005-06-20,65.9,0.000,,,
2005-06-21,67.0,0.000,,,
2005-06-22,72.1,0.000,,,
2005-06-23,71.6,0.000,,,
2005-06-24,68.3,0.000,,,
2005-06-25,66.0,0.000,,,
2005-06-26,65.4,0.000,,,
2005-06-27,66.1,0.000,,,
2005-06-28,67.5,0.000,,,
2005-06-29,74.0,0.000,,,
2005-06-30,74.8,0.000,,,
2005-07-01,69.6,0.000,,,
2005-07-02,69.6,0.000,,,
2005-07-03,70.6,0.000,,,
2005-07-04,71.6,0.000,,,
2005-07-05,70.6,0.000,,,
2005-07-06,72.7,0.000,,,
2005-07-07,69.7,0.000,,,
2005-07-08,68.2,0.000,,,
2005-07-09,68.0,0.000,,,
2005-07-10,71.7,0.000,,,
2005-07-11,76.4,0.000,,,
2005-07-12,78.7,0.000,,,
2005-07-13,76.5,0.000,,,
2005-07-14,75.0,0.000,,,
2005-07-15,74.2,0.000,,,
2005-07-16,75.1,0.000,,,
2005-07-17,73.4,0.000,,,
2005-07-18,70.6,0.000,,,
2005-07-19,69.7,0.000,,,
2005-07-20,71.1,0.000,,,
2005-07-21,70.0,0.000,,,
2005-07-22,70.5,0.000,,,
2005-07-23,84.4,0.000,,,
2005-07-24,79.4,0.000,,,
2005-07-25,73.1,0.000,,,
2005-07-26,73.3,0.000,,,
2005-07-27,69.5,0.000,,,
2005-07-28,67.5,0.000,,,
2005-07-29,70.6,0.000,,,
2005-07-30,71.7,0.000,,,
2005-07-31,69.7,0.000,,,
2005-08-01,75.0,0.000,,,
2005-08-02,73.9,0.000,,,
2005-08-03,72.0,0.000,,,
2005-08-04,72.3,0.000,,,
2005-08-05,73.5,0.000,,,
2005-08-06,72.1,0.000,,,
2005-08-07,70.5,0.000,,,
2005-08-08,69.1,0.000,,,
2005-08-09,71.1,0.000,,,
2005-08-10,70.6,0.000,,,
2005-08-11,73.4,0.000,,,
2005-08-12,74.5,0.000,,,
2005-08-13,70.4,0.000,,,
2005-08-14,67.1,0.000,,,
2005-08-15,68.4,0.000,,,
2005-08-16,70.8,0.000,,,
2005-08-17,67.4,0.000,,,
2005-08-18,64.9,0.000,,,
2005-08-19,65.2,0.000,,,
2005-08-20,67.8,0.000,,,
2005-08-21,66.9,0.000,,,
2005-08-22,69.5,0.000,,,
2005-08-23,71.3,0.000,,,
2005-08-24,68.8,0.000,,,
2005-08-25,70.7,0.000,,,
2005-08-26,71.9,0.000,,,
2005-08-27,73.0,0.000,,,
2005-08-28,73.5,0.000,,,
2005-08-29,75.1,0.000,,,
2005-08-30,80.2,0.000,,,
2005-08-31,81.8,0.000,,,
2005-09-01,74.4,0.000,,,
2005-09-02,66.9,0.000,,,
2005-09-03,65.2,0.000,,,
2005-09-04,69.3,0.000,,,
2005-09-05,72.3,0.000,,,
2005-09-06,69.4,0.000,,,
2005-09-07,65.1,0.000,,,
2005-09-08,67.6,0.000,,,
2005-09-09,66.7,0.000,,,
2005-09-10,69.8,0.000,,,
2005-09-11,68.2,0.000,,,
2005-09-12,65.7,0.000,,,
2005-09-13,62.8,0.000,,,
2005-09-14,61.5,0.000,,,
2005-09-15,65.4,0.000,,,
2005-09-16,67.3,0.000,,,
2005-09-17,67.0,0.000,,,
2005-09-18,70.7,0.000,,,
2005-09-19,78.9,0.000,,,
2005-09-20,75.1,0.000,,,
2005-09-21,71.3,0.000,,,
2005-09-22,68.8,0.000,,,
2005-09-23,67.0,0.000,,,
2005-09-24,71.0,0.000,,,
2005-09-25,76.2,0.000,,,
2005-09-26,73.9,0.000,,,
2005-09-27,71.8,0.000,,,
2005-09-28,78.2,0.000,,,
2005-09-29,82.7,0.000,,,
2005-09-30,79.6,0.000,,,
2005-10-01,72.6,0.000,,,
2005-10-02,68.8,0.000,,,
2005-10-03,65.7,0.000,,,
2005-10-04,69.5,0.000,,,
