time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,72.4,0
4/4/2005,76.3,0
4/5/2005,73.1,0
4/6/2005,69.4,0.394
4/7/2005,63.4,0.181
4/8/2005,69.6,0
4/9/2005,74.9,0
4/10/2005,79.4,0
4/11/2005,73.5,0.146
4/12/2005,64.4,0.618
4/13/2005,61.4,0.213
4/14/2005,65.6,0
4/15/2005,71.1,0
4/16/2005,75,0
4/17/2005,79.8,0
4/18/2005,79.9,0
4/19/2005,78.7,0
4/20/2005,80.3,0.031
4/21/2005,75.5,0.421
4/22/2005,71.7,0.484
4/23/2005,53.4,0.098
4/24/2005,57.2,0
4/25/2005,64.8,0
4/26/2005,60.3,0.213
4/27/2005,59.4,0.004
4/28/2005,58.1,0.28
4/29/2005,55.3,0.161
4/30/2005,60.1,0.012
5/1/2005,60.1,0
5/2/2005,56.9,0
5/3/2005,59.1,0.004
5/4/2005,66.1,0
5/5/2005,71.4,0
5/6/2005,76.4,0
5/7/2005,81.3,0
5/8/2005,83.2,0
5/9/2005,79.3,0.126
5/10/2005,86.8,0.091
5/11/2005,88.4,0
5/12/2005,84.4,0
5/13/2005,87,0.016
5/14/2005,78.9,1.406
5/15/2005,70.5,0
5/16/2005,67.8,0
5/17/2005,74.3,0
5/18/2005,82.3,0
5/19/2005,84.9,0.346
5/20/2005,82.1,0.091
5/21/2005,78.1,0
5/22/2005,84.8,0.004
5/23/2005,83.8,0
5/24/2005,80,0
5/25/2005,75.3,0
5/26/2005,75.4,0
5/27/2005,79.1,0
5/28/2005,77.6,0.024
5/29/2005,81.5,0.004
5/30/2005,79.3,0
5/31/2005,82.7,0
6/1/2005,83.7,0
6/2/2005,79.4,0
6/3/2005,83.7,0
6/4/2005,93.2,0
6/5/2005,91.1,0.106
6/6/2005,88.2,0
6/7/2005,91.8,0.039
6/8/2005,93,0
6/9/2005,88.6,0.39
6/10/2005,86.1,0.157
6/11/2005,84.8,0.024
6/12/2005,84.3,0
6/13/2005,91.3,0.236
6/14/2005,82.3,0.484
6/15/2005,84.8,0
6/16/2005,81.8,0
6/17/2005,82.5,0
6/18/2005,80,0
6/19/2005,83,0
6/20/2005,85,0
6/21/2005,89.2,0
6/22/2005,92.8,0
6/23/2005,95.3,0
6/24/2005,96.4,0
6/25/2005,94.7,0.008
6/26/2005,94.4,0.016
6/27/2005,92.3,0.059
6/28/2005,93.1,0
6/29/2005,96.5,0.012
6/30/2005,98.1,0.083
7/1/2005,86.1,0.358
7/2/2005,83.8,0
7/3/2005,92.6,0
7/4/2005,91.1,0.307
7/5/2005,85.6,0.272
7/6/2005,87,0
7/7/2005,87.5,0
7/8/2005,88.1,0
