time,temperature_2m_max (°F),precipitation_sum (inch)
4/3/2005,73.7,0
4/4/2005,77.5,0
4/5/2005,83.2,0.012
4/6/2005,69.7,0.004
4/7/2005,72.8,0
4/8/2005,75.2,0
4/9/2005,79.7,0
4/10/2005,73.6,0.024
4/11/2005,72.6,0.228
4/12/2005,75.5,0
4/13/2005,73.5,0
4/14/2005,72.7,0
4/15/2005,74.9,0
4/16/2005,77.5,0
4/17/2005,78.2,0
4/18/2005,75.6,0.012
4/19/2005,76.5,0
4/20/2005,76.5,0.012
4/21/2005,81.4,0
4/22/2005,79.8,0.079
4/23/2005,66.9,0
4/24/2005,69,0.012
4/25/2005,72.9,0.26
4/26/2005,75.5,0
4/27/2005,83.7,0
4/28/2005,91.5,0
4/29/2005,82.6,0.008
4/30/2005,67.3,0
5/1/2005,73,0
5/2/2005,68.1,0.051
5/3/2005,67.4,0.012
5/4/2005,63.6,0.272
5/5/2005,74.1,0.217
5/6/2005,80.2,0
5/7/2005,79.4,0
5/8/2005,81.5,0.48
5/9/2005,83.4,0.008
5/10/2005,87.2,0
5/11/2005,85.7,0
5/12/2005,85.1,0.039
5/13/2005,85.3,0
5/14/2005,82.1,0.047
5/15/2005,78.8,0
5/16/2005,80.1,0
5/17/2005,83.9,0
5/18/2005,84.5,0
5/19/2005,86.8,0
5/20/2005,91.7,0
5/21/2005,95.4,0
5/22/2005,97.1,0
5/23/2005,94.9,0
5/24/2005,94.7,0
5/25/2005,90.6,0.059
5/26/2005,83.7,0.039
5/27/2005,84.1,0
5/28/2005,74.8,0.772
5/29/2005,77.3,0.913
5/30/2005,79.4,0.642
5/31/2005,81.1,0.016
6/1/2005,82.6,0.11
6/2/2005,87.5,0
6/3/2005,85,0.024
6/4/2005,87.7,0.122
6/5/2005,87.8,0.173
6/6/2005,87.5,0.016
6/7/2005,90.6,0.008
6/8/2005,89.3,0
6/9/2005,89.4,0
6/10/2005,90.1,0
6/11/2005,90.4,0
6/12/2005,92.4,0
6/13/2005,90.5,0
6/14/2005,89,0.004
6/15/2005,94.4,0
6/16/2005,97.3,0
6/17/2005,95.5,0
6/18/2005,91.3,0
6/19/2005,90.8,0
6/20/2005,90.6,0
6/21/2005,90.6,0
6/22/2005,92.9,0
6/23/2005,92.9,0
6/24/2005,93.7,0
6/25/2005,93.1,0
6/26/2005,93.2,0
6/27/2005,93.3,0
6/28/2005,95.6,0
6/29/2005,97.2,0
6/30/2005,98.2,0
7/1/2005,96,0
7/2/2005,95,0.012
7/3/2005,100.5,0
7/4/2005,95.5,0.138
7/5/2005,95.9,0
7/6/2005,93.1,0
7/7/2005,91,0.012
7/8/2005,93.1,0
7/9/2005,93.3,0
7/10/2005,93.7,0
7/11/2005,95.8,0
7/12/2005,95.3,0
7/13/2005,96,0.059
7/14/2005,96.3,0
7/15/2005,92.1,0.161
7/16/2005,87.5,0.583
7/17/2005,89.9,0.335
7/18/2005,90.3,0.051
7/19/2005,93.1,0
7/20/2005,92.5,0
7/21/2005,93.5,0
7/22/2005,96.6,0
7/23/2005,95.9,0
7/24/2005,96.9,0
7/25/2005,96.8,0
7/26/2005,98.7,0.031
7/27/2005,80.1,0.268
7/28/2005,84.7,0
7/29/2005,90.5,0
7/30/2005,93.6,0
7/31/2005,94.4,0
8/1/2005,96.5,0
8/2/2005,97.7,0
8/3/2005,96.6,0.051
8/4/2005,95.8,0.016
8/5/2005,94.1,0.02
8/6/2005,94.2,0
8/7/2005,94.6,0.094
8/8/2005,89.2,0.114
8/9/2005,83.1,0.028
8/10/2005,85.9,0.039
8/11/2005,93.3,0
8/12/2005,92.9,0.004
8/13/2005,94,0.016
8/14/2005,90.7,0.008
8/15/2005,92.2,0.004
8/16/2005,88.6,0.055
8/17/2005,95.3,0
8/18/2005,97,0
8/19/2005,97.9,0.012
8/20/2005,98.9,0.004
8/21/2005,96.9,0
8/22/2005,98.9,0
8/23/2005,101.4,0
8/24/2005,99.2,0
8/25/2005,99.5,0
8/26/2005,99.7,0
8/27/2005,100.5,0.051
8/28/2005,92.8,0
8/29/2005,93.4,0
8/30/2005,94.9,0
8/31/2005,97.3,0
9/1/2005,97.2,0
